#   #http://vizier.u-strasbg.fr/viz-bin/VizieR-3?-source=J/AJ/155/196/table1
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-05-18T09:51:00 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5cdfd5143f99	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-nav=cat:J/AJ/155/196&tab:{J/AJ/155/196/table1}&key:source=J/AJ/155/196/table1&HTTPPRM:&&-ref=VIZ5cdfd5143f99&-out.max=unlimited&-out.form=HTML Table&-order=I&-oc.form=sexa&-out.src=J/AJ/155/196/table1&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-out=EPIC&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=Ksmag&-out=(V-Ks)u&-out=E(V-Ks)&-out=Ksmag0&-out=Per1&-out=Per2&-out=Per3&-out=Per4&-out=Disk&-out=SimbadName&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-out.src=J/AJ/155/196/table1
#-source=J/AJ/155/196/table1
#-out=EPIC
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=Ksmag
#-out=(V-Ks)u
#-out=E(V-Ks)
#-out=Ksmag0
#-out=Per1
#-out=Per2
#-out=Per3
#-out=Per4
#-out=Disk
#-out=SimbadName
#

#RESOURCE=yCat_51550196
#Name: J/AJ/155/196
#Title: Analysis of K2 LCs for members of USco & {rho} Oph (Rebull+, 2018)
#Table	J_AJ_155_196_table1:
#Name: J/AJ/155/196/table1
#Title: Periods and supporting data for USco and {rho} Oph members with K2 light curves
#Column	EPIC	(I9)	[202499459/210282557] Ecliptic Plane Input Catalog identifier	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A11)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	[4.57/19.1]? Apparent V band Vega magnitude	[ucd=phot.mag;em.opt.V]
#Column	Ksmag	(F5.2)	[2.24/16.75]? Apparent K_s_ band Vega magnitude	[ucd=phot.mag;em.IR.K]
#Column	(V-Ks)u	(F5.2)	[-0.41/18.3]? The (V-K_s_) color used (1)	[ucd=phot.color;em.opt.V;em.IR.K]
#Column	E(V-Ks)	(F5.2)	[0/36.36]? Adopted (V-K_s_) color excess (see Section 2.4)	[ucd=phot.color.excess]
#Column	Ksmag0	(F5.2)	[2.1/16.66]? Dereddened K_s_ band Vega magnitude	[ucd=phot.mag;em.IR.K]
#Column	Per1	(F7.4)	[0.0476/38.3933]? Primary period (taken to be the rotation period, see text)	[ucd=time.period]
#Column	Per2	(F7.4)	[0.0458/23.9255]? Secondary period	[ucd=time.period]
#Column	Per3	(F7.4)	[0.045/12.9722]? Tertiary period	[ucd=time.period]
#Column	Per4	(F7.4)	[0.0452/18.3921]? Quaternary period	[ucd=time.period]
#Column	Disk	(a5)	IR excess (disk) is present? (maybe, yes or no)	[ucd=meta.code]
#Column	SimbadName	(A14)	Simbad column added by the CDS	[ucd=meta.id]
EPIC	RAJ2000	DEJ2000	Vmag	Ksmag	(V-Ks)u	E(V-Ks)	Ksmag0	Per1	Per2	Per3	Per4	Disk	SimbadName
204041137	15 56 12.13	-23 54 08.0	     	10.23	 5.71	 0.00	10.23	 0.4201	       	       	       	no   	
203284437	15 56 17.21	-26 38 17.1	     	13.56	 7.57	 0.70	13.47	       	       	       	       	maybe	EPIC 203284437
204115917	15 56 20.59	-23 36 10.0	     	10.32	 5.27	 0.49	10.26	 2.3892	       	       	       	no   	
204269918	15 56 23.39	-22 59 49.4	     	11.62	 6.91	 0.52	11.56	 0.8346	       	       	       	no   	
204413641	15 56 24.75	-22 25 55.6	     	10.79	 6.15	 0.74	10.69	 1.9675	       	       	       	yes  	EPIC 204413641
203570729	15 56 24.90	-25 41 20.5	     	10.44	 4.92	 0.14	10.42	 4.6706	       	       	       	no   	
204918279	15 56 25.09	-20 16 16.2	     	 9.86	 6.67	 0.44	 9.80	 0.4594	 0.4665	       	       	no   	EPIC 204918279
204351607	15 56 25.62	-22 40 27.4	     	10.37	 5.54	 0.42	10.32	 1.3860	       	       	       	no   	EPIC 204351607
204104740	15 56 27.62	-23 38 52.1	     	 9.11	 5.19	 0.35	 9.07	 5.5670	 3.0639	       	       	no   	EPIC 204104740
204282380	15 56 29.53	-22 56 58.4	     	10.39	 5.34	 0.51	10.32	 2.9991	       	       	       	no   	EPIC 204282380
204963464	15 56 34.24	-20 03 33.4	     	10.87	 6.25	 0.26	10.83	 0.3690	       	       	       	no   	
204514546	15 56 40.02	-22 01 40.0	 8.82	 6.08	 2.74	 2.12	 5.80	       	       	       	       	yes  	EPIC 204514546
204229193	15 56 40.18	-23 09 29.5	     	11.80	 6.17	 0.22	11.77	 1.8060	       	       	       	no   	
204832936	15 56 42.43	-20 39 34.2	     	10.28	 5.74	 0.76	10.18	 4.2616	 4.9781	       	       	yes  	EPIC 204832936
205010817	15 56 47.69	-19 50 07.6	     	 8.95	 4.69	 0.19	 8.92	 2.6359	       	       	       	no   	
204222666	15 56 47.85	-23 11 02.6	 7.74	 7.18	 0.56	 0.52	 7.12	 0.3472	       	       	       	no   	EPIC 204222666
204274993	15 56 55.45	-22 58 40.4	     	 9.43	 4.47	 0.51	 9.37	 8.1549	       	       	       	no   	EPIC 204274993
205155483	15 56 57.16	-19 07 38.8	10.04	 8.17	 1.87	 0.83	 8.06	 5.8908	       	       	       	no   	EPIC 205155483
203582679	15 56 59.29	-25 38 53.5	     	 9.53	 5.03	 0.13	 9.51	 0.9066	       	       	       	no   	
204886563	15 57 00.85	-20 24 59.5	     	 8.89	 4.43	 0.70	 8.80	 0.3500	       	       	       	no   	
204887278	15 57 00.91	-20 24 48.4	     	10.27	 5.39	 0.00	10.27	 0.4205	       	       	       	     	
204807722	15 57 01.45	-20 46 18.6	     	10.38	 7.12	 1.72	10.16	 2.1802	       	       	       	yes  	EPIC 204807722
205008763	15 57 02.33	-19 50 42.1	11.66	 8.37	 3.29	 0.70	 8.28	 2.5385	       	       	       	no   	EPIC 205008763
204248842	15 57 03.67	-23 04 48.6	     	10.21	 5.93	 0.25	10.18	 0.9991	 0.8303	       	       	no   	EPIC 204248842
203789507	15 57 04.89	-24 55 23.0	     	12.56	 7.21	 0.64	12.48	       	       	       	       	yes  	EPIC 203789507
204496657	15 57 06.40	-22 06 06.2	     	11.29	 6.28	 1.52	11.09	 0.8995	       	       	       	yes  	EPIC 204496657
204896403	15 57 08.50	-20 22 18.0	     	11.42	 5.96	 0.16	11.40	 1.4471	 2.7884	       	       	no   	
204084492	15 57 12.77	-23 43 46.7	     	12.59	 6.90	 0.82	12.49	 1.1411	       	       	       	no   	EPIC 204084492
203696502	15 57 15.56	-25 15 13.3	 8.44	 7.57	 0.87	 0.64	 7.49	 5.0210	 5.5435	       	       	no   	EPIC 203696502
203628765	15 57 16.74	-25 29 19.3	     	 8.86	 3.81	 0.70	 8.77	 0.5034	 0.6615	       	       	no   	EPIC 203628765
204512343	15 57 21.08	-22 02 13.1	     	10.10	 5.57	 1.56	 9.90	 7.6771	       	       	       	yes  	EPIC 204512343
204787516	15 57 23.90	-20 51 45.5	     	 9.80	 5.21	 0.02	 9.80	 0.4868	       	       	       	no   	
204836433	15 57 24.53	-20 38 38.3	     	 9.99	 5.07	 0.85	 9.88	 8.6218	       	       	       	no   	
204040060	15 57 25.74	-23 54 22.2	13.72	 9.09	 4.63	 0.37	 9.04	 7.2390	       	       	       	no   	EPIC 204040060
204442667	15 57 28.47	-22 19 05.3	     	11.60	 6.35	 0.24	11.57	 1.3178	       	       	       	no   	EPIC 204442667
204274743	15 57 29.84	-22 58 44.0	     	11.19	 6.17	 0.49	11.13	 1.7686	       	       	       	yes  	EPIC 204274743
204179058	15 57 34.31	-23 21 12.3	13.62	 8.99	 4.63	 1.16	 8.84	 3.0039	 0.5857	       	       	maybe	EPIC 204179058
203800211	15 57 36.83	-24 53 02.9	     	11.93	 5.86	 0.00	11.93	 0.6137	       	       	       	no   	
204330772	15 57 37.17	-22 45 25.3	     	12.56	 5.00	 0.50	12.50	24.8794	       	       	       	no   	EPIC 204330772
203920801	15 57 38.79	-24 24 32.9	 9.91	 8.21	 1.70	 0.70	 8.12	 0.4660	       	       	       	no   	EPIC 203920801
204434699	15 57 39.33	-22 20 57.6	     	11.50	 6.01	 0.28	11.46	 2.5101	       	       	       	no   	
204760247	15 57 40.46	-20 58 59.0	 5.84	 5.73	 0.10	 0.59	 5.66	 0.9070	       	       	       	no   	EPIC 204760247
203521205	15 57 42.47	-25 51 35.7	     	10.81	 5.70	 0.05	10.81	 0.7418	       	       	       	no   	EPIC 203521205
204412942	15 57 42.48	-22 26 05.7	     	11.42	 5.43	 0.65	11.33	 1.4446	       	       	       	no   	EPIC 204412942
204399028	15 57 46.60	-22 29 20.5	     	10.46	 5.43	 1.01	10.33	 3.8671	       	       	       	no   	EPIC 204399028
204351804	15 57 46.88	-22 40 24.3	     	 9.68	 4.78	 0.70	 9.59	 7.2414	       	       	       	no   	
203839698	15 57 47.56	-24 44 12.4	     	12.05	 6.06	 0.32	12.01	 0.9672	       	       	       	no   	EPIC 203839698
204134887	15 57 48.80	-23 31 38.2	 6.77	 6.67	 0.10	 0.35	 6.63	 0.8030	       	       	       	no   	EPIC 204134887
204247416	15 57 50.03	-23 05 09.5	     	 9.27	 4.08	 0.12	 9.25	 7.8404	       	       	       	no   	EPIC 204247416
204193196	15 57 53.84	-23 17 53.4	     	11.31	 5.87	 0.37	11.27	 2.1500	       	       	       	no   	EPIC 204193196
204193996	15 57 53.96	-23 17 41.7	     	 9.45	 4.00	 0.70	 9.36	15.7722	       	       	       	no   	
203810851	15 57 54.44	-24 50 42.3	     	 8.58	 3.52	 0.85	 8.47	 4.2512	       	       	       	yes  	EPIC 203810851
204849054	15 57 56.02	-20 35 10.5	     	12.34	 6.46	 0.34	12.30	 0.9839	       	       	       	no   	EPIC 204849054
204097242	15 58 06.39	-23 40 41.9	     	10.65	 5.65	 0.40	10.60	 2.5265	       	       	       	no   	
203361837	15 58 06.93	-26 23 47.0	     	10.16	 5.18	 0.25	10.13	 7.7299	       	       	       	no   	
203812531	15 58 11.99	-24 50 20.0	     	11.39	 5.32	 0.70	11.30	 1.5117	       	       	       	no   	
204147776	15 58 12.71	-23 28 36.5	10.36	 8.02	 2.34	 2.76	 7.66	 1.7209	       	       	       	yes  	EPIC 204147776
205202444	15 58 13.20	-18 53 10.1	     	11.11	 5.54	 0.21	11.08	 1.5215	       	       	       	no   	
204898840	15 58 15.69	-20 21 37.1	     	11.06	 5.96	 1.83	10.82	 0.6905	 0.4467	       	       	no   	EPIC 204898840
205128625	15 58 18.84	-19 15 44.9	     	10.13	 5.25	 0.11	10.12	13.5669	       	       	       	no   	
204777646	15 58 19.06	-20 54 24.0	     	 9.03	 4.15	 0.70	 8.94	 7.1170	       	       	       	no   	
205162306	15 58 20.38	-19 05 32.6	     	11.00	 6.08	 0.71	10.91	 1.9539	       	       	       	no   	
204957540	15 58 21.04	-20 05 13.8	     	11.06	 5.77	 0.50	10.99	 2.2316	       	       	       	no   	EPIC 204957540
204553379	15 58 23.36	-21 51 59.1	     	11.28	 6.38	 0.42	11.23	 1.8469	       	       	       	no   	EPIC 204553379
204123651	15 58 28.54	-23 34 19.3	     	10.42	 5.49	 0.40	10.37	 2.3936	       	       	       	no   	
204475702	15 58 29.62	-22 11 11.9	     	 8.82	 4.38	 0.70	 8.73	       	       	       	       	no   	
204226548	15 58 29.79	-23 10 07.9	     	11.30	 4.64	 0.65	11.22	       	       	       	       	yes  	EPIC 204226548
204780592	15 58 30.39	-20 53 35.9	 7.26	 6.53	 0.73	 0.50	 6.47	 0.0735	 0.1216	 0.0596	 0.1131	no   	EPIC 204780592
204066097	15 58 35.97	-23 48 14.0	     	12.08	 6.32	 0.28	12.04	 0.3588	       	       	       	no   	EPIC 204066097
205024407	15 58 36.19	-19 46 13.6	     	10.72	 5.63	 0.38	10.67	 3.0008	       	       	       	yes  	EPIC 205024407
204066898	15 58 36.21	-23 48 02.1	15.66	10.19	 5.47	 0.70	10.10	 0.3956	 0.5386	       	       	no   	EPIC 204066898
204281213	15 58 36.91	-22 57 15.2	10.14	 7.05	 3.09	 1.14	 6.91	       	       	       	       	yes  	
204281210	15 58 36.92	-22 57 15.3	     	 7.05	 3.04	 0.70	 6.96	 2.5649	 2.4445	       	       	yes  	EPIC 204281210
204238921	15 58 39.87	-23 07 10.8	     	11.71	 6.12	 0.00	11.71	 1.9986	       	       	       	no   	EPIC 204238921
204594600	15 58 48.10	-21 41 34.2	     	12.52	 6.84	 0.53	12.45	 0.6008	       	       	       	no   	EPIC 204594600
204249804	15 58 58.19	-23 04 35.3	     	 9.88	 4.75	 0.43	 9.83	 3.9066	       	       	       	no   	
204190866	15 59 00.71	-23 18 26.8	     	10.21	 5.12	 0.40	10.16	 4.8321	       	       	       	no   	
203397761	15 59 01.92	-26 16 33.1	     	11.26	 5.94	 0.00	11.26	 0.5179	 0.5938	       	       	no   	EPIC 203397761
203475138	15 59 08.63	-26 00 54.7	     	10.76	 5.53	 0.75	10.66	 2.1199	       	       	       	no   	
203301463	15 59 11.89	-26 35 00.8	 8.13	 6.97	 1.16	 0.93	 6.85	 1.8738	 0.7141	       	       	no   	EPIC 203301463
204367110	15 59 12.43	-22 36 50.4	     	11.79	 6.56	 0.52	11.72	 0.9440	       	       	       	no   	EPIC 204367110
210282521	15 59 14.51	-26 06 18.2	     	 9.30	 2.99	 1.24	 9.14	 0.4621	       	       	       	no   	
204477741	15 59 18.38	-22 10 43.2	16.27	10.07	 6.19	 0.33	10.03	 0.8214	 0.7623	       	       	no   	EPIC 204477741
204547272	15 59 22.92	-21 53 31.8	     	10.39	 4.95	 0.55	10.32	 3.3984	       	       	       	no   	
204247509	15 59 25.90	-23 05 08.3	     	11.57	 6.62	 0.56	11.50	 0.6198	       	       	       	no   	EPIC 204247509
203462615	15 59 38.05	-26 03 23.6	     	10.25	 6.24	 0.16	10.23	 0.5201	 0.4421	       	       	no   	EPIC 203462615
204870258	15 59 44.25	-20 29 23.5	     	10.40	 6.44	 1.22	10.25	       	       	       	       	yes  	EPIC 204870258
203574463	15 59 49.53	-25 40 34.6	     	11.55	 6.23	 0.69	11.46	 1.0092	       	       	       	no   	EPIC 203574463
203499724	15 59 49.88	-25 55 58.8	     	 9.61	 5.04	 0.54	 9.54	 0.6243	 0.9533	       	       	no   	EPIC 203499724
205030103	15 59 50.50	-19 44 37.3	     	10.17	 6.02	 0.50	10.11	30.7496	       	       	       	no   	EPIC 205030103
203642381	15 59 52.68	-25 26 29.4	     	 9.72	 4.08	 0.12	 9.71	 4.4834	       	       	       	no   	
204439442	15 59 59.45	-22 19 50.2	     	 9.43	 5.51	 0.52	 9.36	 5.4864	       	       	       	no   	
204436170	15 59 59.95	-22 20 36.7	13.25	 8.63	 4.62	 0.40	 8.58	 0.8621	 0.7271	       	       	no   	EPIC 204436170
204383487	16 00 00.36	-22 32 59.7	     	 9.77	 5.52	 0.66	 9.69	 0.4962	       	       	       	no   	
204096760	16 00 07.04	-23 40 49.0	     	10.61	 6.16	 0.46	10.55	 0.5255	 1.8177	       	       	no   	EPIC 204096760
204533053	16 00 12.16	-21 57 03.5	     	10.34	 5.32	 0.36	10.29	 2.8474	       	       	       	no   	
204387835	16 00 15.66	-22 31 58.3	     	10.44	 5.43	 0.70	10.35	 2.3825	       	       	       	no   	EPIC 204387835
204367097	16 00 17.29	-22 36 50.4	     	 9.94	 5.68	 0.70	 9.85	 0.9675	       	       	       	     	EPIC 204367097
204395393	16 00 18.43	-22 30 11.6	     	10.41	 6.07	 1.55	10.21	       	       	       	       	yes  	EPIC 204395393
204141928	16 00 23.23	-23 29 59.4	     	13.31	 9.03	 0.00	13.31	       	       	       	       	yes  	EPIC 204141928
204270520	16 00 26.30	-22 59 41.4	     	11.34	 6.49	 0.42	11.28	 0.5123	       	       	       	no   	EPIC 204270520
204769599	16 00 26.69	-20 56 31.8	18.60	12.51	 6.09	 0.44	12.45	 1.6401	       	       	       	yes  	EPIC 204769599
205001070	16 00 29.13	-19 52 53.7	     	 8.68	 3.07	 1.11	 8.54	 3.9311	       	       	       	no   	
204894208	16 00 29.45	-20 22 53.9	     	11.29	 6.29	 0.69	11.20	 1.6968	       	       	       	yes  	EPIC 204894208
204121833	16 00 30.22	-23 34 46.0	     	11.84	 6.89	 0.30	11.80	 0.4478	       	       	       	no   	EPIC 204121833
204878974	16 00 31.35	-20 27 05.0	     	 8.83	 4.79	 0.57	 8.75	 3.0938	 0.8548	       	       	no   	EPIC 204878974
203766590	16 00 32.42	-25 00 24.5	     	10.79	 5.22	 0.70	10.70	 0.9418	       	       	       	no   	EPIC 203766590
205153472	16 00 34.53	-19 08 16.1	     	11.46	 6.65	 0.42	11.40	 0.7610	       	       	       	no   	
205225428	16 00 35.45	-18 45 58.1	     	10.87	 6.15	 0.66	10.78	 1.4230	       	       	       	no   	
204933893	16 00 35.99	-20 11 55.0	     	10.66	 5.63	 0.38	10.61	 1.5296	 0.9446	       	       	no   	
204519031	16 00 40.55	-22 00 32.2	10.87	 8.44	 2.43	 0.33	 8.40	 2.7236	       	       	       	yes  	EPIC 204519031
204350593	16 00 41.34	-22 40 41.8	     	 9.64	 5.50	 0.37	 9.59	 3.1612	 0.9757	       	       	no   	EPIC 204350593
203363279	16 00 42.65	-26 23 29.6	 9.32	 7.72	 1.60	 0.65	 7.63	 1.1283	 1.1842	 0.9371	       	no   	EPIC 203363279
203895244	16 00 43.08	-24 30 50.5	     	10.77	 5.84	 0.20	10.75	 0.5312	 0.5410	       	       	no   	EPIC 203895244
203811459	16 00 44.61	-24 50 34.1	     	11.74	 6.80	 0.53	11.68	 1.4821	 0.9133	       	       	no   	EPIC 203811459
204105333	16 00 49.72	-23 38 43.5	     	 9.74	 4.77	 0.55	 9.67	10.0434	       	       	       	no   	
205087347	16 00 49.88	-19 28 00.6	     	 9.69	 5.07	 0.43	 9.63	 9.7615	       	       	       	no   	EPIC 205087347
203655505	16 00 52.70	-25 23 42.9	     	10.35	 5.13	 0.38	10.30	 7.0792	       	       	       	no   	
203854810	16 00 52.82	-24 40 38.6	     	10.35	 5.04	 0.36	10.30	 9.6432	       	       	       	no   	
204406748	16 01 05.18	-22 27 31.1	13.74	 8.75	 4.99	 0.47	 8.69	 4.3922	16.9554	       	       	no   	EPIC 204406748
204458208	16 01 06.04	-22 15 24.8	     	11.38	 5.81	 0.70	11.29	 1.7579	       	       	       	no   	EPIC 204458208
203249626	16 01 08.94	-26 45 10.7	     	10.60	 5.83	 1.05	10.46	 2.0262	       	       	       	no   	
204428324	16 01 10.36	-22 22 27.9	     	 9.76	 5.98	 0.36	 9.71	 0.3250	 0.5604	       	       	no   	EPIC 204428324
203690414	16 01 13.97	-25 16 28.4	     	10.42	 5.54	 0.21	10.39	 1.8160	 1.9454	       	       	yes  	EPIC 203690414
204438578	16 01 16.79	-22 20 02.2	     	 8.62	 3.12	 0.00	 8.62	 0.1025	       	       	       	no   	
204241103	16 01 19.13	-23 06 39.7	     	12.67	 6.95	 0.00	12.67	 0.5716	 0.4866	       	       	no   	
205055104	16 01 22.33	-19 37 22.5	     	 9.56	 4.89	 0.13	 9.54	 8.1047	       	       	       	no   	
204350686	16 01 25.63	-22 40 40.3	     	 8.52	 3.19	 0.44	 8.47	 2.3962	       	       	       	no   	EPIC 204350686
204262368	16 01 26.52	-23 01 34.6	     	11.18	 5.86	 0.61	11.10	 1.8686	       	       	       	yes  	EPIC 204262368
203712541	16 01 26.64	-25 11 54.5	 7.74	 6.89	 0.85	 0.67	 6.81	 2.6666	       	       	       	no   	EPIC 203712541
204317321	16 01 29.84	-22 48 38.8	     	10.49	 6.42	 0.51	10.42	 1.9313	 1.0656	       	       	no   	EPIC 204317321
204838715	16 01 34.46	-20 38 01.7	     	11.30	 5.65	 0.70	11.21	 1.9886	       	       	       	no   	
203842272	16 01 35.27	-24 43 36.8	     	10.59	 5.29	 0.13	10.57	 6.8898	       	       	       	no   	EPIC 203842272
204277211	16 01 40.86	-22 58 10.6	     	 9.85	 5.28	 1.77	 9.62	 2.5594	       	       	       	yes  	EPIC 204277211
