Target,RA,DEC,Sp. Type,T_eff [K],B [mag],V [mag],G [mag],Dist [pc],Data products (ascii),Data products (csv)
BD-184710,17:57:03.1667,-18:59:13.933,,4253.7,10.71,9.42,8.951,742.83,BD-184710_harps_all-data_v1.dat,BD-184710_harps_all-data_v1.csv
BD-194341,16:14:13.8183,-19:39:36.253,K0IV,4963.8,10.33,9.61,9.312000000000001,159.25,BD-194341_harps_all-data_v1.dat,BD-194341_harps_all-data_v1.csv
BD-202976,09:39:30.0860,-20:58:56.877,,5981.0,9.94,9.35,9.257,114.55,BD-202976_harps_all-data_v1.dat,BD-202976_harps_all-data_v1.csv
BD-221092,05:22:43.9920,-21:54:04.039,,5682.1,11.12,10.33,10.24,,BD-221092_harps_all-data_v1.dat,BD-221092_harps_all-data_v1.csv
CD-2312854,16:21:45.7780,-23:32:52.289,G7V,5267.5,11.63,10.8,10.537,110.87,CD-2312854_harps_all-data_v1.dat,CD-2312854_harps_all-data_v1.csv
CD-2412030,15:23:32.9582,-25:22:14.670,,5550.3,10.25,9.46,9.494,85.58,CD-2412030_harps_all-data_v1.dat,CD-2412030_harps_all-data_v1.csv
CD-2510553,14:49:33.25,-26:06:20.8,,,,,,,CD-2510553_harps_all-data_v1.dat,CD-2510553_harps_all-data_v1.csv
CD-2514757,20:25:18.9069,-24:48:45.508,,5572.0,11.65,10.9,10.640999999999998,121.05,CD-2514757_harps_all-data_v1.dat,CD-2514757_harps_all-data_v1.csv
CD-261407,03:44:01.2459,-26:32:15.281,,6250.2,11.377,10.86,10.770999999999999,301.4,CD-261407_harps_all-data_v1.dat,CD-261407_harps_all-data_v1.csv
CD-281745,04:47:22.6810,-27:50:29.311,M0V,4055.0,11.45,10.07,9.25,15.67,CD-281745_harps_all-data_v1.dat,CD-281745_harps_all-data_v1.csv
CD-287411,09:34:40.4580,-29:00:33.593,,5624.8,10.95,10.39,10.166,102.53,CD-287411_harps_all-data_v1.dat,CD-287411_harps_all-data_v1.csv
CD-301812,04:25:29.0168,-30:36:01.610,F5,6632.0,10.45,10.04,9.972000000000001,248.45,CD-301812_harps_all-data_v1.dat,CD-301812_harps_all-data_v1.csv
CD-3019757,23:58:14.7745,-29:36:29.986,,6273.0,11.29,10.81,10.597000000000001,280.07,CD-3019757_harps_all-data_v1.dat,CD-3019757_harps_all-data_v1.csv
CD-306011,08:18:19.1770,-30:32:58.429,G5,4810.1,11.98,10.87,10.411,1919.02,CD-306011_harps_all-data_v1.dat,CD-306011_harps_all-data_v1.csv
CD-306015,08:18:26.4379,-30:39:30.376,,4777.4,12.24,11.14,10.84,2041.65,CD-306015_harps_all-data_v1.dat,CD-306015_harps_all-data_v1.csv
CD-312415,05:23:25.2029,-31:16:34.982,,4780.3,11.583,10.545,10.295,875.04,CD-312415_harps_all-data_v1.dat,CD-312415_harps_all-data_v1.csv
CD-329927,14:11:46.3240,-33:03:14.379,A4,7337.3,10.793,10.444,10.390999999999998,383.46,CD-329927_harps_all-data_v1.dat,CD-329927_harps_all-data_v1.csv
CD-332771,06:10:16.4804,-33:21:20.892,K5III+K5V,3998.8,11.34,9.86,9.235,1227.6,CD-332771_harps_all-data_v1.dat,CD-332771_harps_all-data_v1.csv
CD-337795B,11:31:55.4,-34:36:29,,3946.6,,20.4,,,CD-337795B_harps_all-data_v1.dat,CD-337795B_harps_all-data_v1.csv
CD-348618,13:04:10.5340,-35:32:58.321,,7074.9,10.93,10.52,10.579,428.41,CD-348618_harps_all-data_v1.dat,CD-348618_harps_all-data_v1.csv
CD-3510525B,15:49:12.09,-35:39:03.9,L1.5,4092.6,,,,140.0,CD-3510525B_harps_all-data_v1.dat,CD-3510525B_harps_all-data_v1.csv
CD-381059,03:12:27.3492,-38:06:05.169,G5,5723.0,10.57,9.88,9.754,131.52,CD-381059_harps_all-data_v1.dat,CD-381059_harps_all-data_v1.csv
CD-383745,07:51:56.0037,-38:36:50.469,,4944.0,11.814,10.853,10.559000000000001,1527.18,CD-383745_harps_all-data_v1.dat,CD-383745_harps_all-data_v1.csv
CD-383754,07:52:17.8469,-38:33:24.911,G8II,4547.5,11.988,10.811,10.411,1591.09,CD-383754_harps_all-data_v1.dat,CD-383754_harps_all-data_v1.csv
CD-386968,11:09:40.0907,-39:06:47.280,G3,5824.1,10.52,9.93,9.744,120.11,CD-386968_harps_all-data_v1.dat,CD-386968_harps_all-data_v1.csv
CD-395833,09:47:19.8551,-40:03:09.843,K0V,5351.8,11.57,10.89,10.546,104.07,CD-395833_harps_all-data_v1.dat,CD-395833_harps_all-data_v1.csv
CD-426963,11:25:16.1744,-43:14:24.077,,4812.0,11.93,10.78,10.482000000000001,1075.15,CD-426963_harps_all-data_v1.dat,CD-426963_harps_all-data_v1.csv
CD-452997,07:11:29.0424,-46:11:55.604,,5345.0,11.46,10.74,10.512,105.31,CD-452997_harps_all-data_v1.dat,CD-452997_harps_all-data_v1.csv
CD-461064,03:30:49.1011,-45:55:57.364,K3V,4700.9,10.67,9.622,9.38,43.92,CD-461064_harps_all-data_v1.dat,CD-461064_harps_all-data_v1.csv
CD-4911401,17:24:41.5352,-49:59:06.472,,4726.6,11.401,10.363,10.03,920.39,CD-4911401_harps_all-data_v1.dat,CD-4911401_harps_all-data_v1.csv
CD-4911402,17:24:46.7175,-49:54:06.990,,4777.4,12.027000000000001,10.894,10.574000000000002,903.67,CD-4911402_harps_all-data_v1.dat,CD-4911402_harps_all-data_v1.csv
CD-4911404,17:24:50.0711,-49:56:56.080,,4619.2,11.5,10.7,10.534,879.35,CD-4911404_harps_all-data_v1.dat,CD-4911404_harps_all-data_v1.csv
CD-4911410,17:24:57.7598,-50:01:32.957,,4759.3,11.89,10.78,10.370999999999999,,CD-4911410_harps_all-data_v1.dat,CD-4911410_harps_all-data_v1.csv
CD-4911415,17:24:54.1499,-49:53:07.523,,4492.2,11.76,10.44,9.956,854.26,CD-4911415_harps_all-data_v1.dat,CD-4911415_harps_all-data_v1.csv
CD-50714,02:27:06.0977,-50:17:04.312,,5990.1,10.74,10.14,10.027000000000001,158.69,CD-50714_harps_all-data_v1.dat,CD-50714_harps_all-data_v1.csv
CD-52381,01:52:14.6258,-52:19:33.185,K2V(e),4890.6,11.835999999999999,10.953,10.61,86.3,CD-52381_harps_all-data_v1.dat,CD-52381_harps_all-data_v1.csv
CD-535815,15:02:54.1050,-54:12:51.496,,,10.94,9.72,9.339,787.53,CD-535815_harps_all-data_v1.dat,CD-535815_harps_all-data_v1.csv
CD-535820,15:03:15.8334,-54:16:39.163,,4581.1,10.91,9.69,9.304,813.6,CD-535820_harps_all-data_v1.dat,CD-535820_harps_all-data_v1.csv
CD-535829,15:03:50.0102,-54:14:30.308,,4851.9,11.33,10.26,9.953,813.54,CD-535829_harps_all-data_v1.dat,CD-535829_harps_all-data_v1.csv
CD-536474,16:12:56.9037,-54:13:13.514,K2Ib,4100.0,10.57,8.79,8.104,1796.95,CD-536474_harps_all-data_v1.dat,CD-536474_harps_all-data_v1.csv
CD-546002,15:04:30.5179,-54:35:48.844,,4817.1,11.51,10.47,10.15,836.4,CD-546002_harps_all-data_v1.dat,CD-546002_harps_all-data_v1.csv
CD-546003,15:04:30.3795,-54:31:44.812,,4348.2,10.8,9.47,9.033999999999999,814.27,CD-546003_harps_all-data_v1.dat,CD-546003_harps_all-data_v1.csv
CD-551709,07:10:31.2560,-55:58:18.712,,6511.5,10.66,10.24,10.1,,CD-551709_harps_all-data_v1.dat,CD-551709_harps_all-data_v1.csv
CD-567708,19:25:58.5351,-56:33:36.499,G5V+DA1.0,5509.5,11.37,10.571,10.414000000000001,130.9,CD-567708_harps_all-data_v1.dat,CD-567708_harps_all-data_v1.csv
CD-584411,12:09:41.8591,-58:54:45.066,K1Ve,3825.5,11.17,10.09,9.968,95.0,CD-584411_harps_all-data_v1.dat,CD-584411_harps_all-data_v1.csv
CD-60370,01:54:31.1977,-59:30:34.727,,5727.0,11.241,10.599,10.504000000000001,214.57,CD-60370_harps_all-data_v1.dat,CD-60370_harps_all-data_v1.csv
CD-692101,23:31:00.7880,-69:05:10.840,K3V,4797.0,9.89,8.98,8.847000000000001,30.27,CD-692101_harps_all-data_v1.dat,CD-692101_harps_all-data_v1.csv
CD-8028,01:05:38.2160,-80:03:40.695,K2,5126.9,10.98,10.25,9.905,400.21,CD-8028_harps_all-data_v1.dat,CD-8028_harps_all-data_v1.csv
CD-8480,07:30:59.4435,-84:19:27.687,G9V,5151.0,10.82,9.98,9.679,69.16,CD-8480_harps_all-data_v1.dat,CD-8480_harps_all-data_v1.csv
CoRoT-13,06:50:53.0726,-05:05:11.190,G0V,5305.4,15.33,15.039000000000001,14.915,1184.97,CoRoT-13_harps_all-data_v1.dat,CoRoT-13_harps_all-data_v1.csv
CoRoT-1,06:48:19.1724,-03:06:07.710,G0V,5907.7,,13.6,13.457,805.28,CoRoT-1_harps_all-data_v1.dat,CoRoT-1_harps_all-data_v1.csv
CoRoT-22,18:42:40.1113,+06:13:08.983,G8V,,14.74,13.944,13.731,638.49,CoRoT-22_harps_all-data_v1.dat,CoRoT-22_harps_all-data_v1.csv
CoRoT-24,06:47:41.4116,-03:43:09.483,,5026.2,,,15.18,601.21,CoRoT-24_harps_all-data_v1.dat,CoRoT-24_harps_all-data_v1.csv
CoRoT-25,18:42:31.1200,+06:30:49.746,,5018.0,15.84,15.02,14.710999999999999,1137.79,CoRoT-25_harps_all-data_v1.dat,CoRoT-25_harps_all-data_v1.csv
CoRoT-32,06:40:46.8401,+09:15:26.693,K0V,5740.6,14.4,13.72,13.587,586.2,CoRoT-32_harps_all-data_v1.dat,CoRoT-32_harps_all-data_v1.csv
CoRoT-7,06:43:49.4690,-01:03:46.825,K0V,5101.2,12.78,11.73,11.524000000000001,160.64,CoRoT-7_harps_all-data_v1.dat,CoRoT-7_harps_all-data_v1.csv
CoRoT101332685,19:27:55.7771,+01:38:06.396,,,17.145,15.767000000000001,15.193,,CoRoT101332685_harps_all-data_v1.dat,CoRoT101332685_harps_all-data_v1.csv
CoRoT101614469,19:29:56.7902,+00:05:53.100,,4329.0,16.590999999999998,15.106,14.732000000000001,,CoRoT101614469_harps_all-data_v1.dat,CoRoT101614469_harps_all-data_v1.csv
CoRoT102296945,06:09:33.1533,+04:41:12.323,G8III,4689.8,,,13.117,179.66,CoRoT102296945_harps_all-data_v1.dat,CoRoT102296945_harps_all-data_v1.csv
CoRoT102352354,06:12:10.9897,+05:02:26.984,G8V,5026.2,,,13.863,458.04,CoRoT102352354_harps_all-data_v1.dat,CoRoT102352354_harps_all-data_v1.csv
CoRoT102387834,06:13:50.7631,+05:18:08.670,G0III,4364.5,,,14.015999999999998,2838.49,CoRoT102387834_harps_all-data_v1.dat,CoRoT102387834_harps_all-data_v1.csv
CoRoT102568803,06:40:33.1408,+00:16:58.890,K6III,4506.3,,,13.674000000000001,199.82,CoRoT102568803_harps_all-data_v1.dat,CoRoT102568803_harps_all-data_v1.csv
CoRoT102615551,06:41:47.9941,-00:35:15.755,K9V,4173.0,16.028,14.65,14.142000000000001,,CoRoT102615551_harps_all-data_v1.dat,CoRoT102615551_harps_all-data_v1.csv
CoRoT102755837,06:44:54.2956,-00:45:45.828,K4III,4916.7,,13.876,13.591,1329.43,CoRoT102755837_harps_all-data_v1.dat,CoRoT102755837_harps_all-data_v1.csv
CoRoT104620638,18:36:04.8797,+09:26:13.180,,,15.341,14.6,14.440999999999999,836.61,CoRoT104620638_harps_all-data_v1.dat,CoRoT104620638_harps_all-data_v1.csv
CoRoT110676555,06:51:59.0892,-05:36:48.873,G8V,5383.0,,13.953,13.839,,CoRoT110676555_harps_all-data_v1.dat,CoRoT110676555_harps_all-data_v1.csv
CoRoT110752102,06:51:18.0473,-03:22:15.205,G8V,5296.0,,14.842,14.673,957.03,CoRoT110752102_harps_all-data_v1.dat,CoRoT110752102_harps_all-data_v1.csv
CoRoT110838244,06:50:50.2643,-05:00:35.752,F8IV,5836.8,,,14.793,1709.99,CoRoT110838244_harps_all-data_v1.dat,CoRoT110838244_harps_all-data_v1.csv
CoRoT110858446,06:53:25.0734,-05:42:47.045,F4V,5906.7,13.876,13.37,13.243,825.56,CoRoT110858446_harps_all-data_v1.dat,CoRoT110858446_harps_all-data_v1.csv
CoRoT221699621,06:29:30.1511,+06:16:30.661,K0V,5854.2,,,13.652999999999999,733.14,CoRoT221699621_harps_all-data_v1.dat,CoRoT221699621_harps_all-data_v1.csv
CoRoT604178318,06:08:34.4981,+06:35:17.006,,5633.4,,,13.280999999999999,625.35,CoRoT604178318_harps_all-data_v1.dat,CoRoT604178318_harps_all-data_v1.csv
CoRoT631423929,18:34:29.8722,+06:52:46.500,F8IV,,,,12.618,555.68,CoRoT631423929_harps_all-data_v1.dat,CoRoT631423929_harps_all-data_v1.csv
EPIC210558622,04:03:10.2791,+16:20:50.761,K7V,4430.4,,,12.008,100.22,EPIC210558622_harps_all-data_v1.dat,EPIC210558622_harps_all-data_v1.csv
EPIC210744674,04:23:26.1646,+19:01:38.982,,4496.4,,,,,EPIC210744674_harps_all-data_v1.dat,EPIC210744674_harps_all-data_v1.csv
EPIC210968143,03:56:36.5759,+22:28:21.529,K5V,4110.9,15.18,13.86,13.229000000000001,134.71,EPIC210968143_harps_all-data_v1.dat,EPIC210968143_harps_all-data_v1.csv
EPIC212460519,13:34:11.1700,-13:34:36.966,K7V,4309.7,14.15,12.92,12.401,103.25,EPIC212460519_harps_all-data_v1.dat,EPIC212460519_harps_all-data_v1.csv
EPIC212469831,13:28:16.5034,-13:22:46.520,,5367.0,,,,,EPIC212469831_harps_all-data_v1.dat,EPIC212469831_harps_all-data_v1.csv
EPIC212572439,13:37:45.6202,-11:11:33.271,K2V,4947.8,,,13.052,287.74,EPIC212572439_harps_all-data_v1.dat,EPIC212572439_harps_all-data_v1.csv
EPIC212645891,14:01:05.5248,-09:32:24.403,,5543.0,,,,,EPIC212645891_harps_all-data_v1.dat,EPIC212645891_harps_all-data_v1.csv
EPIC212735333,13:29:34.4834,-07:22:26.371,,5440.2,12.88,12.16,11.994000000000002,249.39,EPIC212735333_harps_all-data_v1.dat,EPIC212735333_harps_all-data_v1.csv
EPIC219409830,19:13:43.3439,-16:49:11.054,,5418.7,,,12.276,313.05,EPIC219409830_harps_all-data_v1.dat,EPIC219409830_harps_all-data_v1.csv
EPIC219503117,19:16:59.4110,-16:35:27.120,,5441.3,,,12.419,305.02,EPIC219503117_harps_all-data_v1.dat,EPIC219503117_harps_all-data_v1.csv
EPIC219661601,19:13:41.2691,-16:10:20.171,,,,,11.812999999999999,306.06,EPIC219661601_harps_all-data_v1.dat,EPIC219661601_harps_all-data_v1.csv
EPIC219722212,19:15:21.4166,-16:00:10.691,,5140.2,,,12.765999999999998,321.83,EPIC219722212_harps_all-data_v1.dat,EPIC219722212_harps_all-data_v1.csv
GJ1001,00:04:36.4374,-40:44:02.887,M4V,,14.47,12.84,11.5,12.31,GJ1001_harps_all-data_v1.dat,GJ1001_harps_all-data_v1.csv
GJ1002,00:06:43.1972,-07:32:17.024,M5.5V,,15.72,13.837,11.78,4.85,GJ1002_harps_all-data_v1.dat,GJ1002_harps_all-data_v1.csv
GJ1008,00:19:05.5626,-09:57:53.469,M0V,,11.245999999999999,9.897,9.312000000000001,20.2,GJ1008_harps_all-data_v1.dat,GJ1008_harps_all-data_v1.csv
GJ1009,00:21:56.0447,-31:24:21.812,M1.5,3800.0,12.635,11.13,10.177,18.05,GJ1009_harps_all-data_v1.dat,GJ1009_harps_all-data_v1.csv
GJ1012,00:28:39.4645,-06:39:49.181,M4.18,,13.71,12.23,10.895,13.37,GJ1012_harps_all-data_v1.dat,GJ1012_harps_all-data_v1.csv
GJ1020,00:45:28.6874,-12:52:50.911,G0V,5842.5,6.76,6.15,5.981,32.45,GJ1020_harps_all-data_v1.dat,GJ1020_harps_all-data_v1.csv
GJ1021,00:45:45.5929,-47:33:07.146,G3V,5895.5,6.44,5.8,5.619,14.99,GJ1021_harps_all-data_v1.dat,GJ1021_harps_all-data_v1.csv
GJ1022,00:49:29.0600,-61:02:32.763,M2.0V,,13.63,12.18,11.163,19.51,GJ1022_harps_all-data_v1.dat,GJ1022_harps_all-data_v1.csv
GJ1032,01:09:12.5019,-24:41:20.916,M3,,13.783,12.25,11.117,20.38,GJ1032_harps_all-data_v1.dat,GJ1032_harps_all-data_v1.csv
GJ1043,02:12:48.0856,+21:12:39.577,F5V,6410.0,,,5.075,30.0,GJ1043_harps_all-data_v1.dat,GJ1043_harps_all-data_v1.csv
GJ1044,02:13:12.1646,-21:11:47.237,K7V,,11.195,9.831,9.26,23.75,GJ1044_harps_all-data_v1.dat,GJ1044_harps_all-data_v1.csv
GJ1046,02:19:10.0761,-36:46:41.180,M2.5+V,,13.149000000000001,11.595,10.529000000000002,15.2,GJ1046_harps_all-data_v1.dat,GJ1046_harps_all-data_v1.csv
GJ1048,02:36:00.7756,-23:31:16.766,K3.5Vk:,4715.1,9.406,8.328,7.987,21.22,GJ1048_harps_all-data_v1.dat,GJ1048_harps_all-data_v1.csv
GJ1050,02:39:50.7113,-34:07:57.562,M3,,13.32,11.73,10.679,10.87,GJ1050_harps_all-data_v1.dat,GJ1050_harps_all-data_v1.csv
GJ1056,03:08:22.4330,-60:10:21.177,K5Vk:,4366.4,10.487,9.259,8.8,21.94,GJ1056_harps_all-data_v1.dat,GJ1056_harps_all-data_v1.csv
GJ1057,03:13:22.9175,+04:46:29.343,M4.5Ve,,15.61,14.001,12.123,8.61,GJ1057_harps_all-data_v1.dat,GJ1057_harps_all-data_v1.csv
GJ105A,02:36:04.9023,+06:53:12.431,K3V,,6.81,,5.478,7.24,GJ105A_harps_all-data_v1.dat,GJ105A_harps_all-data_v1.csv
GJ105B,02:36:15.2666,+06:52:17.924,M3.5V,,13.28,,10.318,7.22,GJ105B_harps_all-data_v1.dat,GJ105B_harps_all-data_v1.csv
GJ1061,03:35:59.6996,-44:30:45.725,M5.5V,,14.98,13.07,10.989,3.67,GJ1061_harps_all-data_v1.dat,GJ1061_harps_all-data_v1.csv
GJ1065,03:50:44.2892,-06:05:41.629,M3V,,14.48,12.843,11.456,9.94,GJ1065_harps_all-data_v1.dat,GJ1065_harps_all-data_v1.csv
GJ1066,03:56:36.3803,-41:20:36.849,K6Vk:,4274.9,10.085,8.847000000000001,8.37,17.57,GJ1066_harps_all-data_v1.dat,GJ1066_harps_all-data_v1.csv
GJ1068,04:10:28.1233,-53:36:08.138,M4.5,,15.51,13.58,11.914000000000001,7.11,GJ1068_harps_all-data_v1.dat,GJ1068_harps_all-data_v1.csv
GJ1075,05:05:47.3723,-57:33:13.797,K7Vk,3968.5,10.347000000000001,8.932,8.285,11.7,GJ1075_harps_all-data_v1.dat,GJ1075_harps_all-data_v1.csv
GJ1079,05:26:14.7381,-32:30:17.136,K2/3V,,8.673,7.711,7.409,17.88,GJ1079_harps_all-data_v1.dat,GJ1079_harps_all-data_v1.csv
GJ1084,05:47:18.2146,-48:31:30.503,K7.0,,11.12,9.722000000000001,9.106,20.79,GJ1084_harps_all-data_v1.dat,GJ1084_harps_all-data_v1.csv
GJ1085,05:48:34.9401,-04:05:40.719,G2V,5717.0,6.61,5.97,5.792000000000001,15.25,GJ1085_harps_all-data_v1.dat,GJ1085_harps_all-data_v1.csv
GJ1089,06:31:18.3318,-51:49:33.446,F8VFe-0.4,6156.0,6.102,5.5729999999999995,5.43,36.86,GJ1089_harps_all-data_v1.dat,GJ1089_harps_all-data_v1.csv
GJ108,02:42:33.4664,-50:48:01.056,F8V,,5.97,5.4,5.224,17.33,GJ108_harps_all-data_v1.dat,GJ108_harps_all-data_v1.csv
GJ1094,07:02:42.9174,-06:47:57.214,K4V,,9.442,8.351,7.985,19.11,GJ1094_harps_all-data_v1.dat,GJ1094_harps_all-data_v1.csv
GJ1099,07:34:17.5861,+00:59:09.267,M2.5Ve,,13.4,,10.87,15.6,GJ1099_harps_all-data_v1.dat,GJ1099_harps_all-data_v1.csv
GJ10,00:11:15.8508,-15:28:04.740,F8VFe-0.8CH-0.5,,5.38,4.89,4.691,17.99,GJ10_harps_all-data_v1.dat,GJ10_harps_all-data_v1.csv
GJ1123,09:17:05.3224,-77:49:23.382,M4.5V,,14.74,13.1,11.562000000000001,9.51,GJ1123_harps_all-data_v1.dat,GJ1123_harps_all-data_v1.csv
GJ1126,09:30:28.0876,-32:06:12.253,K3.5V,,9.311,8.318999999999999,7.992999999999999,19.63,GJ1126_harps_all-data_v1.dat,GJ1126_harps_all-data_v1.csv
GJ1129,09:44:47.3475,-18:12:48.962,M3.5Ve,,14.19,12.455,11.085,11.01,GJ1129_harps_all-data_v1.dat,GJ1129_harps_all-data_v1.csv
GJ1132,10:14:51.7783,-47:09:24.189,M4,,15.25,13.52,12.138,12.62,GJ1132_harps_all-data_v1.dat,GJ1132_harps_all-data_v1.csv
GJ1135,10:41:09.3043,-36:53:43.665,M0.5,,11.422,9.943999999999999,9.259,15.63,GJ1135_harps_all-data_v1.dat,GJ1135_harps_all-data_v1.csv
GJ1137,10:44:20.9151,-33:34:37.286,K2IV-V,4997.1,9.27,8.33,8.042,28.54,GJ1137_harps_all-data_v1.dat,GJ1137_harps_all-data_v1.csv
GJ1144,11:16:22.1464,-14:41:36.154,K7V,4017.7,11.397,9.98,9.328,18.27,GJ1144_harps_all-data_v1.dat,GJ1144_harps_all-data_v1.csv
GJ1145,11:17:07.5069,-27:48:48.710,K7,4077.0,11.169,9.758,9.105,17.66,GJ1145_harps_all-data_v1.dat,GJ1145_harps_all-data_v1.csv
GJ115,02:50:41.4220,-44:04:52.687,F8V,,8.74,8.19,8.011000000000001,64.79,GJ115_harps_all-data_v1.dat,GJ115_harps_all-data_v1.csv
GJ1161,12:35:33.5525,-34:52:54.906,K3.5Vk:,,8.89,7.843999999999999,7.4910000000000005,21.68,GJ1161_harps_all-data_v1.dat,GJ1161_harps_all-data_v1.csv
GJ1177,13:47:42.1636,-32:25:48.140,K6+K7V,4237.3,,,,,GJ1177_harps_all-data_v1.dat,GJ1177_harps_all-data_v1.csv
GJ117,02:52:32.1281,-12:46:10.970,K1V,,6.91,6.05,5.797000000000001,10.36,GJ117_harps_all-data_v1.dat,GJ117_harps_all-data_v1.csv
GJ118,02:52:22.1697,-63:40:47.320,M2.5,,12.967,11.382,10.318,11.74,GJ118_harps_all-data_v1.dat,GJ118_harps_all-data_v1.csv
GJ1191,15:22:36.6949,-10:39:40.054,K2V,4976.5,8.932,7.942,7.672999999999999,22.12,GJ1191_harps_all-data_v1.dat,GJ1191_harps_all-data_v1.csv
GJ1214,17:15:18.9337,+04:57:50.064,M4.5V,,16.4,,13.009,14.65,GJ1214_harps_all-data_v1.dat,GJ1214_harps_all-data_v1.csv
GJ121,03:02:23.4993,-23:37:28.093,A3IV-V,7562.8,4.25,4.09,3.9939999999999998,25.92,GJ121_harps_all-data_v1.dat,GJ121_harps_all-data_v1.csv
GJ1224,18:07:32.8377,-15:57:47.066,M4.0Ve,,15.44,13.48,11.878,7.96,GJ1224_harps_all-data_v1.dat,GJ1224_harps_all-data_v1.csv
GJ1232,19:09:50.8733,+17:40:06.408,M4V,,15.44,13.55,11.956,10.26,GJ1232_harps_all-data_v1.dat,GJ1232_harps_all-data_v1.csv
GJ1236,19:22:02.0706,+07:02:30.314,M4V,,14.01,,11.259,10.62,GJ1236_harps_all-data_v1.dat,GJ1236_harps_all-data_v1.csv
GJ1239,19:32:30.2696,-35:27:06.210,K4+V,,9.742,8.645,8.281,21.12,GJ1239_harps_all-data_v1.dat,GJ1239_harps_all-data_v1.csv
