#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-10T00:33:30 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d9e7c30bd62	
#INFO	-out.max=unlimited	
#INFO	queryParameters=30	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/531/A92&tab:{J/A+A/531/A92/table1}&key:source=J/A+A/531/A92&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/531/A92/table1
#-order=I
#-out=Seq
#-out=pmRA
#-out=pmDE
#-out=Bmag
#-out=Vmag
#-out=Jmag
#-out=Hmag
#-out=Ksmag
#-out=rmag
#-out=plx
#-out=Dist
#-out=RV
#-out=Vpar
#-out=Vper
#-out=Mass
#-out=M
#M=M
#-out=Simbad
#Simbad=Simbad
#-out=RAJ2000
#-out=DEJ2000
#

#RESOURCE=yCat_35310092
#Name: J/A+A/531/A92
#Title: Deep all-sky census of the Hyades (Roeser+, 2011)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	J_A_A_531_A92_table1:
#Name: J/A+A/531/A92/table1
#Title: Data of 724 Hyades candidates
#Column	Seq	(I3)	[1/724] Running number	[ucd=meta.id;meta.main]
#Column	pmRA	(F7.2)	Proper motion in RA*cos(DE)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	Proper motion in DE	[ucd=pos.pm;pos.eq.dec]
#Column	Bmag	(F7.3)	? Johnson B magnitude (from ASCC-2.5, I/280)	[ucd=phot.mag;em.opt.B]
#Column	Vmag	(F7.3)	? Johnson V magnitude (from ASCC-2.5, I/280)	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F7.3)	? 2MASS J magnitude (II/246)	[ucd=phot.mag;em.IR.J]
#Column	Hmag	(F7.3)	? 2MASS H magnitude (II/246)	[ucd=phot.mag;em.IR.H]
#Column	Ksmag	(F7.3)	? 2MASS Ks magnitude (II/246)	[ucd=phot.mag;em.IR.K]
#Column	rmag	(F7.3)	? SDSS r' magnitude from CMC14 (I/304)	[ucd=phot.mag;em.opt.R]
#Column	plx	(F5.2)	Secular parallax	[ucd=pos.parallax.trig]
#Column	Dist	(F5.2)	Distance from the cluster centre	[ucd=pos.distance;pos.heliocentric]
#Column	RV	(F5.2)	Predicted radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	Vpar	(F5.2)	Tangential velocity in direction to the convergent point	[ucd=phys.veloc.transverse]
#Column	Vper	(F5.2)	Tangential velocity perpendicular to the direction to the convergent point	[ucd=phys.veloc.transverse]
#Column	Mass	(F6.2)	mass of the star (from M/L relation) (1)	[ucd=phys.mass]
#Column	M	(A1)	Details from the quoted Catalogs: PPMXL (I/317), CMC14 (I/304), ASCC-2.5 (I/280), 2MASS (II/246)	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	RAJ2000	(F10.6)	Right Ascension J2000.0, epoch 2000.0	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination J2000.0, epoch 2000.0	[ucd=pos.eq.dec;meta.main]
Seq	pmRA	pmDE	Bmag	Vmag	Jmag	Hmag	Ksmag	rmag	plx	Dist	RV	Vpar	Vper	Mass	M	Simbad	RAJ2000	DEJ2000
 20	 164.28	 -48.55	       	       	 11.752	 11.165	 10.914	 15.547	20.45	26.89	21.97	39.72	 0.17	  0.23	M	Simbad	040.289621	+39.603220
 21	 156.04	  -9.21	       	       	  9.665	  9.043	  8.843	 12.580	19.46	22.17	24.69	38.09	 0.07	  0.59	M	Simbad	040.351351	+17.479055
 22	 184.91	 -26.04	       	       	 10.847	 10.260	  9.965	 14.999	23.50	19.21	25.32	37.67	 0.26	  0.32	M	Simbad	042.085260	+23.871962
 23	 124.09	 -38.08	       	       	 11.320	 10.722	 10.470	 14.856	16.08	29.36	24.57	38.17	-2.80	  0.38	M	Simbad	042.213204	+30.643674
 24	 188.17	  67.45	 12.657	 10.721	  8.433	  7.951	  7.629	 10.658	24.86	26.77	24.91	37.95	 3.65	  0.72	M	Simbad	043.157344	-09.232328
 25	 201.96	 -82.13	  7.398	  6.871	  5.882	  5.682	  5.572	       	26.37	25.09	22.91	39.18	-0.83	  1.26	M	Simbad	043.558807	+42.588785
 26	 196.63	 -62.94	       	       	  9.817	  9.205	  8.955	 12.999	25.75	21.63	24.81	38.01	-0.38	  0.46	M	Simbad	044.171895	+35.376271
 27	 187.28	 -46.88	  9.778	  8.914	  7.383	  6.997	  6.905	       	24.58	19.23	25.95	37.24	-0.26	  0.92	M	Simbad	044.444469	+29.661459
 28	 235.57	 -30.09	  6.230	  5.791	  5.308	  4.815	  4.778	       	30.89	20.20	27.05	36.45	 0.02	  1.45	M	Simbad	044.521759	+20.668737
 29	 123.31	 -21.60	       	       	 12.062	 11.437	 11.144	 16.176	16.23	25.45	26.92	36.55	-0.81	  0.27	M	Simbad	044.565944	+22.482171
 30	 227.05	 -89.89	       	       	 10.411	  9.779	  9.517	 14.753	30.26	23.93	24.44	38.25	-1.10	  0.31	M	Simbad	044.943135	+38.926723
 31	 327.44	  19.32	  8.903	  7.967	  6.323	  5.951	  5.841	       	43.25	26.73	27.71	35.95	 0.63	  0.88	M	Simbad	045.011715	+07.749751
 32	 169.72	 -66.09	       	       	 11.306	 10.701	 10.430	 15.125	22.78	22.14	25.00	37.88	-1.17	  0.26	M	Simbad	045.451339	+37.555631
 33	 240.34	 -51.54	       	       	 11.609	 11.018	 10.686	 16.696	32.09	21.05	27.25	36.30	 0.84	  0.16	M	Simbad	046.282918	+27.707745
 34	 139.94	 -45.73	       	       	 10.835	 10.247	 10.018	 14.265	19.24	19.02	27.55	36.07	-3.84	  0.39	M	Simbad	046.336266	+25.751091
 35	 181.09	 -25.25	       	       	 12.202	 11.648	 11.311	 16.361	23.87	17.21	27.44	36.16	 3.29	  0.16	M	Simbad	046.476747	+27.142396
 36	 226.42	  -3.30	       	       	 11.288	 10.683	 10.425	 15.661	30.51	19.35	28.68	35.18	 0.31	  0.19	M	Simbad	046.562581	+12.098516
 37	 205.94	 -25.65	       	       	 10.925	 10.355	 10.066	 14.858	27.85	17.37	28.52	35.31	-0.98	  0.25	M	Simbad	046.609212	+17.224797
 38	 133.71	   1.79	       	       	 12.329	 11.809	 11.481	 17.132	18.09	20.25	28.85	35.04	 0.49	  0.20	M	Simbad	046.818086	+10.443962
 39	 155.87	  -8.20	       	       	  9.973	  9.331	  9.087	 12.980	21.35	15.38	29.31	34.66	-0.07	  0.51	M	Simbad	047.680860	+13.643218
 40	 183.67	 -61.37	  8.892	  8.153	  6.827	  6.557	  6.459	       	25.36	18.71	27.39	36.20	 0.04	  1.03	M	Simbad	048.261637	+32.896449
 41	 142.90	 -47.88	       	       	 11.389	 10.804	 10.535	 15.162	19.85	19.54	27.66	35.99	-0.25	  0.29	M	Simbad	048.480858	+32.097322
 42	 161.61	  -7.48	       	       	 12.189	 11.644	 11.335	 16.451	22.12	14.19	29.50	34.49	 3.48	  0.17	M	Simbad	048.638293	+19.719931
 43	 204.72	 -94.20	       	       	  9.317	  8.635	  8.410	 12.636	29.08	21.67	26.70	36.70	-1.61	  0.51	M	Simbad	048.907712	+37.403983
 44	 188.81	 -42.58	 12.509	 11.101	       	  7.894	  7.417	 10.520	26.33	16.22	29.10	34.83	 0.95	  0.75	M	Simbad	049.345269	+26.315064
 45	 169.86	  -6.31	  7.957	  7.370	  6.291	  6.052	  5.992	       	23.80	15.59	30.33	33.77	-2.44	  1.21	M	Simbad	049.359951	+07.655811
 46	 171.13	  -6.53	  8.395	  7.760	  6.639	  6.400	  6.361	       	23.99	15.60	30.34	33.76	-2.45	  1.13	M	Simbad	049.386589	+07.690154
 47	 123.52	  15.81	 13.249	 11.967	  9.369	  8.723	  8.555	 11.298	17.42	20.03	30.47	33.64	 3.98	  0.68	M	Simbad	049.562916	+09.245150
 48	 138.97	 -49.86	       	       	 12.597	 12.010	 11.695	 16.968	19.72	18.81	28.31	35.48	-0.75	  0.16	M	Simbad	049.573994	+31.553260
 49	 157.89	 -81.69	       	       	  9.297	  8.630	  8.428	 11.633	22.27	24.78	25.08	37.83	-0.02	  0.61	M	Simbad	049.625026	+44.536949
 50	 209.17	 -99.02	 12.800	 11.321	  8.227	  7.573	  7.399	       	30.63	20.40	28.13	35.62	-3.68	  0.67	M	Simbad	049.659681	+32.665794
 51	 114.14	 -48.33	 10.004	  9.183	  7.835	  7.496	  7.393	  9.015	16.64	23.78	28.64	35.21	-2.73	  1.01	M	Simbad	050.041854	+31.085455
 52	 226.29	   3.25	 10.766	  9.630	  7.545	  6.955	  6.881	  9.134	32.16	19.52	30.78	33.36	-0.21	  0.78	M	Simbad	050.121646	+08.454445
 53	 220.90	 -63.98	 12.460	 11.019	  8.249	  7.590	  7.415	 10.438	31.71	19.23	29.63	34.38	-0.23	  0.65	M	Simbad	050.617249	+27.156054
 54	 147.94	 -51.19	       	       	 10.823	 10.195	  9.939	 14.620	21.41	15.74	29.33	34.64	-1.09	  0.36	M	Simbad	050.631985	+28.974745
 55	 170.17	 -78.14	       	       	 12.552	 11.944	 11.599	 17.504	24.36	20.93	27.07	36.43	 0.48	  0.14	M	Simbad	050.952676	+39.592253
 56	 127.05	 -42.05	       	       	 11.290	 10.661	 10.398	 15.280	18.82	15.32	30.66	33.47	-4.00	  0.33	M	Simbad	051.150736	+21.838481
 57	 185.58	  32.00	       	       	 10.060	  9.452	  9.197	 13.276	26.66	20.27	30.67	33.46	-1.24	  0.41	M	Simbad	051.262885	-03.138986
 58	 193.25	 -16.09	       	       	 11.844	 11.247	 10.884	 16.699	28.04	15.41	31.40	32.78	-0.81	  0.17	M	Simbad	051.296647	+13.009306
 59	 136.34	 -81.14	       	       	 12.612	 11.995	 11.762	 16.684	20.33	24.52	26.34	36.97	-1.51	  0.15	M	Simbad	051.676486	+43.206408
 60	 151.30	 -34.50	       	       	 12.360	 11.717	 11.433	 16.287	21.93	13.50	30.67	33.46	 2.31	  0.16	M	Simbad	052.543374	+26.816479
 61	 132.52	 -58.34	  7.804	  7.288	  6.354	  6.147	  6.109	       	19.70	19.55	29.10	34.84	 0.47	  1.32	M	Simbad	053.166322	+35.659294
 62	 161.11	 -41.13	  9.719	  8.870	  7.374	  7.018	  6.907	       	24.11	12.28	31.49	32.69	 0.04	  0.94	M	Simbad	053.208659	+23.692183
 63	 118.22	  21.49	 13.239	 11.772	  9.343	  8.696	  8.490	 11.366	17.86	18.59	32.46	31.72	 3.30	  0.69	M	Simbad	053.272094	+04.958116
 64	 192.58	 -45.89	       	       	 11.355	 10.774	 10.475	 15.606	29.04	15.31	31.87	32.31	-0.19	  0.19	M	Simbad	053.543987	+22.072577
 65	 178.28	 -15.09	       	       	  9.559	  8.960	  8.699	 12.780	27.08	13.67	32.88	31.29	-1.24	  0.49	M	Simbad	053.929087	+11.556160
 66	 169.30	 -24.65	       	       	  9.100	  8.474	  8.231	 12.078	25.81	11.77	32.76	31.41	 0.56	  0.59	M	Simbad	054.388949	+17.854042
 67	 175.49	 -32.22	       	       	  9.186	  8.564	  8.300	 12.756	26.92	12.73	32.76	31.41	-0.60	  0.56	M	Simbad	054.391269	+17.850134
 68	 144.51	 -26.02	 10.282	  9.362	  7.645	  7.274	  7.121	  9.024	21.87	10.34	32.40	31.79	 1.46	  0.94	M	Simbad	054.395732	+21.343177
 69	 180.75	   8.57	       	       	 11.893	 11.322	 10.996	 16.889	27.72	15.28	33.20	30.95	 0.05	  0.16	M	Simbad	054.529789	+06.573844
 70	 181.65	 -42.86	       	       	 10.567	  9.970	  9.713	 14.353	28.10	13.81	32.70	31.48	-0.62	  0.30	M	Simbad	054.779734	+20.424083
 71	 122.11	 -44.70	 11.814	 10.767	  8.742	  8.152	  8.055	 10.282	18.85	15.57	31.47	32.71	-0.17	  0.77	M	Simbad	054.782982	+28.382254
 72	 113.76	   3.12	 10.934	  9.994	  8.138	  7.672	  7.525	  9.658	17.57	17.80	33.45	30.68	-0.95	  0.96	M	Simbad	055.031495	+05.874590
 73	 153.48	 -47.75	       	       	 10.038	  9.418	  9.162	 13.338	24.14	10.95	32.63	31.55	-1.01	  0.45	M	Simbad	055.403761	+23.343696
 74	 156.66	 -42.39	       	       	  9.710	  9.107	  8.868	 12.659	24.81	10.40	33.23	30.91	-2.35	  0.49	M	Simbad	055.481202	+18.759951
 75	 154.40	 -22.35	       	       	 11.609	 11.022	 10.742	 15.842	24.11	 9.78	33.46	30.67	 0.04	  0.21	M	Simbad	055.518477	+16.421754
 76	 175.49	 -59.67	       	       	 10.202	  9.545	  9.316	 14.267	27.94	13.83	32.77	31.41	-1.65	  0.37	M	Simbad	055.721935	+23.447112
 77	 172.22	 -60.60	       	       	 10.772	 10.155	  9.903	 14.772	27.20	13.99	32.37	31.81	-0.35	  0.28	M	Simbad	055.897957	+26.358654
 78	 136.60	 -40.81	       	       	 10.484	  9.831	  9.612	 13.953	21.82	 9.12	33.23	30.92	-1.83	  0.41	M	Simbad	055.946160	+20.860084
 79	 113.05	  14.95	       	       	 10.802	 10.228	  9.982	 14.022	18.10	15.46	34.28	29.75	 2.73	  0.42	M	Simbad	056.583442	+06.739960
 80	 219.85	 -25.47	       	       	 10.733	 10.159	  9.851	 14.889	35.09	18.93	34.15	29.89	 0.57	  0.22	M	Simbad	056.748137	+15.404688
 81	 173.27	   5.22	 12.189	 10.845	  8.273	  7.624	  7.509	 10.253	27.89	14.31	34.53	29.46	-0.03	  0.69	M	Simbad	057.049425	+07.146241
 82	 159.42	 -56.70	 15.798	 14.185	  9.805	  9.225	  8.944	 13.480	26.12	11.83	33.44	30.69	-0.94	  0.46	M	Simbad	057.430291	+24.317965
 83	 129.76	 -23.07	 10.258	  9.494	  7.776	  7.401	  7.249	  9.115	21.12	 7.50	34.43	29.58	 0.06	  0.92	M	Simbad	057.604035	+17.246507
 84	 138.76	  -0.39	       	       	 11.456	 10.901	 10.627	 15.376	22.40	12.51	34.72	29.23	-2.82	  0.24	M	Simbad	057.616480	+04.112592
 85	 148.02	 -48.50	 11.364	 10.231	  8.106	  7.540	  7.395	  9.684	24.25	10.02	33.66	30.45	-0.27	  0.80	M	Simbad	057.762967	+23.903650
 86	 134.59	 -48.61	 12.283	 11.104	  8.704	  8.042	  7.893	 10.570	22.17	 9.88	33.52	30.60	 0.03	  0.72	M	Simbad	058.170881	+25.804443
 87	 131.12	 -43.69	       	       	 12.960	 12.412	 12.056	 17.237	21.49	 9.62	33.63	30.48	 0.46	  0.13	M	Simbad	058.177925	+25.207298
 88	 143.75	 -29.76	  6.321	  5.957	  5.254	  5.161	  5.091	       	23.83	 7.83	34.75	29.20	-0.54	  1.56	M	Simbad	058.291859	+17.327084
 89	  83.07	 -41.11	 10.756	  9.894	  8.489	  8.069	  8.041	  9.680	14.21	27.38	33.34	30.80	-2.70	  0.94	M	Simbad	058.302523	+27.082679
 90	 145.08	 -70.70	       	       	 10.456	  9.838	  9.582	 14.531	24.14	13.51	32.49	31.69	-0.32	  0.38	M	Simbad	058.403044	+31.206718
 91	 147.62	 -14.82	       	       	 11.559	 10.984	 10.677	 15.871	24.45	 8.72	35.11	28.76	 0.13	  0.21	M	Simbad	058.443737	+13.392004
 92	  82.60	 -54.41	       	       	 11.313	 10.721	 10.482	 15.068	14.39	29.97	31.72	32.46	-2.89	  0.42	M	Simbad	058.471068	+34.359656
 93	 134.41	 -19.18	       	       	  9.960	  9.367	  9.056	 13.763	22.31	 6.57	35.05	28.84	 0.77	  0.50	M	Simbad	058.721741	+16.315640
 94	 127.37	 -11.74	 11.180	 10.094	  8.181	  7.692	  7.574	  9.743	21.26	 7.45	35.31	28.52	-0.13	  0.83	M	Simbad	058.755996	+12.485583
 95	 148.39	 -24.87	  9.888	  8.983	  7.413	  7.038	  6.910	       	24.69	 8.38	35.01	28.88	 0.49	  0.92	M	Simbad	058.777091	+16.998477
 96	 135.30	 -70.42	       	       	 12.105	 11.526	 11.236	 16.548	22.99	12.86	32.75	31.43	-1.10	  0.17	M	Simbad	058.827488	+30.895053
 97	  99.41	 -69.31	       	       	 10.581	  9.931	  9.711	 13.830	17.49	21.36	31.45	32.73	-2.76	  0.48	M	Simbad	058.903377	+35.981701
 98	 206.72	 -63.24	       	       	 12.063	 11.414	 11.096	 16.718	34.84	18.53	34.58	29.41	-0.73	  0.12	M	Simbad	058.903898	+21.313374
 99	 130.12	 -30.93	       	       	 10.230	  9.629	  9.388	 13.587	21.91	 6.40	34.97	28.94	-0.54	  0.45	M	Simbad	058.988199	+18.432290
100	 121.60	 -68.75	       	       	  9.795	  9.188	  8.944	 13.412	20.96	13.86	32.62	31.56	-1.50	  0.54	M	Simbad	059.137927	+31.956896
101	 125.97	 -85.39	       	       	 10.981	 10.384	 10.102	 14.994	22.00	16.68	31.44	32.74	-1.96	  0.33	M	Simbad	059.194039	+36.411521
102	 115.82	 -75.65	       	       	 12.308	 11.763	 11.485	 16.192	18.18	28.58	27.76	35.91	 3.47	  0.19	M	Simbad	059.370169	+47.340427
103	 131.89	 -29.42	       	       	 12.245	 11.668	 11.333	 16.876	22.05	 6.74	34.91	29.01	 1.59	  0.17	M	Simbad	059.558992	+21.051175
104	 133.21	 -16.64	       	       	 11.845	 11.256	 10.987	 15.999	22.68	 6.97	35.69	28.05	-0.82	  0.20	M	Simbad	059.559880	+12.628013
105	 118.40	 -90.20	       	       	 10.623	 10.021	  9.778	 13.989	21.31	17.90	31.19	32.98	-2.88	  0.39	M	Simbad	059.642044	+37.838907
106	  79.30	  -6.67	  9.640	  8.951	  7.726	  7.447	  7.375	  8.899	13.46	29.15	35.71	28.02	 0.62	  1.14	M	Simbad	059.649245	+13.105028
107	 115.98	 -44.75	       	       	 10.357	  9.755	  9.499	 13.463	19.84	10.08	34.32	29.70	-0.30	  0.47	M	Simbad	059.727219	+25.219808
108	 131.40	 -65.94	       	       	  8.717	  8.065	  7.885	 11.008	23.20	 9.81	34.11	29.94	-2.48	  0.70	M	Simbad	059.790565	+26.476098
109	 149.07	 -45.03	       	       	  9.538	  8.914	  8.704	 12.453	25.42	 9.53	34.88	29.04	 0.11	  0.51	M	Simbad	059.809109	+22.043849
110	 107.14	  11.49	       	       	 11.554	 10.981	 10.684	 15.305	18.34	13.79	35.88	27.80	 1.65	  0.30	M	Simbad	059.812393	+06.227896
111	 139.72	 -27.47	       	       	 11.269	 10.661	 10.382	 15.249	23.90	 6.99	35.53	28.25	-0.26	  0.25	M	Simbad	059.812559	+16.664436
112	 126.86	 -73.74	       	       	  9.876	  9.246	  9.000	 12.885	22.17	13.51	32.82	31.35	-1.32	  0.51	M	Simbad	059.852767	+32.320504
113	 134.00	 -42.67	       	       	 11.518	 10.913	 10.651	 15.514	22.78	 7.87	34.70	29.26	 0.48	  0.23	M	Simbad	059.860866	+23.385454
114	 140.62	  -6.48	  6.772	  6.343	  5.565	  5.391	  5.323	       	24.07	 8.68	35.94	27.73	-0.02	  1.44	M	Simbad	059.918743	+10.330395
115	 108.43	 -34.48	       	       	 11.021	 10.386	 10.151	 14.343	18.56	10.84	34.87	29.06	 0.07	  0.38	M	Simbad	059.965962	+22.603739
116	 121.12	 -36.16	       	       	 11.579	 10.970	 10.697	 15.525	21.03	 6.04	35.35	28.47	-1.25	  0.25	M	Simbad	060.064928	+19.410157
117	 128.28	 -14.41	       	       	 10.260	  9.615	  9.344	 14.218	22.04	 5.87	35.91	27.76	 0.43	  0.45	M	Simbad	060.187282	+13.906334
118	 129.18	 -28.78	  6.212	  5.865	  5.236	  5.077	  5.047	       	22.24	 5.54	35.56	28.21	 0.07	  1.64	M	Simbad	060.203189	+18.193999
119	 130.94	 -17.56	       	       	 10.693	 10.083	  9.826	 14.633	22.56	 5.90	35.91	27.76	 0.12	  0.36	M	Simbad	060.247876	+14.345936
120	 126.16	 -72.60	 10.808	  9.773	  8.039	  7.555	  7.446	  9.442	21.97	14.07	32.77	31.41	-0.51	  0.84	M	Simbad	060.281253	+33.196109
121	 179.60	  40.36	       	       	 12.345	 11.754	 11.479	 16.919	31.18	18.96	35.74	27.98	 0.48	  0.12	M	Simbad	060.394009	-00.726188
122	 140.22	  45.32	       	       	 11.846	 11.237	 10.927	 16.014	24.15	19.39	34.98	28.92	-0.79	  0.19	M	Simbad	060.615517	-07.157960
123	 132.21	 -36.54	       	       	 10.770	 10.178	  9.913	 14.717	23.25	 5.94	35.77	27.94	-1.06	  0.34	M	Simbad	060.721293	+18.407292
124	 114.06	 -88.81	       	       	 10.987	 10.390	 10.128	 14.652	20.56	20.08	30.84	33.31	-1.36	  0.34	M	Simbad	060.890865	+40.362017
