TICID Tmag P[d] T0[BJD_TDB-2457000] Duration Depth[ppm] Triage_prediction Vetting_prediction
427352241 9.969 1.264720 1468.823180 2.31 2360 0.992 0.46
33100834 11.332 5.741253 1473.985525 1.79 9060 0.841 0.459
33797807 11.376 7.446982 1468.788619 4.27 1730 0.714 0.459
35491505 11.987 2.714285 1471.002712 3.03 3080 0.979 0.458
119024411 11.095 0.973156 1469.121692 1.93 5860 0.992 0.456
232038798 11.275 4.154500 1471.244036 2.14 10810 0.902 0.456
260268672 11.066 2.199328 1326.994207 1.31 550 0.81 0.452
124493296 11.393 0.462865 1468.916825 1.65 3710 0.994 0.452
46312336 11.418 4.592904 1439.292303 1.76 1730 0.813 0.447
147478809 11.844 1.593514 1469.999134 2.70 3520 0.988 0.445
10001673159 11.388 2.091282 1326.962632 5.19 690 0.888 0.441
443129289 11.610 0.510670 1468.851587 1.56 3470 0.97 0.44
14092291 11.802 1.908158 1439.077233 2.72 12650 0.993 0.435
220397831 11.936 7.048540 1359.766935 11.43 810 0.924 0.434
349576483 11.856 0.259746 1325.701037 0.99 740 0.981 0.433
124106074 11.285 5.586068 1469.075132 4.38 6830 0.295 0.433
157661381 11.533 0.911638 1469.024954 2.17 1620 0.98 0.428
120544415 11.782 1.911447 1468.968402 3.25 4210 0.776 0.423
142468550 11.850 6.658610 1469.047725 3.37 5190 0.959 0.421
279322914 11.542 9.434735 1328.214438 6.12 21230 0.921 0.419
134198986 11.648 1.012970 1468.802921 1.57 4530 0.933 0.417
34366697 11.428 0.746141 1469.256947 1.83 5290 0.989 0.416
72490088 11.895 0.944827 1469.220860 2.55 1520 0.918 0.413
238082493 10.065 0.876523 1468.667915 1.91 1210 0.989 0.413
72580791 11.379 1.754168 1469.274700 2.21 1690 0.945 0.411
443115574 10.523 2.925198 1469.481622 2.73 1500 0.805 0.411
461840150 11.424 0.538105 1468.549807 1.02 1620 0.931 0.408
391745951 11.804 2.429695 1327.495315 3.14 1620 0.935 0.406
20178111 10.244 1.734102 1468.622076 2.18 2290 0.994 0.406
172308091 11.242 1.224808 1469.622611 2.57 1880 0.985 0.405
333340702 11.292 2.029839 1469.033238 2.32 1450 0.906 0.405
375090561 11.381 5.423940 1330.698602 3.15 2840 0.585 0.403
339733013 10.038 5.620686 1328.386377 2.52 550 0.709 0.403
63113815 10.432 1.738210 1469.892651 2.41 1590 0.986 0.401
79142467 10.751 1.003933 1468.769629 3.30 1500 0.988 0.393
157311499 11.142 2.010626 1470.124626 3.29 1050 0.744 0.392
49669244 11.763 1.708877 1469.344553 4.68 9240 0.995 0.392
30321299 11.105 3.864392 1327.954251 3.27 720 0.953 0.388
350274840 11.624 1.597868 1326.048299 2.33 3230 0.99 0.386
72090501 6.832 1.070700 1469.473875 2.16 3820 0.986 0.383
49379306 11.418 2.116823 1469.224144 3.94 3460 0.983 0.382
150437346 11.557 1.392659 1326.870639 2.05 7120 0.993 0.381
79941130 11.975 1.698273 1469.433447 3.58 1920 0.903 0.38
7420600 11.211 1.014010 1439.016749 2.30 2430 0.991 0.376
238197709 10.260 6.864081 1354.344756 2.86 4030 0.918 0.374
47711963 11.225 2.318965 1468.682246 1.68 1280 0.66 0.373
63665158 11.785 3.987102 1471.515918 2.81 9270 0.944 0.366
66915559 11.196 1.127067 1469.542826 3.45 3470 0.985 0.358
34196883 11.631 1.617181 1469.404646 3.54 8310 0.996 0.355
157129452 11.309 1.182573 1468.527976 3.32 1940 0.931 0.355
35582553 9.840 0.935488 1468.837040 1.73 1360 0.98 0.348
389920949 9.888 11.917522 1335.248973 3.96 5930 0.341 0.343
278775625 11.215 5.128430 1328.941195 2.19 670 0.746 0.342
421900585 11.449 6.903744 1472.660729 5.42 1990 0.873 0.339
219151731 10.086 1.485150 1438.985678 2.37 1120 0.971 0.33
443130801 10.576 2.169894 1470.664990 4.12 1270 0.942 0.326
130415266 7.281 13.473506 1481.792518 6.39 8360 0.941 0.324
35290793 10.970 0.280211 1468.827125 1.14 640 0.761 0.311
52324253 10.318 1.676432 1469.319684 2.21 2510 0.992 0.307
150186145 11.788 0.270739 1325.764847 0.93 2580 0.993 0.302
157041282 11.995 6.491574 1474.795888 2.70 9010 0.805 0.302
317548889 6.781 6.861642 1469.573795 3.75 230 0.488 0.301
78820372 10.373 0.812993 1469.265872 1.37 800 0.874 0.293
101144450 11.487 4.368986 1470.701150 2.17 1600 0.59 0.292
348995211 11.333 0.345693 1325.753557 1.34 2260 0.996 0.29
79682476 11.748 3.357798 1470.594351 4.10 1850 0.916 0.288
219421728 11.154 0.671078 1411.370168 1.65 3950 0.996 0.287
284288080 10.783 1.834544 1469.906630 2.99 970 0.593 0.284
30538087 11.740 4.136415 1355.799976 5.80 830 0.713 0.284
317022315 11.968 2.226672 1469.258933 4.81 4500 0.983 0.28
124323593 11.305 5.589151 1469.077755 4.23 5160 0.249 0.279
79139296 11.697 1.516437 1468.911918 2.44 1550 0.865 0.279
157404343 8.352 3.139683 1470.492164 3.63 450 0.972 0.271
172410994 11.392 0.453232 1468.691820 1.19 1490 0.795 0.268
346488066 10.601 0.834499 1469.438340 1.95 840 0.9 0.267
200326413 10.356 0.455446 1411.412194 1.07 900 0.975 0.266
52812339 11.831 5.513609 1473.895818 3.90 2000 0.611 0.266
32641207 11.536 0.407934 1438.509538 1.83 1710 0.992 0.265
48752342 10.087 1.614603 1469.310972 2.33 5170 0.985 0.263
35410741 11.047 1.049614 1469.351019 3.37 1130 0.954 0.262
156992575 10.520 0.486501 1468.795743 2.05 1180 0.991 0.259
52169698 10.885 0.622254 1468.530363 1.53 1300 0.979 0.257
157566468 11.288 1.067850 1468.617298 2.32 6830 0.992 0.257
443257841 11.943 2.697654 1471.092085 1.94 2700 0.543 0.257
47773319 11.797 0.693984 1468.691629 1.72 8850 0.993 0.257
231717034 10.771 2.198655 1384.483532 3.35 2440 0.229 0.248
388128308 11.955 1.194126 1325.815270 2.09 8620 0.993 0.246
31142436 11.714 5.271984 1440.303827 4.11 1080 0.453 0.245
35488933 11.880 2.173153 1469.109265 2.52 1730 0.696 0.245
388850377 11.094 2.467580 1469.295266 1.95 1040 0.577 0.245
34377352 11.594 7.142339 1469.185327 3.51 4860 0.828 0.243
287995512 11.938 0.938523 1468.930512 2.34 10560 0.965 0.242
34521303 11.848 1.891453 1469.549945 3.47 1660 0.743 0.24
220397824 11.379 7.049527 1359.742831 10.45 510 0.495 0.238
37770169 10.650 6.097314 1474.488281 3.85 1860 0.835 0.238
369517674 11.714 0.713896 1469.042390 2.15 1730 0.733 0.237
32643071 10.570 2.161556 1470.560955 3.85 1090 0.972 0.234
348995212 11.471 0.345693 1325.753438 1.34 2580 0.994 0.233
34790951 11.363 4.974178 1473.246406 3.85 5310 0.579 0.227
443451099 11.829 3.133377 1470.767509 3.70 6890 0.981 0.225
120540763 11.908 2.261481 1470.124763 3.31 2900 0.672 0.225
25413404 11.333 1.921603 1469.926743 4.07 4410 0.989 0.221
123457307 11.995 2.870472 1469.458499 4.63 14430 0.974 0.217
31852980 9.821 7.412709 1327.144736 4.09 350 0.203 0.214
33602950 10.780 0.816532 1468.952009 2.70 770 0.46 0.213
92845561 11.352 5.651537 1442.294869 3.08 1350 0.897 0.212
255588086 10.869 0.896959 1438.655066 1.80 2760 0.992 0.211
30848598 10.791 0.753911 1326.409307 3.29 570 0.974 0.211
79143083 10.314 1.503826 1468.975437 3.09 3170 0.993 0.208
120540056 11.158 1.522823 1469.819949 1.76 2560 0.959 0.207
124022931 11.994 5.589151 1469.072801 4.63 19330 0.83 0.206
48806546 11.074 0.932731 1468.802668 1.91 600 0.51 0.196
219205407 10.804 6.125959 1327.329607 1.82 34050 0.977 0.187
150066562 10.186 0.978050 1325.961256 1.11 420 0.404 0.185
63423599 10.661 1.185797 1469.632930 4.90 4070 0.997 0.184
147375101 10.741 1.586524 1469.185487 3.01 730 0.432 0.184
299655932 11.433 1.331064 1468.785574 1.76 1750 0.77 0.179
124097546 11.479 0.750065 1469.124751 1.85 1870 0.818 0.177
238192097 11.919 1.227093 1325.744153 2.20 24100 0.996 0.177
172409594 11.869 0.341709 1468.731897 1.33 2290 0.919 0.175
349483495 11.643 0.998846 1326.031092 2.31 7380 0.997 0.173
167714792 11.072 0.929267 1438.106543 1.58 1030 0.822 0.171
382302241 10.976 1.598020 1326.041226 2.40 2010 0.98 0.168
94989423 11.697 0.977006 1438.996675 1.11 1240 0.899 0.164
260708537 9.342 1.744675 1326.979158 1.26 190 0.566 0.16
333426440 11.379 2.423293 1470.386555 3.75 15780 0.99 0.157
404965758 11.854 0.663947 1326.128108 3.48 2000 0.973 0.155
143350974 11.608 1.081449 1439.142065 2.23 10260 0.98 0.154
34443859 11.583 1.676900 1469.862528 2.61 1800 0.789 0.154
349311188 11.291 5.608167 1326.174989 4.66 510 0.507 0.151
340797848 11.702 7.387224 1474.903044 5.04 4030 0.669 0.15
201508515 11.480 0.986094 1468.913865 1.71 1250 0.278 0.149
48176862 11.412 1.925622 1469.928224 4.17 20480 0.993 0.146
151628217 11.022 1.111059 1438.206509 2.38 9600 0.995 0.145
92880568 10.924 0.588447 1438.538668 1.40 3470 0.993 0.144
33002823 11.063 0.737931 1469.091985 1.96 1840 0.97 0.143
55272169 11.385 1.008285 1326.298004 1.93 430 0.68 0.141
260709785 11.896 1.156873 1325.754191 1.76 650 0.274 0.138
53823382 11.671 3.452825 1470.817027 4.69 7590 0.984 0.135
31109502 11.411 4.077800 1329.635600 3.44 520 0.731 0.134
31054498 9.879 1.411197 1439.448140 3.06 520 0.949 0.132
93123746 11.991 0.634459 1438.554379 3.70 1960 0.952 0.131
32050278 10.889 9.040116 1325.996384 3.51 6510 0.864 0.131
79439026 11.621 0.787574 1468.899673 2.00 4470 0.978 0.13
201369213 11.508 2.809158 1469.713993 3.63 10470 0.961 0.125
78672342 10.118 2.976792 1471.303365 3.44 910 0.872 0.123
25191560 9.787 2.150539 1469.403285 3.83 910 0.856 0.121
78956561 11.109 2.028213 1469.845112 4.02 930 0.321 0.12
393159572 10.821 1.403214 1469.733819 2.57 2490 0.991 0.119
123958679 11.426 5.589151 1469.074462 4.14 4210 0.164 0.119
238006656 11.314 0.877241 1354.366910 1.73 880 0.935 0.116
71917644 11.394 1.109653 1468.838374 2.67 1680 0.798 0.115
364395234 11.708 1.375841 1326.602612 2.70 7660 0.998 0.114
124543547 10.486 5.355631 1471.746463 7.07 3300 0.866 0.114
120027834 11.518 2.996169 1471.466335 3.66 2570 0.6 0.111
375032908 9.328 8.518659 1333.616043 3.21 530 0.26 0.11
143218704 11.692 1.857112 1469.812388 5.55 30850 0.997 0.106
317876382 10.966 2.150539 1470.621890 4.18 950 0.774 0.104
382068562 11.293 12.129942 1330.347472 2.15 16680 0.959 0.102
4616346 11.498 0.690059 1468.773630 1.77 1230 0.409 0.1

