#
#   VizieR Astronomical Server vizier.nao.ac.jp
#    Date: 2019-05-19T22:43:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5ce1dbd80c70	
#INFO	-out.max=unlimited	
#INFO	queryParameters=24	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/504/981&tab:{J/A+A/504/981/table3}&key:source=J/A+A/504/981/table3&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/A+A/504/981/table3
#-order=I
#-out=Name
#-out=n_Name
#-out=RAJ2000
#-out=DEJ2000
#-out=SpT
#-out=Rmag
#-out=Imag
#-out=r
#-out=pmRA
#-out=pmDE
#-out=Mm
#-out=r2
#-out=Mm2
#-out=pmcat
#pmcat=pmcat
#

#RESOURCE=yCat_35040981
#Name: J/A+A/504/981
#Title: Proper motions of cool stars in Upper Sco OB (Bouy+, 2009)
#Table	J_A_A_504_981_table3:
#Name: J/A+A/504/981/table3
#Title: Sample of Upper Scorpius objects with a counterpart in the USNO-B (<I/284>) only or USNO-B and UCAC2 (<I/294>) catalogues
#Column	Name	(a23)	Name	[ucd=meta.id;meta.main]
#Column	n_Name	(A2)	[ab ] Note on Name (G2)	[ucd=meta.note]
#Column	RAJ2000	(A10)	Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A11)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	SpT	(a5)	MK spectral type	[ucd=src.spType]
#Column	Rmag	(F5.2)	? R magnitude from literature	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F6.3)	? I magnitude from literature	[ucd=phot.mag;em.opt.I]
#Column	r	(F6.3)	Distance between the object and its closest USNO-B (<I/284>) counterpart	[ucd=meta.id.assoc;pos.angDistance]
#Column	pmRA	(I4)	USNO-B (<I/284>) proper motion along RA, pmRA*cosDE	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I4)	USNO-B (<I/284>) proper motion along DE	[ucd=pos.pm;pos.eq.dec]
#Column	Mm	(F4.1)	Membership probability for USNO-B (<I/284>) catalog	[ucd=meta.code.member]
#Column	r2	(F6.3)	? Distance between the object and its closest UCAC2 (<I/294>) counterpart	[ucd=pos.angDistance]
#Column	Mm2	(F4.1)	? Membership probability for UCAC2 (<I/294>) catalog	[ucd=meta.code.member]
#Column	pmcat	(a5)	Details from catalogues with proper motions: USNO-B (Cat. I/184), UCAC2 (I/184), UCAC3 (I/315)	[ucd=meta.ref.url]
Name	n_Name	RAJ2000	DEJ2000	SpT	Rmag	Imag	r	pmRA	pmDE	Mm	r2	Mm2	pmcat
USco-160030.24-233445.3	  	16 00 30.2	-23 34 45.3	M6   	17.20	      	 0.663	 -16	 -20	99.7	      	    	pmcat
USco-160054.45-224908.9	a 	16 00 54.4	-22 49 08.9	M3   	14.70	      	 1.138	-118	 -52	 0.1	 0.143	 0.1	pmcat
USco-160110.37-222227.7	  	16 01 10.3	-22 22 27.7	M4   	14.20	      	 0.885	 -12	 -28	99.7	 0.098	99.8	pmcat
USco-160121.56-223726.5	  	16 01 21.5	-22 37 26.5	M4   	14.20	      	 1.009	 -10	 -18	99.9	 0.049	99.9	pmcat
USco-160129.85-224838.6	  	16 01 29.8	-22 48 38.6	M4   	14.90	      	 0.863	 -10	 -28	99.8	 0.183	99.8	pmcat
USco-160140.87-225810.5	  	16 01 40.8	-22 58 10.5	M3   	14.00	      	 1.119	  -8	 -28	99.8	 0.018	99.9	pmcat
USco-160158.96-224036.6	  	16 01 58.9	-22 40 36.6	M4   	14.40	      	 1.004	 -14	 -20	99.9	 0.413	99.7	pmcat
USco-160202.90-223613.9	  	16 02 02.9	-22 36 13.9	M0   	14.70	      	 0.883	  -8	 -26	99.9	 0.770	99.0	pmcat
USco-160207.57-225746.7	  	16 02 07.5	-22 57 46.7	M1   	13.70	      	 1.249	 -16	 -20	99.7	 0.203	99.9	pmcat
USco-160210.95-200749.7	  	16 02 10.9	-20 07 49.7	M5   	16.40	      	 0.961	  -6	 -22	99.9	      	    	pmcat
USco-160222.43-195653.8	  	16 02 22.4	-19 56 53.8	M3   	14.70	      	 0.897	 -22	 -16	94.4	      	    	pmcat
USco-160236.21-191732.5	a 	16 02 36.2	-19 17 32.5	M3   	17.30	      	 0.531	 -44	 -26	 0.1	      	    	pmcat
USco-160245.45-193038.1	  	16 02 45.4	-19 30 38.1	M5   	16.40	      	 1.327	  -4	 -24	99.9	      	    	pmcat
USco-160245.75-230450.6	  	16 02 45.7	-23 04 50.6	M6   	16.70	      	 0.935	 -20	 -26	96.5	      	    	pmcat
USco-160258.56-225649.5	  	16 02 58.5	-22 56 49.5	M2   	13.90	      	 0.962	  -4	 -24	99.9	 0.087	99.9	pmcat
USco-160329.40-195503.8	  	16 03 29.4	-19 55 03.8	M5   	15.70	      	 0.754	  -8	 -14	99.9	      	    	pmcat
USco-160341.87-200557.8	  	16 03 41.8	-20 05 57.8	M2   	13.50	      	 1.318	  -8	 -22	99.9	 0.101	99.9	pmcat
USco-160343.34-201531.6	  	16 03 43.3	-20 15 31.6	M2   	13.60	      	 0.778	 -12	 -18	99.9	 0.149	99.9	pmcat
USco-160350.47-194121.6	  	16 03 50.4	-19 41 21.6	M5   	15.00	      	 1.180	  -2	 -12	99.8	 0.034	99.9	pmcat
USco-160357.93-194211.0	  	16 03 57.9	-19 42 11.0	M2   	14.50	      	 1.076	  -8	 -20	99.9	 0.098	99.9	pmcat
USco-160407.73-194857.9	a 	16 04 07.7	-19 48 57.9	M5   	16.80	      	 1.041	 -46	 -18	 0.1	      	    	pmcat
USco-160418.20-191055.7	  	16 04 18.2	-19 10 55.7	M4   	15.40	      	 0.736	  -8	 -12	99.9	 0.270	99.3	pmcat
USco-160435.64-194830.3	  	16 04 35.6	-19 48 30.3	M5   	16.10	      	 0.670	 -10	 -20	99.9	      	    	pmcat
USco-160439.17-194245.9	  	16 04 39.1	-19 42 45.9	M4   	15.10	      	 1.285	  -8	 -12	99.9	 0.041	99.7	pmcat
USco-160449.96-203835.5	  	16 04 49.9	-20 38 35.5	M5   	16.00	      	 1.004	 -10	 -18	99.9	      	    	pmcat
USco-160456.44-194045.3	  	16 04 56.4	-19 40 45.3	M4   	15.00	      	 0.667	  -6	 -16	99.9	 0.105	30.4	pmcat
USco-160502.13-203507.2	  	16 05 02.1	-20 35 07.2	M2   	13.60	      	 0.477	  -8	 -16	99.9	 0.099	99.9	pmcat
USco-160508.46-201532.4	  	16 05 08.4	-20 15 32.4	M4   	13.30	      	 2.599	  -6	 -28	99.8	 0.219	99.9	pmcat
USco-160517.93-202420.3	  	16 05 17.9	-20 24 20.3	M3   	12.90	      	 0.509	  -4	 -30	99.5	 0.689	99.9	pmcat
USco-160522.69-205112.1	a 	16 05 22.6	-20 51 12.1	M4   	14.80	      	 1.105	   2	 -90	 0.1	 0.077	 0.1	pmcat
USco-160521.94-193602.9	  	16 05 21.9	-19 36 02.9	M1   	13.90	      	 1.109	   0	 -16	99.9	 0.336	99.9	pmcat
USco-160525.57-203540.0	  	16 05 25.5	-20 35 40.0	M5   	16.10	      	 1.372	  -2	 -26	99.8	      	    	pmcat
USco-160531.30-192624.0	  	16 05 31.3	-19 26 24.0	M5   	16.70	      	 0.993	  -4	 -16	99.9	      	    	pmcat
USco-160532.15-193316.0	  	16 05 32.1	-19 33 16.0	M5   	16.50	      	 1.275	  -4	 -18	99.9	      	    	pmcat
USco-160619.36-192332.7	  	16 06 19.3	-19 23 32.7	M5   	16.40	      	 1.063	  -8	 -16	99.9	      	    	pmcat
USco-160622.78-201124.4	  	16 06 22.7	-20 11 24.4	M5   	15.40	      	 0.468	 -14	 -12	99.6	 0.119	99.9	pmcat
USco-160628.72-200357.3	  	16 06 28.7	-20 03 57.3	M5   	15.00	      	 0.432	 -16	 -30	97.8	 0.220	99.6	pmcat
USco-160628.99-205216.9	  	16 06 28.9	-20 52 16.9	M5   	15.10	      	 0.929	  -4	 -22	99.9	      	    	pmcat
USco-160632.09-202054.0	  	16 06 32.0	-20 20 54.0	M5   	17.30	      	 0.967	 -16	 -20	99.7	      	    	pmcat
USco-160643.86-190805.4	  	16 06 43.8	-19 08 05.4	K6   	12.70	      	 0.924	  -4	 -14	99.9	 0.163	99.9	pmcat
USco-160700.14-203309.2	  	16 07 00.1	-20 33 09.2	M2   	14.10	      	 0.548	 -10	 -14	99.9	 0.116	99.8	pmcat
USco-160702.13-201938.7	  	16 07 02.1	-20 19 38.7	M5   	16.30	      	 0.835	   6	 -18	98.8	      	    	pmcat
USco-160704.74-201555.9	  	16 07 04.7	-20 15 55.9	M4   	16.20	      	 1.085	 -10	 -24	99.9	      	    	pmcat
USco-160708.73-192734.3	  	16 07 08.7	-19 27 34.3	M4   	15.80	      	 1.387	 -10	 -20	99.9	      	    	pmcat
USco-160716.07-204443.9	  	16 07 16.0	-20 44 43.9	M4   	14.70	      	 1.292	  -6	 -22	99.9	 0.145	99.9	pmcat
USco-160719.72-202055.6	  	16 07 19.7	-20 20 55.6	M3   	15.30	      	 0.704	  -6	 -16	99.9	 0.078	99.9	pmcat
USco-160722.40-201158.4	  	16 07 22.4	-20 11 58.4	M5   	17.20	      	 0.425	  -6	 -32	99.0	      	    	pmcat
USco-160735.58-202713.5	  	16 07 35.5	-20 27 13.5	M5   	17.20	      	 1.240	   6	 -24	98.3	      	    	pmcat
USco-160739.40-191747.2	  	16 07 39.4	-19 17 47.2	M2   	14.00	      	 0.248	  -8	 -18	99.9	 0.060	99.9	pmcat
USco-160744.49-203602.9	  	16 07 44.4	-20 36 02.9	M4   	13.60	      	 0.912	  -6	 -16	99.9	 0.017	99.9	pmcat
USco-160745.74-203055.7	a 	16 07 45.7	-20 30 55.7	M3   	17.30	      	 1.047	 -90	 -26	 0.1	      	    	pmcat
USco-160800.51-204028.9	  	16 08 00.5	-20 40 28.9	M5   	16.30	      	 0.888	  -8	 -18	99.9	      	    	pmcat
USco-160815.35-203811.3	  	16 08 15.3	-20 38 11.3	M3   	15.10	      	 0.776	  -6	 -22	99.9	 0.168	99.9	pmcat
USco-160822.37-193004.9	  	16 08 22.3	-19 30 04.9	M1   	12.90	      	 1.004	  -4	 -12	99.9	 0.537	99.8	pmcat
USco-160823.22-193001.3	  	16 08 23.2	-19 30 01.3	K9   	13.10	      	 0.413	 -18	 -26	98.7	 0.498	99.9	pmcat
USco-160823.58-191131.6	  	16 08 23.5	-19 11 31.6	M2   	14.10	      	 1.230	  -4	 -18	99.9	 0.144	99.9	pmcat
USco-160823.85-193551.9	  	16 08 23.8	-19 35 51.9	M1   	13.20	      	 1.149	  -4	 -18	99.9	 0.327	99.9	pmcat
USco-160825.11-201224.7	  	16 08 25.1	-20 12 24.7	M1   	13.70	      	 0.717	  -8	 -18	99.9	 0.095	99.9	pmcat
USco-160827.52-194904.6	  	16 08 27.5	-19 49 04.6	M5   	15.60	      	 0.710	  -2	 -18	99.9	      	    	pmcat
USco-160843.09-190051.8	  	16 08 43.0	-19 00 51.8	M4   	14.90	      	 0.807	  -8	 -16	99.9	 0.165	99.6	pmcat
USco-160854.07-203418.3	  	16 08 54.0	-20 34 18.3	M4   	14.80	      	 1.612	 -14	 -22	99.8	 0.232	99.9	pmcat
USco-160900.02-190836.9	  	16 09 00.0	-19 08 36.9	M5   	15.90	      	 0.974	  -4	 -24	99.9	      	    	pmcat
USco-160900.72-190852.5	  	16 09 00.7	-19 08 52.5	K9   	12.80	      	 0.597	 -10	 -12	99.8	 0.604	99.9	pmcat
USco-160904.04-193400.0	  	16 09 04.0	-19 34 00.0	M4   	15.50	      	 1.122	 -10	 -18	99.9	      	    	pmcat
USco-160908.45-200928.1	  	16 09 08.4	-20 09 28.1	M4   	13.40	      	 0.732	 -10	 -14	99.9	      	    	pmcat
USco-160915.82-193706.3	  	16 09 15.8	-19 37 06.3	M5   	16.10	      	 0.364	  -2	 -20	99.9	      	    	pmcat
USco-160916.85-183522.6	  	16 09 16.8	-18 35 22.6	M2   	13.80	      	 0.904	  -6	 -18	99.9	 0.163	99.8	pmcat
USco-160926.71-192502.5	a 	16 09 26.7	-19 25 02.5	M3   	14.90	      	 0.545	-114	  14	 0.1	 0.150	 0.1	pmcat
USco-160933.79-190456.1	  	16 09 33.7	-19 04 56.1	M2   	14.10	      	 0.206	  -6	 -18	99.9	 0.091	99.9	pmcat
USco-160935.60-182823.0	  	16 09 35.6	-18 28 23.0	M3   	15.50	      	 0.951	  -4	 -14	99.9	      	    	pmcat
USco-160943.84-182303.0	  	16 09 43.8	-18 23 03.0	M4   	15.00	      	 1.169	  -6	 -16	99.9	 0.141	99.4	pmcat
USco-160946.46-193736.3	  	16 09 46.4	-19 37 36.3	M1   	13.50	      	 1.526	  -2	 -24	99.9	 0.291	99.9	pmcat
USco-160959.34-180009.1	  	16 09 59.3	-18 00 09.1	M4   	14.70	      	 0.817	  -6	 -22	99.9	 0.026	99.8	pmcat
USco-161007.54-181056.7	  	16 10 07.5	-18 10 56.7	M6   	17.80	      	 0.928	  -4	 -26	99.9	      	    	pmcat
USco-161010.41-194539.8	  	16 10 10.4	-19 45 39.8	M3   	14.70	      	 0.847	 -14	 -18	99.9	 0.067	99.9	pmcat
USco-161011.00-194604.0	  	16 10 11.0	-19 46 04.0	M5   	16.20	      	 1.013	 -16	 -22	99.7	      	    	pmcat
USco-161014.75-191909.3	  	16 10 14.7	-19 19 09.3	M3   	14.40	      	 0.702	  -4	 -18	99.9	 0.230	99.9	pmcat
USco-161026.39-193951.2	  	16 10 26.3	-19 39 51.2	M4   	15.00	      	 1.171	  -6	 -20	99.9	 0.103	99.9	pmcat
USco-161028.18-191044.0	  	16 10 28.1	-19 10 44.0	M4   	17.30	      	 1.499	 -14	 -18	99.9	      	    	pmcat
USco-161030.07-183906.5	  	16 10 30.0	-18 39 06.5	M4   	16.10	      	 1.096	 -10	 -22	99.9	      	    	pmcat
USco-161031.97-191306.1	  	16 10 31.9	-19 13 06.1	K7   	12.60	      	 1.454	  -2	 -16	99.9	 0.270	99.9	pmcat
USco-161039.57-191652.4	  	16 10 39.5	-19 16 52.4	M2   	14.50	      	 1.045	 -10	 -14	99.9	 0.124	99.9	pmcat
USco-161046.37-184059.7	  	16 10 46.3	-18 40 59.7	M4   	16.80	      	 1.192	  -6	 -20	99.9	      	    	pmcat
USco-161052.41-193734.5	  	16 10 52.4	-19 37 34.5	M3   	15.40	      	 0.570	  -6	 -24	99.9	      	    	pmcat
USco-161110.95-193331.8	  	16 11 10.9	-19 33 31.8	M5   	16.20	      	 1.087	   4	 -16	99.4	      	    	pmcat
USco-161112.38-192737.4	  	16 11 12.3	-19 27 37.4	M5   	17.30	      	 1.174	  -6	 -18	99.9	      	    	pmcat
USco-161115.35-175721.5	  	16 11 15.3	-17 57 21.5	M1   	13.10	      	 0.817	  -6	 -20	99.9	 0.118	99.8	pmcat
USco-161116.63-193910.4	  	16 11 16.6	-19 39 10.4	M4   	13.90	      	 0.544	  -6	 -18	99.9	 0.031	99.9	pmcat
USco-161118.15-175728.7	  	16 11 18.1	-17 57 28.7	M4   	13.90	      	 0.974	   2	 -16	99.7	 0.320	99.8	pmcat
USco-161118.21-180358.5	  	16 11 18.2	-18 03 58.5	M6   	17.50	      	 0.554	  -4	 -22	99.9	      	    	pmcat
USco-161120.45-191937.0	  	16 11 20.4	-19 19 37.0	M2   	14.10	      	 0.700	  -2	 -18	99.9	 0.061	99.9	pmcat
USco-161123.05-190523.0	  	16 11 23.0	-19 05 23.0	M3   	14.40	      	 1.202	  -8	 -16	99.9	 0.171	99.9	pmcat
USco-161129.41-194224.7	  	16 11 29.4	-19 42 24.7	M6   	16.40	      	 0.721	  -4	 -18	99.9	      	    	pmcat
USco-161133.64-191400.5	  	16 11 33.6	-19 14 00.5	M3   	14.40	      	 0.791	  -2	 -22	99.9	 0.035	99.7	pmcat
USco-161146.13-190743.0	  	16 11 46.1	-19 07 43.0	M5   	16.20	      	 1.091	  -2	 -20	99.9	      	    	pmcat
USco-161156.28-194323.0	  	16 11 56.2	-19 43 23.0	M3   	14.10	      	 1.113	  -2	 -22	99.9	 0.244	99.8	pmcat
USco-161247.25-190353.4	  	16 12 47.2	-19 03 53.4	M6   	17.40	      	 0.856	  -4	 -24	99.9	      	    	pmcat
USco-161248.93-180052.5	  	16 12 48.9	-18 00 52.5	M3   	14.60	      	 0.643	  -6	 -16	99.9	      	    	pmcat
USco-161328.09-192452.5	  	16 13 28.0	-19 24 52.5	M5   	17.80	      	 1.381	  -6	 -26	99.9	      	    	pmcat
USco-161358.16-184829.0	  	16 13 58.1	-18 48 29.0	M2   	13.70	      	 1.271	  -2	 -18	99.9	 0.113	99.9	pmcat
USco-161433.67-190013.4	  	16 14 33.6	-19 00 13.4	M2   	14.20	      	 1.125	  -4	 -16	99.9	 0.140	73.8	pmcat
USco-161437.52-185824.0	  	16 14 37.5	-18 58 24.0	M3   	15.70	      	 1.056	 -14	 -36	80.0	 0.210	99.2	pmcat
UScoCTIO-5             	  	15 59 50.4	-19 44 35.8	M4   	15.42	13.650	 2.341	 -10	 -22	99.9	 2.263	99.9	pmcat
UScoCTIO-55            	  	16 02 45.6	-23 04 49.8	M5.5 	16.70	14.580	 2.231	 -20	 -26	96.5	      	    	pmcat
UScoCTIO-56            	  	16 01 40.9	-20 22 08.1	M5   	16.65	14.620	 0.311	 -10	 -20	99.9	      	    	pmcat
UScoCTIO-60            	  	16 02 09.5	-23 02 27.0	M4   	16.79	14.710	 0.845	 -10	 -10	99.7	      	    	pmcat
UScoCTIO-66            	  	16 01 49.7	-23 51 07.4	M6   	17.03	14.850	 1.427	   2	 -18	99.8	      	    	pmcat
UScoCTIO-67            	  	15 59 25.9	-23 05 08.1	M5.5 	16.99	14.870	 0.320	 -14	 -26	99.7	      	    	pmcat
UScoCTIO-75            	  	16 00 30.2	-23 34 44.7	M6   	17.25	15.080	 1.171	 -16	 -20	99.7	      	    	pmcat
UScoCTIO-100           	  	16 02 04.1	-20 50 41.5	M7   	17.95	15.620	 2.709	  -2	 -20	99.9	      	    	pmcat
UScoCTIO-101           	  	15 57 51.9	-20 12 32.3	M5   	17.69	15.640	 1.546	 -28	 -22	18.6	      	    	pmcat
UScoCTIO-109           	  	16 01 19.1	-23 06 38.6	M6   	18.21	16.060	 0.940	  -4	 -18	99.9	      	    	pmcat
UScoCTIO-112           	  	16 00 26.6	-20 56 32.0	M5.5 	18.22	16.140	 2.025	   4	  -8	95.1	      	    	pmcat
DENIS-PJ155555.9-204518	  	15 55 56.0	-20 45 18.5	M6.5 	     	16.100	 0.571	 -22	 -26	89.9	      	    	pmcat
DENIS-PJ155601.0-233808	  	15 56 01.0	-23 38 08.1	M6.5 	     	13.320	 0.792	 -14	 -38	51.4	      	    	pmcat
DENIS-PJ160334.7-182930	  	16 03 34.7	-18 29 30.4	M5.5 	     	14.840	 0.054	  -2	 -16	99.9	      	    	pmcat
DENIS-PJ160440.7-193652	  	16 04 40.8	-19 36 52.8	M6.5 	     	16.090	 0.688	   8	 -26	92.5	      	    	pmcat
DENIS-PJ160455.7-230743	  	16 04 55.8	-23 07 43.8	M6.5 	     	16.380	 0.604	  10	 -38	 1.1	      	    	pmcat
DENIS-PJ160951.0-272242	  	16 09 51.1	-27 22 42.2	M6   	     	15.670	 0.504	  -4	 -26	99.9	      	    	pmcat
DENIS-PJ160958.5-234518	  	16 09 58.5	-23 45 18.6	M6.5 	     	15.100	 0.451	  -6	 -20	99.9	      	    	pmcat
DENIS-PJ161007.5-181056	  	16 10 07.5	-18 10 56.4	M6   	     	15.110	 0.725	  -4	 -26	99.9	      	    	pmcat
DENIS-PJ161050.0-221252	  	16 10 50.0	-22 12 51.8	M5.5 	     	15.050	 0.579	  -8	 -24	99.9	      	    	pmcat
DENIS-PJ161624.0-240830	  	16 16 24.0	-24 08 30.2	M5.5 	     	15.510	 0.258	  -4	 -28	99.8	      	    	pmcat
DENIS-PJ161632.2-220519	  	16 16 32.2	-22 05 20.2	M6   	     	15.940	 0.878	 -14	 -20	99.9	      	    	pmcat
DENIS-PJ161816.1-261908	  	16 18 16.2	-26 19 08.1	M5.5 	     	14.600	 0.194	   0	 -20	99.9	      	    	pmcat
DENIS-PJ160204.2-205042	  	16 02 04.3	-20 50 42.7	M6.5 	     	15.156	 0.000	  -2	 -20	99.9	      	    	pmcat
DENIS-PJ161112.3-192737	  	16 11 12.4	-19 27 37.4	M6   	     	15.197	 0.274	  -6	 -18	99.9	      	    	pmcat
DENIS-PJ161129.5-190029	  	16 11 29.6	-19 00 29.3	M7   	     	16.462	 0.054	  16	 -22	 6.0	      	    	pmcat
SCHJ15561978-24232936  	  	15 56 19.7	-24 23 29.3	M4.5 	18.17	16.180	 0.709	 -10	 -22	99.9	      	    	pmcat
SCHJ15574757-24441236  	  	15 57 47.5	-24 44 12.3	M4   	17.37	15.810	 0.645	 -12	 -16	99.9	      	    	pmcat
SCHJ15582337-21515908  	  	15 58 23.3	-21 51 59.0	M4.75	     	      	 0.188	 -22	 -22	94.7	      	    	pmcat
SCHJ15582566-18260865  	a 	15 58 25.6	-18 26 08.6	M6   	18.17	16.030	 1.328	  32	 -28	 0.1	      	    	pmcat
SCHJ15583162-24025411  	  	15 58 31.6	-24 02 54.1	M4.5 	18.05	16.020	 0.668	  -2	 -16	99.9	      	    	pmcat
SCHJ15584812-21413426  	  	15 58 48.1	-21 41 34.2	M5.5 	18.53	16.500	 0.454	 -12	 -24	99.9	      	    	pmcat
SCHJ15595868-18365205  	  	15 59 58.6	-18 36 52.0	M5.5 	19.15	16.760	 0.087	 -14	 -16	99.8	      	    	pmcat
SCHJ16034029-23352386  	  	16 03 40.2	-23 35 23.8	M4   	16.39	14.740	 0.506	  -4	 -20	99.9	      	    	pmcat
SCHJ16035651-23572517  	  	16 03 56.5	-23 57 25.1	M4.5 	18.43	16.490	 0.812	  -2	 -12	99.8	      	    	pmcat
SCHJ16040453-23463795  	  	16 04 04.5	-23 46 37.9	M4   	15.76	14.150	 0.485	  -4	 -20	99.9	      	    	pmcat
