#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-29T05:46:32 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5db7d22c0d7c	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/558/A53&tab:{J/A+A/558/A53/index}&key:source=J/A+A/558/A53/index&HTTPPRM:&
#-source=J/A+A/558/A53/index
#-order=I
#-out=MWSC
#-out=Name
#-out=flag
#-out=Type
#-out=n_Type
#-out=Src
#-out=SType
#-out=N
#

#RESOURCE=yCat_35580053
#Name: J/A+A/558/A53
#Title: Milky Way global survey of star clusters. II. (Kharchenko+, 2013)
#Table	J_A_A_558_A53_index:
#Name: J/A+A/558/A53/index
#Title: List of MWSC objects
#Column	MWSC	(A4)	[1/3784] MWSC sequential number	[ucd=meta.record]
#Column	Name	(a17)	NGC, IC or other common designation	[ucd=meta.number]
#Column	flag	(A1)	Flag of confirmation/no confirmation (G5)	[ucd=meta.code.error]
#Column	Type	(A1)	[agmnrs] Object type (G1)	[ucd=src.class]
#Column	n_Type	(A1)	[oc] object/candidate	[ucd=meta.note]
#Column	Src	(A4)	Source for MWSC list and input parameters (G2)	[ucd=meta.bib]
#Column	SType	(A3)	Source object type (G3)	[ucd=src.class]
#Column	N	(I9)	Number of stars in MWSC sky area	[ucd=meta.number]
MWSC	Name	flag	Type	n_Type	Src	SType	N
0028	Juchert-Saloran_1	=	 	 	DIAS	   	    11019
0029	Berkeley_60      	=	 	 	DIAS	   	    10759
0030	Teutsch_168      	-	 	 	FPRO	   	        0
0031	ASCC_2           	=	 	 	COCD	   	    11733
0032	FSR_0486         	=	 	 	DIAS	irc	     7591
0033	FSR_0479         	=	 	 	FPOS	   	     6214
0034	Mayer_1          	=	 	 	COCD	   	    12804
0035	King_1           	=	 	 	DIAS	   	    21118
0036	FSR_0477         	=	 	 	FPOS	   	     6090
0037	SAI_4            	=	 	 	DIAS	   	    11033
0038	NGC_104          	=	g	o	HARR	glo	    25180
0039	Stock_20         	=	 	 	COCD	   	    15978
0040	NGC_103          	=	 	 	DIAS	   	    11720
0041	Berkeley_2       	=	 	 	DIAS	   	    11268
0042	FSR_0494         	=	 	 	DIAS	irc	    17399
0043	Cas_OB4          	:	a	o	MELN	ass	        0
0044	FSR_0496         	=	 	 	DIAS	irc	    17034
0045	NGC_110          	=	 	 	DIAS	dub	     6345
0046	SAI_6            	=	 	 	DIAS	   	    12870
0047	Cas_OB14         	:	a	o	MELN	ass	        0
0048	FSR_0481         	=	 	 	FPOS	   	     2728
0049	FSR_0483         	&	 	 	FPOS	   	        0
0050	FSR_0498         	=	r	c	DIAS	irc	    12447
0051	FSR_0503         	=	 	 	FPOS	   	     9223
0052	Stock_21         	=	 	 	COCD	   	    12114
0053	NGC_129          	=	 	 	COCD	   	    14148
0054	ASCC_3           	=	a	c	COCD	   	    13548
0055	NGC_133          	=	 	 	DIAS	   	    12441
0056	NGC_136          	=	 	 	DIAS	   	    13643
0057	King_14          	=	 	 	DIAS	   	    16608
0058	King_15          	=	 	 	DIAS	   	    11781
0059	NGC_146          	=	 	 	COCD	   	    17930
0060	Patchick_78      	-	 	 	DIAS	   	        0
0061	IRAS_00338+6312  	-	 	 	BIEM	irc	        0
0062	NGC_189          	=	 	 	DIAS	   	    12812
0063	Stock_24         	=	 	 	DIAS	   	    14791
0064	FSR_0505         	-	 	 	DIAS	irc	        0
0065	Dolidze_12       	=	 	 	DREM	ast	    13135
0066	FSR_0508         	=	 	 	DIAS	irc	     9360
0067	Dias_1           	=	 	 	DIAS	   	    15013
0068	NGC_225          	=	 	 	COCD	   	    16123
0069	Czernik_2        	=	 	 	DIAS	   	    10937
0070	King_16          	=	 	 	DIAS	   	    14338
0071	FSR_0507         	=	 	 	FPOS	   	     5717
0072	FSR_0511         	-	 	 	FPOS	   	        0
0073	Berkeley_4       	=	 	 	COCD	   	    16952
0074	NGC_188          	=	 	 	DIAS	   	    10805
0075	Berkeley_61      	=	 	 	DIAS	   	     9070
0076	Dolidze_13       	=	 	 	DIAS	dub	    13071
0077	FSR_0515         	=	 	 	FPOS	   	     6277
0078	FSR_0516         	=	 	 	DIAS	irc	    13695
0079	King_2           	=	 	 	DIAS	   	     9176
0080	FSR_0518         	=	m	o	FPOS	   	     4111
0081	Cas_OB7          	=	a	o	MELN	ass	    24784
0082	NGC_281W         	-	n	o	LLEM	emb	        0
0083	FSR_0519         	=	 	 	DIAS	irc	    13977
0084	NGC_288          	=	g	o	HARR	glo	     1679
0085	IC_1590          	=	n	o	COCD	   	    14208
0086	FSR_0521         	=	 	 	DIAS	irc	    11857
0087	ASCC_4           	=	 	 	COCD	   	    17001
0088	Alessi_1         	=	 	 	COCD	   	    12438
0089	FSR_0522         	=	 	 	DIAS	irc	    10271
0090	NGC_281E         	-	n	o	LLEM	emb	        0
0091	NGC_305          	:	s	c	DREM	ast	        0
0092	FSR_0524         	=	 	 	FPOS	   	    11015
0093	ASCC_5           	=	 	 	COCD	   	    11711
0094	Skiff_J0058+68.4 	=	 	 	DIAS	   	    19777
0095	FSR_0523         	&	 	 	FPOS	   	        0
0096	BDSB_49          	-	 	 	BOPN	irc	        0
0097	Berkeley_62      	=	 	 	DIAS	var	    14977
0098	Czernik_3        	=	 	 	DIAS	   	     9750
0099	NGC_362          	=	g	o	HARR	glo	     4157
0100	NGC_358          	-	s	o	DIAS	   	        0
0101	Cas_OB1          	=	a	o	MELN	ass	    53660
0102	NGC_366          	=	 	 	DIAS	   	    14267
0103	BDSB_50          	:	 	 	BOPN	irc	        0
0104	Pfleiderer_1     	=	r	c	DIAS	   	     8792
0105	NGC_381          	=	 	 	COCD	   	    16315
0106	BDSB_51          	=	r	o	BOPN	irc	     9083
0107	FSR_0530         	=	r	c	FPOS	   	     8184
0108	Stock_3          	=	 	 	DIAS	   	    11144
0109	Platais_2        	=	m	o	COCD	   	    20939
0110	NGC_433          	=	 	 	COCD	   	    12516
0111	NGC_436          	=	 	 	DIAS	   	    11613
0112	FSR_0534         	=	r	c	DIAS	irc	    11185
0113	FSR_0537         	=	r	c	DIAS	irc	    10967
0114	NGC_457          	=	 	 	COCD	   	    14592
0115	FSR_0544         	=	 	 	FPOS	   	     6248
0116	FSR_0536         	=	 	 	DIAS	irc	    15100
0117	FSR_0538         	=	 	 	DIAS	irc	    12905
0118	BDSB_52          	:	 	 	BOPN	irc	        0
0119	FSR_0542         	=	 	 	DIAS	irc	    14346
0120	SAI_14           	=	 	 	DIAS	   	    13179
0121	FSR_0560         	=	 	 	FPOS	   	     3451
0122	NGC_559          	=	 	 	DIAS	   	    26177
0123	FSR_0547         	=	r	o	DIAS	irc	     9826
0124	NGC_581          	=	 	 	COCD	   	    14811
0125	FSR_0531         	=	 	 	FPOS	   	     5756
0126	Czernik_4        	=	 	 	DIAS	   	     9531
0127	Trumpler_1       	=	 	 	DIAS	   	    10172
0128	NGC_609          	=	 	 	DIAS	   	    12424
0129	FSR_0546         	=	 	 	DIAS	irc	    12112
0130	FSR_0549         	=	r	c	DIAS	irc	     9320
0131	FSR_0551         	=	r	c	DIAS	irc	     9957
0132	FSR_0553         	=	 	 	DIAS	irc	    13700
0133	NGC_637          	=	 	 	COCD	   	    15466
0134	FSR_0539         	=	 	 	FPOS	   	     5185
0135	NGC_657          	=	 	 	DIAS	   	     6610
0136	Cas_OB8          	:	a	o	MELN	ass	        0
0137	NGC_654          	=	 	 	COCD	   	    15660
0138	NGC_659          	=	 	 	COCD	   	    15616
0139	NGC_663          	=	 	 	COCD	   	    22366
0140	Collinder_463    	=	 	 	COCD	   	    21146
0141	ASCC_6           	=	 	 	COCD	   	    12215
0142	Berkeley_5       	=	 	 	DIAS	   	    10156
0143	Collinder_21     	=	r	o	DREM	ast	     2722
0144	S1               	&	 	 	DIAS	   	        0
0145	Berkeley_6       	=	 	 	DIAS	   	    14161
0146	IC_166           	=	 	 	DIAS	   	    22685
0147	Stock_4          	=	 	 	COCD	   	    13664
0148	ESO_245-09       	=	r	o	DIAS	rem	     1715
0149	Berkeley_7       	=	 	 	DIAS	   	    12803
0150	Czernik_5        	=	 	 	DIAS	   	    11697
0151	NGC_752          	=	 	 	COCD	   	    34507
0152	IRAS_01546+6319  	=	 	 	LLEM	emb	    36326
0153	NGC_744          	=	 	 	COCD	   	    19985
0154	NGC_743          	=	 	 	DIAS	dub	    16226
0155	PTB_10           	:	 	 	BIEM	irc	        0
0156	ASCC_7           	=	 	 	COCD	   	    15044
0157	FSR_0558         	=	 	 	FPOS	   	     7591
0158	Berkeley_8       	=	 	 	DIAS	   	     6719
0159	Czernik_6        	=	 	 	DIAS	   	    12614
0160	FSR_0555         	=	r	o	FPOS	   	     5064
0161	Whiting_1        	:	g	o	DREM	glo	        0
0162	Czernik_7        	=	 	 	DIAS	   	    12510
0163	Stock_5          	=	 	 	COCD	   	    19243
0164	FSR_0532         	=	r	o	FPOS	   	     3382
0165	SAI_16           	=	 	 	DIAS	   	    10334
0166	FSR_0561         	=	 	 	FPOS	   	     8722
0167	Riddle_4         	=	 	 	DIAS	   	     9331
0168	IRAS_02044+6031  	=	 	 	LLEM	emb	    20859
0169	BDSB_162         	&	 	 	BIRN	irc	        0
0170	IRAS_02048+5957  	:	 	 	LLEM	emb	        0
0171	IRAS_02054+6011  	=	 	 	LLEM	emb	    11419
0172	FSR_0616         	=	r	o	FPOS	   	     3489
0173	Stock_2          	=	 	 	COCD	   	   252511
0174	IRAS_02130+5509  	=	r	o	BIEM	irc	     6016
0175	NGC_869          	=	 	 	COCD	ass	    42880
0176	Basel_10         	=	r	c	DIAS	   	     8676
0177	Berkeley_63      	=	 	 	DIAS	   	    11603
0178	FSR_0578         	=	r	o	DIAS	irc	     9687
0179	SAI_17           	=	 	 	DIAS	   	     9474
0180	ASCC_8           	=	 	 	COCD	   	    19915
0181	Per_OB1          	:	a	o	MELN	ass	        0
0182	Berkeley_64      	=	 	 	DIAS	   	     9270
0183	IRAS_02175+5845  	:	 	 	LLEM	emb	        0
0184	NGC_884          	=	 	 	COCD	ass	    34682
0185	FSR_0626         	:	 	 	FPOS	   	        0
0186	NGC_886          	=	 	 	COCD	   	    14888
0187	IC_1805W         	-	n	o	LLEM	emb	        0
0188	BDSB_54          	:	 	 	BOPN	irc	        0
0189	BDSB_55          	:	 	 	BOPN	irc	        0
0190	BDSB_56          	&	 	 	BOPN	irc	        0
0191	W3_IRS5          	:	a	c	LLEM	emb	        0
0192	IRAS_02232+6138  	=	 	 	LLEM	emb	    14731
0193	FSR_0584         	=	 	 	DIAS	irc	     9475
0194	IC_1795.1        	-	n	o	BIEM	irc	        0
0195	IC_1795.2        	-	n	o	BIEM	irc	        0
0196	FSR_0591         	=	 	 	DIAS	irc	    10388
0197	BDSB_53          	:	 	 	BOPN	irc	        0
0198	IRAS_02245+6115  	:	 	 	LLEM	emb	        0
0199	Tombaugh_4       	=	 	 	DIAS	   	    11772
0200	Teutsch_55       	=	 	 	DIAS	   	    11545
0201	FSR_0568         	=	 	 	FPOS	   	     6635
0202	Stock_7          	=	 	 	COCD	   	    12587
0203	FSR_0617         	=	r	o	FPOS	   	     5749
0204	FSR_0596         	=	r	o	DIAS	irc	    11954
0205	FSR_0566         	:	 	 	FPOS	   	        0
0206	FSR_0620         	=	 	 	FPOS	   	     8395
0207	FSR_0569         	=	 	 	FPOS	   	     5548
0208	NGC_956          	=	 	 	DIAS	dub	     4669
0209	IC_1805          	=	 	 	COCD	   	    22627
0210	Czernik_8        	=	 	 	DIAS	   	    10101
0211	NGC_957          	=	 	 	COCD	   	    21923
0212	Czernik_9        	=	 	 	DIAS	   	    10281
0213	Czernik_10       	=	 	 	DIAS	dub	     9599
0214	Cas_OB6          	:	a	o	MELN	ass	        0
0215	SAI_21           	=	 	 	DIAS	   	     9114
0216	King_4           	=	 	 	DIAS	   	    15192
0217	IRAS_02327+6019  	:	 	 	BIEM	irc	        0
0218	Czernik_11       	=	n	o	DIAS	   	    12148
0219	Trumpler_2       	=	 	 	COCD	   	    29929
0220	FSR_0611         	=	r	o	DIAS	irc	    12262
0221	Berkeley_65      	=	 	 	DIAS	   	    10542
0222	Czernik_12       	=	 	 	DIAS	   	     9316
0223	NGC_1039         	=	 	 	COCD	   	    20140
0224	FSR_0614         	=	 	 	DIAS	irc	    11091
0225	NGC_1027         	=	 	 	COCD	   	    19085
0226	IRAS_02407+6047  	:	 	 	LLEM	emb	        0
0227	Czernik_13       	=	 	 	DIAS	   	    10649
0228	ASCC_9           	=	 	 	COCD	   	    16160
0229	IRAS_02434+6018  	-	 	 	BIEM	irc	        0
0230	BDSB_57          	-	 	 	BOPN	irc	        0
0231	Dol-Dzim_1       	-	s	o	DREM	ast	        0
0232	Teutsch_162      	=	 	 	DIAS	   	    11446
0233	IRAS_02445+6042  	-	 	 	BIEM	irc	        0
0234	IRAS_02461+6147  	:	 	 	LLEM	emb	        0
0235	IRAS_02459+6029  	=	r	o	FPRO	   	     9732
0236	IC_1848          	=	 	 	COCD	   	    22310
0237	FSR_0576         	=	r	o	FPOS	   	     4115
0238	Latysev_1        	:	m	o	DREM	mog	        0
0239	IRAS_02484+6022  	&	 	 	LLEM	emb	        0
0240	IRAS_02497+6217  	=	 	 	LLEM	emb	    15330
0241	FSR_0579         	:	 	 	FPOS	   	        0
0242	IRAS_02511+6023  	=	r	o	BIEM	irc	     8644
0243	FSR_0581         	=	 	 	FPOS	   	     5651
0244	BDSB_58          	:	 	 	BOPN	irc	        0
0245	NGC_1146         	-	s	o	DREM	ast	        0
0246	IRAS_02541+6208  	=	 	 	LLEM	emb	    21416
0247	FSR_0604         	-	 	 	FPOS	   	        0
0248	Collinder_33     	=	n	o	COCD	   	    17810
0249	SAI_24           	=	 	 	DIAS	   	    10336
0250	SAI_25           	=	 	 	DIAS	   	    13389
0251	IRAS_02570+6028  	&	 	 	LLEM	emb	        0
0252	IRAS_02575+6017  	=	n	o	LLEM	emb	     9056
0253	AFGL_4029        	&	 	 	LLEM	emb	        0
0254	IRAS_02593+6016  	&	 	 	LLEM	emb	        0
0255	Berkeley_66      	=	 	 	DIAS	   	    12889
0256	NGC_1193         	=	 	 	DIAS	   	     3700
0257	AFGL_437         	:	 	 	LLEM	emb	        0
0258	FSR_0612         	=	 	 	FPOS	   	     7075
0259	IRAS_03064+5638  	:	 	 	BIEM	irc	        0
0260	NGC_1252         	=	r	o	DIAS	rem	     1652
0261	NGC_1220         	=	 	 	DIAS	   	     7687
0262	Trumpler_3       	=	 	 	COCD	   	    29526
0263	NGC_1261         	=	g	o	HARR	glo	     1465
0264	NGC_1245         	=	 	 	DIAS	   	    16448
0265	King_5           	=	 	 	DIAS	   	    12885
0266	Stock_23         	=	r	c	COCD	   	    19063
0267	Czernik_14       	=	 	 	DIAS	   	     7881
0268	Cam_OB1          	:	a	o	MELN	ass	        0
0269	FSR_0675         	:	 	 	FPOS	   	        0
0270	FSR_0627         	=	r	o	FPOS	   	     7527
0271	Czernik_15       	=	r	c	DIAS	   	     6440
0272	FSR_0628         	=	 	 	DIAS	irc	     8646
0273	BDSB_59          	:	 	 	BOPN	irc	        0
0274	Melotte_20       	=	 	 	COCD	ass	  1643193
0275	ASCC_10          	=	 	 	COCD	   	    10624
0276	AFGL_490         	:	 	 	LLEM	emb	        0
0277	King_6           	=	 	 	COCD	   	    16831
0278	Alessi_13        	=	m	o	COCD	   	    50791
0279	NGC_1333         	=	n	o	LLEM	emb	     8361
0280	NGC_1333SW       	&	n	o	BIEM	irc	        0
0281	NGC_1333NE       	&	n	o	BIEM	irc	        0
0282	Czernik_16       	=	 	 	DIAS	   	    10496
0283	NGC_1342         	=	 	 	COCD	   	     6834
0284	ASCC_11          	=	 	 	COCD	   	    15866
0285	FSR_0632         	=	 	 	FPOS	   	    10853
0286	Berkeley_9       	=	 	 	DIAS	   	    10024
0287	Palomar_1        	:	g	o	HARR	glo	        0
0288	FSR_0682         	=	r	o	FPOS	   	     3388
0289	NGC_1348         	=	 	 	DIAS	   	     8665
0290	Berkeley_10      	=	 	 	DIAS	   	     9046
0291	SAI_30           	=	r	c	DIAS	   	     1975
0292	FSR_0634         	=	r	c	DIAS	irc	     8339
0293	FSR_0691         	=	r	o	FPOS	   	     3296
0294	IC_348f          	&	 	 	BIEM	irc	        0
0295	IC_348g          	&	 	 	BIEM	irc	        0
0296	IC_348h          	&	 	 	BIEM	irc	        0
0297	IC_348i          	&	 	 	BIEM	irc	        0
0298	IC_348b          	&	 	 	BIEM	irc	        0
0299	Alessi-Teutsch_10	-	s	c	DIAS	   	        0
0300	IC_348e          	&	 	 	BIEM	irc	        0
0301	IC_348           	=	 	 	COCD	   	     4305
0302	IC_348d          	&	 	 	BIEM	irc	        0
0303	IC_348c          	&	 	 	BIEM	irc	        0
0304	Juchert_11       	=	 	 	DIAS	   	     6977
0305	Melotte_22       	=	 	 	COCD	   	   473595
0306	Tombaugh_5       	=	 	 	COCD	   	    16543
0307	Per_OB2          	=	a	o	MELN	ass	   242682
0308	NGC_1444         	=	 	 	DIAS	   	     7957
0309	FSR_0701         	-	 	 	FPOS	   	        0
0310	BDSB_60          	:	 	 	BOPN	irc	        0
0311	Czernik_17       	=	r	o	DIAS	   	     5687
0312	AM_1             	:	g	o	HARR	glo	        0
0313	Juchert_9        	=	r	o	DIAS	   	     7195
0314	FSR_0654         	=	r	o	DIAS	irc	     6682
0315	FSR_0655         	=	r	o	DIAS	irc	     7181
0316	FSR_0737         	:	 	 	FPOS	   	        0
0317	FSR_0724         	=	r	o	FPOS	   	     3211
0318	FSR_0738         	-	 	 	FPOS	   	        0
0319	NGC_1520         	=	r	c	DIAS	non	     1670
0320	FSR_0656         	=	r	o	DIAS	irc	    12399
0321	King_7           	=	 	 	DIAS	   	    23290
0322	FSR_0647         	&	 	 	DIAS	irc	        0
0323	Alicante_1       	=	 	 	DIAS	   	     7286
0324	NGC_1498         	-	s	o	DIAS	rem	        0
0325	Cam_OB3          	=	a	o	MELN	ass	    52843
0326	LDN_1501         	-	n	o	BIEM	irc	        0
0327	Juchert_19       	=	r	o	DIAS	   	     7742
0328	FSR_0660         	=	r	c	DIAS	irc	     8770
0329	FSR_0689         	=	 	 	FPOS	   	     5655
0330	BDSB_61          	-	 	 	BOPN	irc	        0
0331	FSR_0653         	=	r	o	FPOS	   	     8094
0332	BDSB_62          	-	 	 	BOPN	irc	        0
0333	NGC_1496         	=	r	c	DIAS	   	     7498
0334	FSR_0665         	-	 	 	DIAS	irc	        0
0335	FSR_0695         	=	r	o	FPOS	   	     4891
0336	FSR_0666         	-	 	 	FPOS	   	        0
0337	FSR_0663         	=	r	o	FPOS	   	     7867
0338	FSR_0692         	=	r	o	FPOS	   	     5556
0339	FSR_0698         	=	r	o	FPOS	   	     4458
0340	Dolidze_14       	-	 	 	DIAS	dub	        0
0341	FSR_0667         	=	r	o	DIAS	irc	     6986
0342	BDSB_63          	-	 	 	BOPN	irc	        0
0343	NGC_1502         	=	 	 	COCD	   	    14890
0344	FSR_0725         	:	 	 	FPOS	   	        0
0345	FSR_0757         	=	r	c	FPOS	   	     2655
0346	NGC_1513         	=	 	 	DIAS	   	    10428
0347	FSR_0700         	=	r	c	FPOS	   	     5412
0348	Juchert_20       	=	r	c	DIAS	   	     8184
0349	BDSB_65          	-	 	 	BOPN	irc	        0
0350	FSR_0674         	=	 	 	DIAS	irc	     8582
0351	NGC_1557         	=	r	o	DIAS	rem	     2041
0352	LDN_1495W        	=	n	o	BIEM	irc	    11205
0353	NGC_1528         	=	 	 	COCD	   	    29645
0354	FSR_0754         	:	 	 	FPOS	   	        0
0355	SAI_36           	=	r	c	DIAS	   	     4307
0356	FSR_0764         	&	 	 	FPOS	   	        0
0357	FSR_0765         	=	 	 	FPOS	   	     3970
0358	FSR_0709         	=	r	o	FPOS	   	     4159
0359	Waterloo_1       	=	 	 	DIAS	dub	     9951
0360	FSR_0697         	=	r	c	FPOS	   	     5685
0361	LDN_1495E        	-	n	o	BIEM	irc	        0
0362	IC_361           	=	 	 	DIAS	   	    12375
0363	FSR_0575         	-	 	 	FPOS	   	        0
0364	BDSB_64          	-	 	 	BOPN	irc	        0
0365	Mayer_2          	=	n	o	DIAS	   	     7698
0366	FSR_0577         	:	 	 	FPOS	   	        0
0367	FSR_0706         	:	 	 	FPOS	   	        0
0368	Berkeley_11      	=	 	 	DIAS	   	    10606
0369	NGC_1545         	=	 	 	COCD	   	     9880
0370	LDN_1495         	-	n	o	BIEM	irc	        0
0371	NGC_1548         	=	 	 	DIAS	non	     5246
0372	FSR_0762         	=	 	 	FPOS	   	     3291
0373	FSR_0671         	=	r	o	DIAS	irc	     8297
0374	FSR_0741         	=	r	o	FPOS	   	     4544
0375	FSR_0756         	=	 	 	DIAS	   	     3942
0376	FSR_0662         	-	 	 	DIAS	irc	        0
0377	Eridanus         	:	g	o	HARR	glo	        0
0378	FSR_0686         	=	r	o	DIAS	irc	    12745
0379	Melotte_25       	:	 	 	DIAS	   	        0
0380	FSR_0606         	=	r	o	FPOS	   	     2709
0381	Czernik_18       	=	 	 	DIAS	   	     4641
0382	B_217            	=	n	o	BIEM	irc	     4137
0383	FSR_0773         	=	r	o	FPOS	   	     2849
0384	FSR_0728         	=	r	c	FPOS	   	     6630
0385	NGC_1579         	=	n	o	BIEM	irc	    14008
0386	LKHalpha_101     	&	 	 	LLEM	emb	        0
0387	Taurus_VI        	:	n	o	BIEM	irc	        0
0388	NGC_1582         	=	 	 	COCD	   	    27885
0389	FSR_0798         	:	 	 	FPOS	   	        0
0390	Taurus_IV        	:	n	o	BIEM	irc	        0
0391	AM_0430-392      	-	 	 	DREM	ast	        0
0392	Tau-Aur_T-Ass    	:	a	o	BIEM	irc	        0
0393	FSR_0804         	=	r	c	FPOS	   	     3078
0394	NGC_1605         	=	 	 	DIAS	   	    10362
0395	Platais_3        	=	m	o	COCD	   	   118704
0396	NGC_1641         	=	r	o	DIAS	rem	     3344
0397	FSR_0740         	=	r	c	FPOS	   	     7207
0398	Taurus_V         	:	n	o	BIEM	irc	        0
0399	IRAS_04324+5106  	=	 	 	BIEM	irc	     9121
0400	FSR_0805         	=	r	c	FPOS	   	     3191
0401	FSR_0808         	&	 	 	FPOS	   	        0
0402	BDSB_66          	-	 	 	BOPN	irc	        0
0403	FSR_0840         	-	 	 	FPOS	   	        0
0404	Berkeley_67      	=	 	 	DIAS	dub	    10742
0405	Taurus_III       	:	n	o	BIEM	irc	        0
0406	FSR_0687         	:	 	 	DIAS	irc	        0
0407	FSR_0768         	=	 	 	FPOS	   	     4447
0408	NGC_1624         	=	n	o	DIAS	   	     8794
0409	BDSB_67          	&	 	 	BOPN	irc	        0
0410	FSR_0714         	=	r	c	DIAS	irc	     7747
0411	FSR_0719         	=	r	c	DIAS	irc	     7521
0412	Berkeley_68      	=	 	 	DIAS	   	    10830
0413	Berkeley_12      	=	 	 	DIAS	   	    11471
0414	FSR_0723         	=	r	c	DIAS	irc	     7298
0415	FSR_0733         	=	r	o	DIAS	irc	     6287
0416	NGC_1647         	=	 	 	COCD	   	    17588
0417	FSR_0717         	=	r	o	DIAS	irc	     7560
0418	Palomar_2        	=	g	o	HARR	glo	     5521
0419	Alessi_2         	=	 	 	COCD	   	    16447
0420	FSR_0721         	=	r	o	DIAS	irc	     9697
0421	Ruprecht_148     	=	r	c	DIAS	   	     8066
0422	FSR_0801         	-	 	 	FPOS	   	        0
0423	LDN_1558         	-	n	o	BIEM	irc	        0
0424	FSR_0767         	=	 	 	FPOS	   	     6666
0425	NGC_1662         	=	 	 	COCD	   	     8024
0426	NGC_1663         	=	 	 	DIAS	rem	     4258
0427	ASCC_12          	=	 	 	COCD	   	    13177
0428	ESO_485-20       	-	 	 	DIAS	dub	        0
0429	FSR_0742         	=	 	 	FPOS	   	     5606
0430	NGC_1664         	=	 	 	COCD	   	    19283
0431	FSR_0702         	=	r	o	DIAS	irc	     6140
0432	FSR_0750         	=	r	c	FPOS	   	     6523
0433	FSR_0735         	=	r	c	DIAS	irc	     8753
0434	FSR_0837         	=	r	c	FPOS	   	     3546
0435	FSR_0835         	&	 	 	FPOS	   	        0
0436	LDN_1517         	-	n	o	BIEM	irc	        0
0437	FSR_0643         	=	r	o	FPOS	   	     3443
0438	Teutsch_5        	=	 	 	DIAS	   	     8501
0439	Berkeley_13      	=	 	 	DIAS	   	     6330
