#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-10-29T05:47:47 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5db7d26d1df0	
#INFO	-out.max=unlimited	
#INFO	queryParameters=11	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/558/A53&tab:{J/A+A/558/A53/notes}&key:source=J/A+A/558/A53/notes&HTTPPRM:&
#-source=J/A+A/558/A53/notes
#-order=I
#-out=MWSC
#-out=Name
#-out=flag
#-out=Type
#-out=n_Type
#-out=Note
#

#RESOURCE=yCat_35580053
#Name: J/A+A/558/A53
#Title: Milky Way global survey of star clusters. II. (Kharchenko+, 2013)
#Table	J_A_A_558_A53_notes:
#Name: J/A+A/558/A53/notes
#Title: Notes to MWSC objects
#Column	MWSC	(A4)	[1/3784] MWSC sequential number	[ucd=meta.record]
#Column	Name	(a17)	NGC, IC or other common designation	[ucd=meta.id]
#Column	flag	(A1)	[&:=-] Flag of confirmation/no confirmation (G5)	[ucd=meta.code.error]
#Column	Type	(A1)	[agmnrs] Object type (G1)	[ucd=src.class]
#Column	n_Type	(A1)	[oc] object/candidate	[ucd=meta.note]
#Column	Note	(a52)	Text of note	[ucd=meta.note]
MWSC	Name	flag	Type	n_Type	Note
0026	PTB_7            	=	 	 	AH:PTB93_7; center is shifted to 0.2534h,+68.318d.
0027	BDSB_48          	=	r	c	PMs in center are poor/absent due to crowding.
0028	Juchert-Saloran_1	=	 	 	
0029	Berkeley_60      	=	 	 	
0030	Teutsch_168      	-	 	 	Shows spatial concentration, but neither clear CMD,
0030	Teuts            	 	 	 	nor MED.
0031	ASCC_2           	=	 	 	
0032	FSR_0486         	=	 	 	
0033	FSR_0479         	=	 	 	Center is shifted to 0.3541h,+54.827d.
0034	Mayer_1          	=	 	 	
0035	King_1           	=	 	 	
0036	FSR_0477         	=	 	 	
0037	SAI_4            	=	 	 	
0038	NGC_104          	=	g	o	47_Tyc; PMs in center are poor/absent due to
0038	NGC_1            	 	 	 	crowding.
0039	Stock_20         	=	 	 	
0040	NGC_103          	=	 	 	
0041	Berkeley_2       	=	 	 	
0042	FSR_0494         	=	 	 	
0043	Cas_OB4          	:	a	o	Large multicenter association, pipeline is not
0043	Cas_O            	 	 	 	applicable.
0044	FSR_0496         	=	 	 	
0045	NGC_110          	=	 	 	Center is shifted to 0.4570h,+71.422d.
0046	SAI_6            	=	 	 	
0047	Cas_OB14         	:	a	o	Large multicenter association, pipeline is not
0047	Cas_O            	 	 	 	applicable.
0048	FSR_0481         	=	 	 	It is seen through dense clouds.
0049	FSR_0483         	&	 	 	Coincides with FSR_0481.
0050	FSR_0498         	=	r	c	
0051	FSR_0503         	=	 	 	
0052	Stock_21         	=	 	 	
0053	NGC_129          	=	 	 	
0054	ASCC_3           	=	a	c	Resembles B-association.
0055	NGC_133          	=	 	 	Corona overlaps with NGC_146.
0056	NGC_136          	=	 	 	
0057	King_14          	=	 	 	
0058	King_15          	=	 	 	Corona overlaps with NGC_146.
0059	NGC_146          	=	 	 	Corona overlaps with King_14 and NGC_136.
0060	Patchick_78      	-	 	 	No cluster is observed; shows neither clear CMD, nor
0060	Patch            	 	 	 	RDP.
0061	IRAS_00338+6312  	-	 	 	No cluster is observed; shows neither clear CMD, nor
0061	IRAS_            	 	 	 	RDP.
0062	NGC_189          	=	 	 	
0063	Stock_24         	=	 	 	
0064	FSR_0505         	-	 	 	No cluster is observed.
0065	Dolidze_12       	=	 	 	Very sparse.
0066	FSR_0508         	=	 	 	
0067	Dias_1           	=	 	 	
0068	NGC_225          	=	 	 	
0069	Czernik_2        	=	 	 	
0070	King_16          	=	 	 	
0071	FSR_0507         	=	 	 	Sparse.
0072	FSR_0511         	-	 	 	No cluster is observed.
0073	Berkeley_4       	=	 	 	
0074	NGC_188          	=	 	 	
0075	Berkeley_61      	=	 	 	Very poor.
0076	Dolidze_13       	=	 	 	Is projected onto Cas_OB7.
0077	FSR_0515         	=	 	 	
0078	FSR_0516         	=	 	 	Sparse nearby.
0079	King_2           	=	 	 	
0080	FSR_0518         	=	m	o	Moving group; sparse.
0081	Cas_OB7          	=	a	o	Center is shifted to 0.8310h,+64.140d to coordinates
0081	Cas_O            	 	 	 	of Cazzolato and Pineault 2003, AJ 125, 2050
0081	Cas_O            	 	 	 	(0.8310h,+64.140d); overlaps with Dolidze_13.
0082	NGC_281W         	-	n	o	Nebula is associated with cluster IC_1590.
0083	FSR_0519         	=	 	 	
0084	NGC_288          	=	g	o	PMs in center are poor/absent due to crowding.
0085	IC_1590          	=	n	o	Cluster is associated with nebula NGC_281; PMs are
0085	IC_15            	 	 	 	poor/absent due to crowding.
0086	FSR_0521         	=	 	 	Sparse.
0087	ASCC_4           	=	 	 	Very sparse.
0088	Alessi_1         	=	 	 	
0089	FSR_0522         	=	 	 	
0090	NGC_281E         	-	n	o	Nebula associated with cluster IC_1590.
0091	NGC_305          	:	s	c	Shows spatial concentration, but neither clear CMD,
0091	NGC_3            	 	 	 	nor MED.
0092	FSR_0524         	=	 	 	
0093	ASCC_5           	=	 	 	Age, distance and reddening have been strongly
0093	ASCC_            	 	 	 	changed compared to COCD.
0094	Skiff_J0058+68.4 	=	 	 	
0095	FSR_0523         	&	 	 	Coincides with Skiff_J0058+68.4.
0096	BDSB_49          	-	 	 	Shows neither clear CMD, MED, nor RDP.
0097	Berkeley_62      	=	 	 	The brightest photometric 1sigma members have low
0097	Berke            	 	 	 	PM-probabilities.
0098	Czernik_3        	=	 	 	
0099	NGC_362          	=	g	o	PMs in center are poor/absent due to crowding.
0100	NGC_358          	-	s	o	DeepSB: asterism, NKh agree, no clustering.
0101	Cas_OB1          	=	a	o	Center is shifted to 1.0040h,+61.460d.
0102	NGC_366          	=	 	 	PMs in center are poor/absent due to crowding.
0103	BDSB_50          	:	 	 	No cluster signature (even concentration) is seen.
0104	Pfleiderer_1     	=	r	c	
0105	NGC_381          	=	 	 	
0106	BDSB_51          	=	r	o	Very poor.
0107	FSR_0530         	=	r	c	
0108	Stock_3          	=	 	 	Disorder with coordinates; center is shifted to
0108	Stock            	 	 	 	1.2025h,+62.258d; the brightest member is B0e.
0109	Platais_2        	=	m	o	Large poor moving group.
0110	NGC_433          	=	 	 	PMs in center are poor/absent due to crowding.
0111	NGC_436          	=	 	 	PMs in center are poor/absent due to crowding.
0112	FSR_0534         	=	r	c	
0113	FSR_0537         	=	r	c	
0114	NGC_457          	=	 	 	PMs in center are poor/absent due to crowding.
0115	FSR_0544         	=	 	 	
0116	FSR_0536         	=	 	 	
0117	FSR_0538         	=	 	 	
0118	BDSB_52          	:	 	 	Strongly reddened dense star group, PMs are
0118	BDSB_            	 	 	 	poor/absent due to crowding.
0119	FSR_0542         	=	 	 	
0120	SAI_14           	=	 	 	Asymmmetrical due to variable reddening.
0121	FSR_0560         	=	 	 	
0122	NGC_559          	=	 	 	PMs in center are poor/absent due to crowding.
0123	FSR_0547         	=	r	o	
0124	NGC_581          	=	 	 	M_103. PMs in center are poor/absent due to
0124	NGC_5            	 	 	 	crowding.
0125	FSR_0531         	=	 	 	
0126	Czernik_4        	=	 	 	DeepSB: Doubtful? NKh: Very poor.
0127	Trumpler_1       	=	 	 	PMs in center are poor/absent due to crowding.
0128	NGC_609          	=	 	 	AH: glo? PMs in center are poor/absent due to
0128	NGC_6            	 	 	 	crowding.
0129	FSR_0546         	=	 	 	
0130	FSR_0549         	=	r	c	
0131	FSR_0551         	=	r	c	
0132	FSR_0553         	=	 	 	
0133	NGC_637          	=	 	 	PMs in center are poor/absent due to crowding.
0134	FSR_0539         	=	 	 	
0135	NGC_657          	=	 	 	
0136	Cas_OB8          	:	a	o	Large multicenter association, pipeline is not
0136	Cas_O            	 	 	 	applicable.
0137	NGC_654          	=	 	 	
0138	NGC_659          	=	 	 	
0139	NGC_663          	=	 	 	Sparse; overlaps with corona of Cas_OB8.
0140	Collinder_463    	=	 	 	Center is shifted to 1.8200h,+71.780d; very sparse.
0141	ASCC_6           	=	 	 	
0142	Berkeley_5       	=	 	 	
0143	Collinder_21     	=	r	o	Dias: asterism; NKh: very sparse; center is shifted
0143	Colli            	 	 	 	to 1.8360h,+27.115d.
0144	S1               	&	 	 	Part of corona of Berkeley 6.
0145	Berkeley_6       	=	 	 	
0146	IC_166           	=	 	 	PMs in center are poor/absent due to crowding.
0147	Stock_4          	=	 	 	Center is shifted to 1.8855h,+57.010d; sparse.
0148	ESO_245-09       	=	r	o	Very sparse; poor RDP; center is shifted to 1.8953h,
0148	ESO_2            	 	 	 	-45.920d.
0149	Berkeley_7       	=	 	 	
0150	Czernik_5        	=	 	 	Center is shifted to 1.9285h,+61.354Ed.
0151	NGC_752          	=	 	 	
0152	IRAS_01546+6319  	=	 	 	Center is shifted to 1.9555h,+63.490d.
0153	NGC_744          	=	 	 	
0154	NGC_743          	=	 	 	
0155	PTB_10           	:	 	 	AH:PTB93_10 - IR cluster, not visible on DSS; no
0155	PTB_1            	 	 	 	cluster signature (even concentration) is seen.
0156	ASCC_7           	=	 	 	Sparse.
0157	FSR_0558         	=	 	 	
0158	Berkeley_8       	=	 	 	
0159	Czernik_6        	=	 	 	Very sparse.
0160	FSR_0555         	=	r	o	
0161	Whiting_1        	:	g	o	There are a few PM-stars, without any CMD.
0162	Czernik_7        	=	 	 	
0163	Stock_5          	=	 	 	Very sparse.
0164	FSR_0532         	=	r	o	Very sparse.
0165	SAI_16           	=	 	 	
0166	FSR_0561         	=	 	 	
0167	Riddle_4         	=	 	 	
0168	IRAS_02044+6031  	=	 	 	Contains cluster BDSB_162.
0169	BDSB_162         	&	 	 	Coincides with IRAS_02044+6031.
0170	IRAS_02048+5957  	:	 	 	Shows neither clear MED, nor RDP.
0171	IRAS_02054+6011  	=	 	 	Poor RDP.
0172	FSR_0616         	=	r	o	
0173	Stock_2          	=	 	 	
0174	IRAS_02130+5509  	=	r	o	
0175	NGC_869          	=	 	 	h Per, component of h and chi Per, corona overlaps
0175	NGC_8            	 	 	 	with NGC_884; PMs are poor/absent due to crowding.
0176	Basel_10         	=	r	c	
0177	Berkeley_63      	=	 	 	Inexplicably bad RDP.
0178	FSR_0578         	=	r	o	
0179	SAI_17           	=	 	 	
0180	ASCC_8           	=	 	 	
0181	Per_OB1          	:	a	o	Large multicenter association, pipeline is not
0181	Per_O            	 	 	 	applicable.
0182	Berkeley_64      	=	 	 	Center is shifted to 2.3610h,+65.890d.
0183	IRAS_02175+5845  	:	 	 	Shows neither clear CMD, MED, nor RDP.
0184	NGC_884          	=	 	 	chi Per, component of h and chi Per, corona
0184	NGC_8            	 	 	 	overlaps with NGC_869; PMs are poor/absent due to
0184	NGC_8            	 	 	 	crowding.
0185	FSR_0626         	:	 	 	Shows neither clear CMD, nor RDP.
0186	NGC_886          	=	 	 	Stock_6.
0187	IC_1805W         	-	n	o	SIMBAD: J022902.16+613332.4 - Cloud.
0188	BDSB_54          	:	 	 	Close (~0.025d) to W3_IRS5, shows spatial
0188	BDSB_            	 	 	 	concentration, but neither clear CMD, nor MED.
0189	BDSB_55          	:	 	 	Close (~0.02d) to W3 IRS5, shows spatial
0189	BDSB_            	 	 	 	concentration, but neither clear CMD, nor MED.
0190	BDSB_56          	&	 	 	Coincides with W3_IRS5.
0191	W3_IRS5          	:	a	c	Massive star-forming region W3 IRS5, shows spatial
0191	W3_IR            	 	 	 	concentration, but neither clear CMD, nor MED.
0192	IRAS_02232+6138  	=	 	 	Center is shifted to 2.4428h,+61.988d. PMs in
0192	IRAS_            	 	 	 	center are poor/absent due to crowding.
0193	FSR_0584         	=	 	 	PMs in center are poor/absent due to crowding.
0194	IC_1795.1        	-	n	o	HII (ionised) region, no cluster seen at all.
0195	IC_1795.2        	-	n	o	HII (ionised) region, no cluster seen at all.
0196	FSR_0591         	=	 	 	
0197	BDSB_53          	:	 	 	Shows spatial concentration, but neither clear CMD,
0197	BDSB_            	 	 	 	nor MED.
0198	IRAS_02245+6115  	:	 	 	Large area includes several clusters, pipeline is
0198	IRAS_            	 	 	 	not applicable.
0199	Tombaugh_4       	=	 	 	Center is shifted to 2.4860h,+61.785d.
0200	Teutsch_55       	=	 	 	Center is shifted to 2.4900h,+62.070d.
0201	FSR_0568         	=	 	 	
0202	Stock_7          	=	 	 	Markarian_6.
0203	FSR_0617         	=	r	o	
0204	FSR_0596         	=	r	o	
0205	FSR_0566         	:	 	 	Shows spatial concentration, but neither clear CMD,
0205	FSR_0            	 	 	 	nor MED.
0206	FSR_0620         	=	 	 	Sparse.
0207	FSR_0569         	=	 	 	
0208	NGC_956          	=	 	 	Center is shifted to 2.5330h,+44.580Sd.
0209	IC_1805          	=	 	 	PMs in center are poor/absent due to crowding.
0210	Czernik_8        	=	 	 	Sparse.
0211	NGC_957          	=	 	 	
0212	Czernik_9        	=	 	 	
0213	Czernik_10       	=	 	 	
0214	Cas_OB6          	:	a	o	Large multicenter association, pipeline is not
0214	Cas_O            	 	 	 	applicable.
0215	SAI_21           	=	 	 	
0216	King_4           	=	 	 	Center is shifted to 2.6015h,+59.025d; PMs in center
0216	King_            	 	 	 	are poor/absent due to crowding.
0217	IRAS_02327+6019  	:	 	 	Shows spatial concentration, but neither clear CMD,
0217	IRAS_            	 	 	 	nor MED.
0218	Czernik_11       	=	n	o	Superposed on galaxy Maffei_1; PMs in center are
0218	Czern            	 	 	 	poor/absent due to crowding.
0219	Trumpler_2       	=	 	 	Center is shifted to 2.6245h,+55.950d.
0220	FSR_0611         	=	r	o	
0221	Berkeley_65      	=	 	 	
0222	Czernik_12       	=	 	 	
0223	NGC_1039         	=	 	 	
0224	FSR_0614         	=	 	 	
0225	NGC_1027         	=	 	 	
0226	IRAS_02407+6047  	:	 	 	Shows spatial concentration, but neither clear CMD,
0226	IRAS_            	 	 	 	nor MED.
0227	Czernik_13       	=	 	 	Center is shifted to 2.7409,+62.318d.
0228	ASCC_9           	=	 	 	Sparse.
0229	IRAS_02434+6018  	-	 	 	Shows neither clear CMD, RDP, nor MED.
0230	BDSB_57          	-	 	 	Shows spatial concentration, but neither clear CMD,
0230	BDSB_            	 	 	 	nor MED; possible is a part of corona of
0230	BDSB_            	 	 	 	Teutsch_162.
0231	Dol-Dzim_1       	-	s	o	
0232	Teutsch_162      	=	 	 	Sparse.
0233	IRAS_02445+6042  	-	 	 	No cluster signature (even concentration) is seen.
0234	IRAS_02461+6147  	:	 	 	Large object, shows neither RDP nor MED.
0235	IRAS_02459+6029  	=	r	o	Overlaps with corona of IC_1848.
0236	IC_1848          	=	 	 	PMs in center are poor/absent due to crowding.
0237	FSR_0576         	=	r	o	Strongly reddened cluster.
0238	Latysev_1        	:	m	o	AH: 5 faint nearby stars spread over 5.5d; pipeline
0238	Latys            	 	 	 	is not applicable.
0239	IRAS_02484+6022  	&	 	 	Overlaps with IC_1848, IRAS_02459+6029,
0239	IRAS_            	 	 	 	IRAS_02511+6023; pipeline is not applicable.
0240	IRAS_02497+6217  	=	 	 	Sparse; center is shifted to 2.9085h,+62.525d.
0241	FSR_0579         	:	 	 	Shows spatial concentration, but neither clear CMD,
0241	FSR_0            	 	 	 	nor MED.
0242	IRAS_02511+6023  	=	r	o	
0243	FSR_0581         	=	 	 	
0244	BDSB_58          	:	 	 	Shows spatial concentration, but neither clear CMD,
0244	BDSB_            	 	 	 	nor MED.
0245	NGC_1146         	-	s	o	
0246	IRAS_02541+6208  	=	 	 	Center is shifted to 2.9880h,+62.300d.
0247	FSR_0604         	-	 	 	No cluster signature (even concentration) is seen.
0248	Collinder_33     	=	n	o	Center is shifted to 2.9877h,+60.300d; very sparse;
0248	Colli            	 	 	 	in large nebula complex in Cas.
0249	SAI_24           	=	 	 	PMs in center are poor/absent due to crowding.
0250	SAI_25           	=	 	 	
0251	IRAS_02570+6028  	&	 	 	Overlaps with SAI_24, Collinder_33, IRAS_02575+6017,
0251	IRAS_            	 	 	 	IRAS_02593+6016; in large nebula complex in Cas;
0251	IRAS_            	 	 	 	pipeline is not applicable.
0252	IRAS_02575+6017  	=	n	o	PMs in center are poor/absent due to crowding.
0253	AFGL_4029        	&	 	 	Coincides with IRAS_02575+6017.
0254	IRAS_02593+6016  	&	 	 	Overlaps with IRAS_02575+6017, SAI_24, Collinder_33;
0254	IRAS_            	 	 	 	in large nebula complex in Cas; pipeline is not
0254	IRAS_            	 	 	 	applicable.
0255	Berkeley_66      	=	 	 	Center is shifted to 3.0677h,+58.740d.
0256	NGC_1193         	=	 	 	Rich faint cluster; PMs in center are poor/absent.
0257	AFGL_437         	:	 	 	Strong and variable reddening, pipeline is not
0257	AFGL_            	 	 	 	applicable.
0258	FSR_0612         	=	 	 	
0259	IRAS_03064+5638  	:	 	 	Small object, shows neither clear CMD, nor RDP.
0260	NGC_1252         	=	r	o	Very sparse.
0261	NGC_1220         	=	 	 	PMs in center are poor/absent due to crowding.
0262	Trumpler_3       	=	 	 	Harvard_1.
0263	NGC_1261         	=	g	o	PMs in center are poor/absent due to crowding.
0264	NGC_1245         	=	 	 	PMs in center are poor/absent due to crowding.
0265	King_5           	=	 	 	PMs in center are poor/absent due to crowding.
0266	Stock_23         	=	r	c	Very sparse; center is shifted to 3.2820h,+60.015d.
0267	Czernik_14       	=	 	 	
0268	Cam_OB1          	:	a	o	Very large multicenter association, pipeline is not
0268	Cam_O            	 	 	 	applicable.
0269	FSR_0675         	:	 	 	Shows weak spatial concentration, but neither clear
0269	FSR_0            	 	 	 	CMD, nor MED.
0270	FSR_0627         	=	r	o	Center is shifted to 3.3390h,+60.260d.
0271	Czernik_15       	=	r	c	
0272	FSR_0628         	=	 	 	
0273	BDSB_59          	:	 	 	Small, shows neither clear CMD, nor RDP.
0274	Melotte_20       	=	 	 	Center is shifted to 3.4450h,+48.800d. Atlas pages
0274	Melot            	 	 	 	are made for the sample with r1+0.3d and with
0274	Melot            	 	 	 	r2+0.5d for 3sigma members.
0275	ASCC_10          	=	 	 	Very sparse cluster of A stars.
0276	AFGL_490         	:	 	 	Strong and variable reddening, pipeline is not
0276	AFGL_            	 	 	 	applicable.
0277	King_6           	=	 	 	
0278	Alessi_13        	=	m	o	
0279	NGC_1333         	=	n	o	Infrared cluster in NGC 1333; strong and variable
0279	NGC_1            	 	 	 	reddening; PMs are poor/absent due to crowding.
0280	NGC_1333SW       	&	n	o	[LAL96]1; SW part of infrared cluster in NGC 1333;
0280	NGC_1            	 	 	 	strong and variable reddening; PMs are poor/absent
0280	NGC_1            	 	 	 	due to crowding.
0281	NGC_1333NE       	&	n	o	[LAL96]2; NE part of infrared cluster in NGC 1333;
0281	NGC_1            	 	 	 	strong and variable reddening; PMs are poor/absent
0281	NGC_1            	 	 	 	due to crowding.
0282	Czernik_16       	=	 	 	Center is shifted to 3.5195h,+52.632d.
0283	NGC_1342         	=	 	 	Center is shifted to 3.5336h,+37.357d.
0284	ASCC_11          	=	 	 	Sparse.
0285	FSR_0632         	=	 	 	
0286	Berkeley_9       	=	 	 	
0287	Palomar_1        	:	g	o	There are a few PM-stars, without any CMD.
0288	FSR_0682         	=	r	o	
0289	NGC_1348         	=	 	 	
0290	Berkeley_10      	=	 	 	
0291	SAI_30           	=	r	c	
0292	FSR_0634         	=	r	c	
0293	FSR_0691         	=	r	o	
0294	IC_348f          	&	 	 	Clump in corona of IC_348.
0295	IC_348g          	&	 	 	Clump in corona of IC_348.
0296	IC_348h          	&	 	 	Clump in corona of IC_348.
0297	IC_348i          	&	 	 	Clump in corona of IC_348.
0298	IC_348b          	&	 	 	Clump in corona of IC_348.
0299	Alessi-Teutsch_10	-	s	c	
0300	IC_348e          	&	 	 	Clump in corona of IC_348.
0301	IC_348           	=	 	 	Strong and variable reddening; PMs are poor/absent
0301	IC_34            	 	 	 	due to crowding; overlaps with Per_OB2.
0302	IC_348d          	&	 	 	Clump in corona of IC_348.
0303	IC_348c          	&	 	 	Clump in corona of IC_348.
0304	Juchert_11       	=	 	 	
0305	Melotte_22       	=	 	 	Center is shifted to 3.7670h,+24.370d.
0306	Tombaugh_5       	=	 	 	
0307	Per_OB2          	=	a	o	r2 is approximate; atlas pages are made for the
0307	Per_O            	 	 	 	sample with r1+0.3d and with r2+0.3d for 3sigma
0307	Per_O            	 	 	 	members.
0308	NGC_1444         	=	 	 	Sparse.
0309	FSR_0701         	-	 	 	Shows weak spatial concentration, but neither clear
0309	FSR_0            	 	 	 	CMD, nor MED; overlaps with Per_OB2.
0310	BDSB_60          	:	 	 	Shows spatial concentration, but neither clear CMD,
0310	BDSB_            	 	 	 	nor MED.
0311	Czernik_17       	=	r	o	
0312	AM_1             	:	g	o	E_1; very faraway, there are a few PM-stars, without
0312	AM_1             	 	 	 	any CMD.
0313	Juchert_9        	=	r	o	PMs in center are poor/absent due to crowding.
0314	FSR_0654         	=	r	o	
0315	FSR_0655         	=	r	o	Center is shifted to 3.9362h,+53.877d.
0316	FSR_0737         	:	 	 	Shows spatial concentration, but neither clear CMD,
0316	FSR_0            	 	 	 	nor MED.
0317	FSR_0724         	=	r	o	Overlaps with corona of Per_OB2.
0318	FSR_0738         	-	 	 	Shows weak spatial concentration, but neither clear
0318	FSR_0            	 	 	 	CMD, nor MED.
0319	NGC_1520         	=	r	c	Dias: non-existent NGC/not found in DSS; NKh: old
0319	NGC_1            	 	 	 	cluster.
0320	FSR_0656         	=	r	o	
0321	King_7           	=	 	 	PMs in center are poor/absent due to crowding.
0322	FSR_0647         	&	 	 	Coincides with Alicante_1.
0323	Alicante_1       	=	 	 	Sparse young; brightest membes O6NN and O7.5.
0324	NGC_1498         	-	s	o	
0325	Cam_OB3          	=	a	o	Center is shifted to 4.0130h,+56.450d.
0326	LDN_1501         	-	n	o	Dark cloud (nebula).
0327	Juchert_19       	=	r	o	
0328	FSR_0660         	=	r	c	
0329	FSR_0689         	=	 	 	
0330	BDSB_61          	-	 	 	Shows weak spatial concentration, but neither clear
0330	BDSB_            	 	 	 	CMD, nor MED.
0331	FSR_0653         	=	r	o	
0332	BDSB_62          	-	 	 	Shows spatial concentration, but neither clear CMD,
0332	BDSB_            	 	 	 	nor MED.
0333	NGC_1496         	=	r	c	
0334	FSR_0665         	-	 	 	Shows weak spatial concentration, but neither clear
0334	FSR_0            	 	 	 	CMD, nor MED.
0335	FSR_0695         	=	r	o	
0336	FSR_0666         	-	 	 	Shows spatial concentration, but neither clear CMD,
0336	FSR_0            	 	 	 	nor MED.
0337	FSR_0663         	=	r	o	
0338	FSR_0692         	=	r	o	Center is shifted to 4.1005h,+40.168d.
0339	FSR_0698         	=	r	o	
0340	Dolidze_14       	-	 	 	Shows weak spatial concentration, but neither clear
0340	Dolid            	 	 	 	CMD, RDP, nor MED.
0341	FSR_0667         	=	r	o	
0342	BDSB_63          	-	 	 	Shows neither clear CMD, RDP, nor MED.
0343	NGC_1502         	=	 	 	PMs in center are poor/absent due to crowding.
0344	FSR_0725         	:	 	 	Shows spatial concentration, but neither clear CMD,
0344	FSR_0            	 	 	 	nor MED; overlaps with corona of Per_OB2.
0345	FSR_0757         	=	r	c	
0346	NGC_1513         	=	 	 	Sparse.
0347	FSR_0700         	=	r	c	
0348	Juchert_20       	=	r	c	
0349	BDSB_65          	-	 	 	Shows spatial concentration, but neither clear CMD,
0349	BDSB_            	 	 	 	nor MED.
0350	FSR_0674         	=	 	 	
0351	NGC_1557         	=	r	o	Sparse.
0352	LDN_1495W        	=	n	o	Dark cloud (nebula) with d=140pc screens distant
0352	LDN_1            	 	 	 	cluster; center is shifted to 4.2425h,+28.490d.
0353	NGC_1528         	=	 	 	
0354	FSR_0754         	:	 	 	Multiple system (3 stars) with large PM(x,y)=
0354	FSR_0            	 	 	 	(14.47, -6.82)mas/y.
0355	SAI_36           	=	r	c	
0356	FSR_0764         	&	 	 	Clump in corona of FSR_0765.
0357	FSR_0765         	=	 	 	
0358	FSR_0709         	=	r	o	
0359	Waterloo_1       	=	 	 	PMs in center are poor/absent due to crowding.
0360	FSR_0697         	=	r	c	
0361	LDN_1495E        	-	n	o	Dark cloud (nebula) with d=140pc; does not show any
0361	LDN_1            	 	 	 	clustering.
0362	IC_361           	=	 	 	PMs in center are poor/absent due to crowding; age,
0362	IC_36            	 	 	 	distance, reddening have been strongly changed
0362	IC_36            	 	 	 	compared to Dias and WEBDA.
0363	FSR_0575         	-	 	 	No cluster signature (even concentration) is seen.
0364	BDSB_64          	-	 	 	Shows weak spatial concentration, but neither clear
0364	BDSB_            	 	 	 	CMD, nor MED.
0365	Mayer_2          	=	n	o	DeepSB: it is involved in or contains nebulosity;
