#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-03-09T02:18:14 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e65a75b0d44	
#INFO	-out.max=unlimited	
#INFO	queryParameters=13	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/633/A44&tab:{J/A+A/633/A44/tablea1}&key:source=J/A+A/633/A44/sources&HTTPPRM:&
#-source=J/A+A/633/A44/tablea1
#-order=I
#-out=Name
#-out=HIP
#-out=SpType
#-out=B-V
#-out=Mass
#-out=r_Mass
#-out=Age
#-out=e_Age
#

#RESOURCE=yCat_36330044
#Name: J/A+A/633/A44
#Title: HARPS Young Nearby Stars - YNS (Grandjean+, 2020)
#Table	J_A_A_633_A44_tablea1:
#Name: J/A+A/633/A44/tablea1
#Title: Stellar characteristics of the survey
#Column	Name	(a10)	Name	[ucd=meta.id;meta.main]
#Column	HIP	(I6)	? Hipparcos number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	SpType	(A5)	Spectral type	[ucd=src.spType]
#Column	B-V	(F6.3)	B-V colour index	[ucd=phot.color;em.opt.B;em.opt.V]
#Column	Mass	(F6.3)	? Stellar mass found in literature	[ucd=phys.mass]
#Column	r_Mass	(A19)	Bibcode of mass reference	[ucd=meta.ref]
#Column	Age	(I4)	? Age found in literature [NULL integer written as an empty string]	[ucd=time.age]
#Column	e_Age	(I4)	? Age negative error [NULL integer written as an empty string]	[ucd=stat.error;time.age]
Name	HIP	SpType	B-V	Mass	r_Mass	Age	e_Age
HD44627   	 30034	K1V  	 0.805	 0.900	2010A&A...520A..15M	  30	  15
HD45081   	 29964	K4V  	 1.251	 0.800	2010A&A...520A..15M	    	
HD45270   	 30314	G1V  	 0.602	 1.110	2013A&A...559A..83L	 149	  49
HD59967   	 36515	G3V  	 0.639	 1.090	2009ApJ...698.1068P	 353	  58
HD61005   	 36948	G8V  	 0.740	 1.000	2017A&A...603A...3V	  50	  10
HD63608   	 37923	K0V  	 0.830	 1.000	2017A&A...603A...3V	 250	  50
HD77825   	 44526	K2V  	 0.992	 0.800	2017A&A...603A...3V	 350	 150
HD82558   	 46816	K1V  	 0.870	 0.800	2004A&A...417.1047K	    	
HD89449   	 50564	F6IV 	 0.440	      	                   	    	
HD90905   	 51386	F5V  	 0.569	 1.160	2013A&A...559A..83L	 170	  70
HD92945   	 52462	K1V  	 0.877	 0.900	2017A&A...603A...3V	 170	  70
HD95086   	 53524	A8III	 0.240	 1.600	2013A&A...553A..60R	  17	   4
HD95650   	 53985	M2V  	 1.477	 0.590	2014ApJ...781...28M	    	
HD99211   	 55705	A7V  	 0.210	      	                   	    	
HD102458  	 57524	G4V  	 0.630	 1.700	2004AJ....128.1812D	    	
HD103743  	 58241	G4V  	 0.670	      	                   	    	
HD105690  	 59315	G5V  	 0.661	 1.020	2013A&A...559A..83L	   8	   8
HD106906  	 59960	F5V  	 0.400	 1.500	2014ApJ...780L...4B	  13	   2
HD108767  	 60965	K0V  	-0.050	 2.740	2009A&A...495..901M	    	
HD116434  	 65426	A2V  	 0.200	 1.960	2017A&A...605L...9C	  14	   4
HD118100  	 66252	K5V  	 1.180	 0.700	2017A&A...603A...3V	 150	  50
HD131399  	 72940	A1V  	 0.080	 2.080	2017AJ....154..218N	  21	   3
HD141943  	      	G2V  	 0.505	 1.090	2013A&A...559A..83L	  30	  15
HD146464  	 79958	K3V  	 1.033	      	                   	    	
HD146624  	 79881	A0V  	 0.022	 1.900	2013A&A...559A..83L	  12	
HD152555  	 82688	F8V  	 0.600	      	                   	 130	  20
HD159492  	 86305	A5IV 	 0.189	      	                   	    	
HD164249  	 88399	F6V  	 0.460	 1.300	2017A&A...603A...3V	  24	   5
HD169178  	      	K0V  	 0.850	      	                   	    	
HD171488  	 91043	G2V  	 0.551	 1.100	2017A&A...603A...3V	  45	  25
HD172555  	 92024	A7V  	 0.200	 1.610	2013A&A...559A..83L	  12	
HD174429  	 92680	G9IV 	 0.878	 1.200	2017A&A...603A...3V	  24	   5
HD177171  	 93815	F6V  	 0.526	 1.250	2004AJ....128.1812D	  30	
HD181321  	 95149	G2V  	 0.630	 0.890	2017ApJ...836..139F	    	
HD181327  	 95270	F6V  	 0.460	 1.360	2013A&A...559A..83L	  24	   5
HD183414  	 96334	G3V  	 0.650	 1.040	2013A&A...559A..83L	 150	  80
HD186704  	 97255	G0V  	 0.583	 1.400	2016A&A...593A..38B	 100	
HD188228  	 98495	A0V  	-0.013	 2.030	2013A&A...559A..83L	  40	
HD189245  	 98470	F7V  	 0.490	 1.200	2017A&A...603A...3V	 150	  50
HD191089  	 99273	F5V  	 0.440	 1.300	2017A&A...603A...3V	  24	   5
HD197481  	102409	M1V  	 1.423	 0.600	2010A&A...520A..15M	  21	   5
HD197890  	102626	K3V  	 1.053	 1.000	2017A&A...603A...3V	  45	  35
HD202917  	105388	G7V  	 0.650	 0.900	2017A&A...603A...3V	  45	  10
HD206860  	107350	G0V  	 0.580	 1.100	2017A&A...603A...3V	 300	 100
HD206893  	107412	F5V  	 0.440	 1.240	2017A&A...597L...2M	 250	 200
HD207575  	107947	F6V  	 0.490	 1.240	2013A&A...559A..83L	  45	  15
HD213845  	111449	F7V  	 0.440	 1.400	2017A&A...603A...3V	 250	  50
HD215641  	112491	G8V  	 0.760	      	                   	 440	  40
HD216956  	113368	A3V  	 0.090	 1.920	2012ApJ...754L..20M	 440	  40
HD217343  	113579	G5V  	 0.640	 1.050	2017A&A...603A...3V	  70	
HD217987  	114046	M2V  	 1.480	 0.470	2014ApJ...781...28M	8000	7900
HD218396  	114189	A5V  	 0.257	 1.460	2017A&A...603A...3V	  30	
HD218860  	114530	G8V  	 0.738	 1.000	2010A&A...520A..15M	    	
HD221575  	116258	K2V  	 0.930	      	                   	    	
HD223340  	      	K1V  	 0.820	      	                   	    	
HD224228  	118008	K2V  	 0.985	 0.860	2013A&A...559A..83L	 149	  49
HIP6276   	  6276	G9V  	 0.800	 0.900	2017A&A...603A...3V	 149	  49
HIP116384 	116384	K7V  	 1.347	      	                   	    	
HIP17157  	 17157	K7V  	 1.300	      	                   	    	
HIP23309  	 23309	M0V  	 1.471	 0.550	2004AJ....128.1812D	  10	   3
HIP31878  	 31878	K7V  	 1.296	 0.643	2017A&A...604A..97L	    	
HIP36985  	 36985	M2V  	 1.476	 0.621	2018A&A...615A...6P	 260	 260
HIP44722  	 44722	K7V  	 1.450	 0.638	2017A&A...604A..97L	    	
HIP46634  	 46634	G5V  	 0.860	      	                   	    	
HIP51317  	 51317	M2V  	 1.501	      	                   	 130	  20
BD+20 2465	      	M5V  	 1.300	 0.420	2008MNRAS.390..567M	    	
CD-46 1064	      	K3V  	 1.048	 0.800	2017A&A...603A...3V	  45	  10

