#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-03-09T02:18:48 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e65a7801780	
#INFO	-out.max=unlimited	
#INFO	queryParameters=15	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:J/A+A/633/A44&tab:{J/A+A/633/A44/tablea2}&key:source=J/A+A/633/A44/sources&HTTPPRM:&
#-source=J/A+A/633/A44/tablea2
#-order=I
#-out=Name
#-out=HIP
#-out=SpType
#-out=TBL
#-out=Nsp
#-out=RVAmp
#-out=RVrms
#-out=e_RV
#-out=BVS
#-out=BVSrms
#

#RESOURCE=yCat_36330044
#Name: J/A+A/633/A44
#Title: HARPS Young Nearby Stars - YNS (Grandjean+, 2020)
#Table	J_A_A_633_A44_tablea2:
#Name: J/A+A/633/A44/tablea2
#Title: Results of the survey
#Column	Name	(a10)	Name	[ucd=meta.id;meta.main]
#Column	HIP	(I6)	? Hipparcos number [NULL integer written as an empty string]	[ucd=meta.id]
#Column	SpType	(A5)	Spectral type	[ucd=src.spType]
#Column	TBL	(I4)	Time baseline	[ucd=time.epoch]
#Column	Nsp	(I4)	Total number of computed spectra	[ucd=meta.number]
#Column	RVAmp	(F7.1)	Radial velocity amplitude	[ucd=src.var.amplitude]
#Column	RVrms	(F6.1)	Radial velocity rms	[ucd=stat.error]
#Column	e_RV	(F6.1)	Radial velocity mean uncertainty	[ucd=stat.error]
#Column	BVS	(F8.1)	? Bisector velocity span	[ucd=phys.veloc]
#Column	BVSrms	(F5.1)	? Bisector velocity span rms	[ucd=stat.error]
Name	HIP	SpType	TBL	Nsp	RVAmp	RVrms	e_RV	BVS	BVSrms
HD39060   	 27321	A6V  	3702	5108	  755.5	 341.4	  58.9	        	
HD41593   	 28954	K0V  	1194	  15	   69.5	  19.8	   1.1	    59.4	  2.9
HD43989   	 30030	G0V  	4433	  17	  819.0	 238.6	  15.6	   743.7	 34.3
HD44627   	 30034	K1V  	4892	  23	  670.6	 177.7	   3.2	   428.6	  8.1
HD45081   	 29964	K4V  	4020	  17	  852.4	 252.1	   5.0	   911.0	 13.0
HD45270   	 30314	G1V  	2827	  19	  137.4	  51.8	   3.1	   193.3	  8.4
HD59967   	 36515	G3V  	1065	  25	   65.3	  19.7	   1.4	    41.6	  3.6
HD61005   	 36948	G8V  	2369	  33	  186.5	  48.8	   2.5	   127.4	  6.3
HD63608   	 37923	K0V  	1069	  36	   80.7	  22.2	   1.1	    49.1	  3.0
HD77825   	 44526	K2V  	 283	   6	   47.0	  18.3	   1.4	    46.5	  3.4
HD82558   	 46816	K1V  	1092	  24	  296.0	  79.7	   7.1	   475.6	 17.5
HD89449   	 50564	F6IV 	1227	  28	  129.9	  41.4	   4.3	   351.6	  9.1
HD90905   	 51386	F5V  	2551	  24	  125.6	  40.8	   1.9	   187.7	  5.0
HD92945   	 52462	K1V  	4533	  38	  182.3	  40.5	   1.5	    86.2	  3.9
HD95086   	 53524	A8III	1532	 103	 1279.0	 268.8	  14.8	  2594.0	 36.3
HD95650   	 53985	M2V  	4046	  12	   23.8	   7.6	   3.1	    46.1	  7.3
HD99211   	 55705	A7V  	3068	 112	  818.0	 149.4	  86.8	 49704.0	214.7
HD102458  	 57524	G4V  	2964	  26	  988.5	 307.7	  10.0	  1358.4	 23.8
HD103743  	 58241	G4V  	1065	  30	  102.2	  32.1	   2.6	   141.6	  6.6
HD105690  	 59315	G5V  	2975	 133	  269.4	  61.3	   2.3	   193.7	  5.4
HD106906  	 59960	F5V  	1230	  46	 5290.4	1285.7	  32.9	  9949.8	 83.3
HD108767  	 60965	K0V  	1201	  18	   47.9	  12.4	   0.7	    25.3	  2.0
HD116434  	 65426	A2V  	 439	  58	 6273.2	1223.2	1235.6	        	
HD118100  	 66252	K5V  	 720	  10	  534.7	 155.6	   6.4	   139.5	 15.6
HD131399  	 72940	A1V  	 189	  87	19478.2	6381.7	  16.4	  1287.6	 39.3
HD141943  	      	G2V  	2648	  58	  861.4	 222.8	  10.3	  1169.7	 25.3
HD146464  	 79958	K3V  	  51	   5	  872.1	 352.1	   5.0	   546.2	 12.3
HD146624  	 79881	A0V  	4762	 335	  232.7	  39.8	  29.2	 70472.6	 72.9
HD152555  	 82688	F8V  	1135	  22	  225.0	  64.8	   6.1	   283.2	 15.9
HD159492  	 86305	A5IV 	4751	  90	  612.4	 124.9	  20.8	  2413.2	 52.1
HD164249  	 88399	F6V  	1113	  25	   56.9	  14.6	   6.9	   134.2	 17.0
HD169178  	      	K0V  	1123	  19	  354.7	 135.7	   1.8	    85.6	  4.7
HD171488  	 91043	G2V  	1111	  18	 2190.4	 717.7	  13.1	  2249.5	 33.2
HD172555  	 92024	A7V  	2975	 262	 1883.8	 329.6	  70.6	 94415.3	185.8
HD174429  	 92680	G9IV 	4572	  42	 3362.3	 970.2	  26.0	  1167.7	 60.0
HD177171  	 93815	F6V  	 144	  21	21233.2	5931.1	  53.4	        	
HD181321  	 95149	G2V  	3757	  28	 2610.2	 683.2	   3.9	   244.0	  9.6
HD181327  	 95270	F6V  	3496	  56	   63.1	  16.3	   3.8	   156.8	  9.0
HD183414  	 96334	G3V  	3097	  68	  247.9	  63.6	   2.4	   214.0	  6.2
HD186704  	 97255	G0V  	 451	   4	  345.8	 168.8	   4.7	    77.1	 11.9
HD188228  	 98495	A0V  	4315	 194	 1398.7	 319.2	 150.2	211414.9	368.1
HD189245  	 98470	F7V  	4285	  46	  646.2	 119.4	  21.0	  5149.4	 43.1
HD191089  	 99273	F5V  	1025	  26	  107.1	  22.8	  15.7	   300.0	 37.3
HD197481  	102409	M1V  	5619	  55	  667.6	 144.0	   3.2	   470.1	  8.0
HD197890  	102626	K3V  	  13	   3	  922.1	 376.6	  85.2	  3975.6	217.1
HD202917  	105388	G7V  	4438	  20	  436.1	 124.6	   5.0	   438.1	 12.4
HD206860  	107350	G0V  	1332	  22	  122.1	  35.8	   2.8	   180.9	  6.7
HD206893  	107412	F5V  	 941	  78	  297.4	  87.7	  10.0	   357.5	 27.6
HD207575  	107947	F6V  	2391	  39	  227.6	  49.3	   9.5	   389.5	 19.9
HD213845  	111449	F7V  	4436	  79	  220.4	  44.2	   9.6	   454.3	 25.8
HD215641  	112491	G8V  	1639	  78	  101.5	  20.5	   1.2	    84.4	  3.4
HD216956  	113368	A3V  	4929	 834	  382.4	  44.3	  27.0	        	
HD217343  	113579	G5V  	2727	  26	  276.6	  96.9	   2.7	   298.7	  6.6
HD217987  	114046	M2V  	5109	 130	   63.8	  18.5	   0.9	    39.5	  2.3
HD218396  	114189	A5V  	2727	 124	 3616.3	 924.5	  38.5	  7376.0	 95.5
HD218860  	114530	G8V  	1137	  18	  137.1	  36.2	   2.1	    82.8	  5.4
HD221575  	116258	K2V  	 869	  16	   45.7	  12.2	   1.4	    33.4	  3.7
HD223340  	      	K1V  	 868	  10	   54.4	  17.3	   1.7	    42.2	  4.4
HD224228  	118008	K2V  	2815	  31	   35.4	   8.8	   1.0	    31.5	  2.8
HIP6276   	  6276	G9V  	1201	  20	   95.6	  27.3	   1.6	    91.0	  4.2
HIP116384 	116384	K7V  	 733	   8	  104.3	  41.2	   1.7	    60.2	  4.5
HIP17157  	 17157	K7V  	1457	   6	   67.5	  22.3	   1.4	    37.1	  3.6
HIP23309  	 23309	M0V  	4030	  16	  245.4	  64.1	   2.3	   116.1	  5.9
HIP31878  	 31878	K7V  	 435	  11	   84.3	  31.6	   1.6	    48.3	  4.1
HIP36985  	 36985	M2V  	 789	  20	  670.1	 247.4	   2.1	    58.8	  5.4
HIP44722  	 44722	K7V  	  90	   4	    8.0	   3.4	   1.5	    10.7	  3.8
HIP46634  	 46634	G5V  	 281	   3	   38.2	  16.1	   1.4	    32.6	  3.5
HIP51317  	 51317	M2V  	4541	 139	   17.7	   3.6	   1.2	    24.5	  3.2
BD+20 2465	      	M5V  	3983	  40	   63.5	  16.1	   1.2	    33.6	  3.1
CD-46 1064	      	K3V  	1185	  12	  477.8	 134.9	   8.7	   211.2	 21.6

