#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2020-02-28T04:30:48 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5e587b34af16	
#INFO	-out.max=unlimited	
#INFO	queryParameters=39	
#-oc.form=dec
#-out.max=unlimited
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/ApJ/860/43&tab:{J/ApJ/860/43/table4}&key:source=J/ApJ/860/43/table4&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/ApJ/860/43/table4
#-order=I
#-out=Set
#-out=Name
#-out=Assoc
#-out=r_SpT
#-out=SpT
#-out=RAJ2000
#-out=DEJ2000
#-out=pmRA
#-out=pmDE
#-out=Dist
#-out=r_RVel
#-out=RVel
#-out=HR1
#-out=NUVmag
#-out=Gmag
#-out=Jmag
#-out=IRex
#-out=r_Known
#-out=Known
#-out=r_Li
#-out=Bin
#-out=rvCat
#-out=Gaia
#Gaia=Gaia
#-out=2M
#2M=2M
#-out=SimbadName
#

#RESOURCE=yCat_18600043
#Name: J/ApJ/860/43
#Title: BANYAN. XII. New members from Gaia-Tycho data (Gagne+, 2018)
#Table	J_ApJ_860_43_table4:
#Name: J/ApJ/860/43/table4
#Title: Candidate members recovered in this work
#Column	_RAJ2000	(F12.8)	Right ascension (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F12.8)	Declination (FK5, Equinox=J2000.0) at Epoch=J2000, proper motions taken into account 	[ucd=pos.eq.dec]
#Column	Set	(A4)	Subset (1)	[ucd=meta.note]
#Column	Name	(a17)	Star Name	[ucd=meta.id;meta.main]
#Column	Assoc	(a6)	Association short name (2)	[ucd=meta.id.parent]
#Column	r_SpT	(I3)	? Reference for spectral types (see refs.dat file) [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	SpT	(a10)	Spectral Type (3)	[ucd=src.spType]
#Column	RAJ2000	(A12)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A12)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F7.2)	[-114/209] Proper motion in RA; {mu}_{alpha}_\cos{delta}	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	[-196/165] Proper motion in DE; {mu}_{delta}_	[ucd=pos.pm;pos.eq.dec]
#Column	Dist	(F6.2)	[21.9/243] Distance	[ucd=pos.distance;pos.heliocentric]
#Column	r_RVel	(I3)	? Reference for radial velocities (see refs.dat file) [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	RVel	(F7.3)	[-20/43]? Radial Velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	HR1	(F5.2)	[-1/1]? HR1 hardness ratio	[ucd=phot.flux;arith.ratio]
#Column	NUVmag	(F6.3)	[11.4/21.4]? GALEX NUV magnitude	[ucd=phot.mag;em.UV]
#Column	Gmag	(F6.3)	[5.9/12.1] Gaia DR1 (I/337) G-band magnitude	[ucd=phot.mag;em.opt.V]
#Column	Jmag	(F5.2)	[5.5/11] 2MASS (II/246) J-band magnitude	[ucd=phot.mag;em.IR.J]
#Column	IRex	(F4.1)	[0/10.3]? IR Excess in N{sigma}	[ucd=phot.color.excess;em.IR]
#Column	r_Known	(I3)	? Membership candidacy in a young association references (see refs.dat file) [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Known	(a11)	Known Group	[ucd=meta.id]
#Column	r_Li	(I2)	? Lithium detection reference (see refs.dat file) [NULL integer written as an empty string]	[ucd=meta.ref;pos.frame]
#Column	Bin	(A1)	Binary flag (5)	[ucd=meta.code]
#Column	rvCat	(I3)	Display data from Kharchenko+, 2007, III/254 and RAVE DR5 (Kunder+, 2017, III/279) within 1.5" [NULL integer written as an empty string]	[ucd=meta.ref.url]
#Column	Gaia	(A4)	Display the Gaia -DR1 (I/337) and -DR2 (I/345) data within 0.5"	[ucd=meta.ref.url]
#Column	2M	(A2)	Display the 2MASS data (II/246) within 3"	[ucd=meta.ref.url]
#Column	SimbadName	(a23)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000	_DEJ2000	Set	Name	Assoc	r_SpT	SpT	RAJ2000	DEJ2000	pmRA	pmDE	Dist	r_RVel	RVel	HR1	NUVmag	Gmag	Jmag	IRex	r_Known	Known	r_Li	Bin	rvCat	Gaia	2M	SimbadName
093.39781250	-53.39241111	NBFM	TYC 8534-1810-1  	OCT   	 10	(G7)      	06 13 35.475	-53 23 32.68	 -15.87	  19.69	129.50	 10	  9.000	 0.11	      	11.102	 9.89	 3.1	   	           	10	 	  2	Gaia	2M	TYC 8534-1810-1
098.74927917	-60.00240000	NBFM	TYC 8895-112-1   	OCT   	   	(G4)      	06 34 59.827	-60 00 08.64	 -13.40	  16.87	153.30	  7	  9.000	-0.32	      	10.901	 9.89	 1.7	   	           	  	 	  1	Gaia	2M	TYC 8895-112-1
103.88187083	-68.90417500	NBFM	TYC 9178-1390-1  	OCT   	   	(K1)      	06 55 31.649	-68 54 15.03	 -19.20	  16.90	125.90	  7	  5.000	     	      	11.352	 9.96	 1.6	   	           	  	 	  1	Gaia	2M	TYC 9178-1390-1
026.50486250	-27.34901944	NBFM	HD 10863         	THA   	 17	F0IV      	01 46 01.167	-27 20 56.47	  96.59	 -45.09	 45.11	 18	  5.000	     	11.800	 6.274	 5.72	 1.3	   	           	  	 	  0	Gaia	2M	HD 10863
218.01784167	-30.05928889	NBFM	TYC 7295-853-1   	UCL   	 10	(G7)      	14 32 04.282	-30 03 33.44	 -24.03	 -24.53	137.30	 10	  4.000	     	      	10.419	 9.19	 1.7	   	           	10	 	  1	Gaia	2M	TYC 7295-853-1
219.75392917	-30.70056389	NBFM	TYC 7296-1194-1  	UCL   	 10	(K0)      	14 39 00.943	-30 42 02.03	 -26.30	 -26.67	110.70	 10	  0.000	     	      	10.454	 9.12	 1.3	   	           	10	 	  1	Gaia	2M	TYC 7296-1194-1
249.43065833	-33.94818333	NBFM	TYC 7353-768-1   	UCL   	 10	G8V       	16 37 43.358	-33 56 53.46	  -8.80	 -23.50	155.80	 10	  1.000	 1.00	      	10.518	 9.37	 2.0	   	           	10	 	  0	Gaia	2M	TYC 7353-768-1
251.66782917	-38.14751667	NBFM	HD 321958        	UCL   	 19	G9V       	16 46 40.279	-38 08 51.06	 -11.80	 -21.70	169.20	  6	  1.000	 0.51	      	10.621	 9.45	 1.8	   	           	  	 	  0	Gaia	2M	HD 321958
256.09769167	-48.25276389	NBFM	TYC 8332-2024-1  	UCL   	 10	K5Ve      	17 04 23.446	-48 15 09.95	 -12.20	 -32.00	145.00	 10	  1.200	 0.03	      	10.565	 8.83	 1.4	   	           	10	 	  0	Gaia	2M	TYC 8332-2024-1
256.62125833	-37.82426389	NBFM	V991 Sco         	UCL   	 10	G6/8      	17 06 29.102	-37 49 27.35	  -7.60	 -30.59	130.00	 10	 -2.900	-0.05	      	 9.485	 8.35	 1.5	   	           	10	 	  1	Gaia	2M	V991 Sco
258.03635833	-23.16375000	NBFM	CD-23 13197      	UCL   	 10	K0IV(e)   	17 12 08.726	-23 09 49.50	 -14.20	 -29.60	116.90	 10	 -6.000	 0.52	      	10.152	 8.84	 2.1	   	           	10	 	  0	Gaia	2M	CD-23 13197
261.85637917	-33.28037778	NBFM	HD 317637        	UCL   	 10	K2V       	17 27 25.531	-33 16 49.36	  -7.50	 -31.00	123.60	 10	 -1.000	 0.03	      	10.512	 9.15	 2.1	   	           	10	 	  0	Gaia	2M	HD 317637
263.09937083	-18.84069722	NBFM	BD-18 4557       	UCL   	 15	K2IV(e)   	17 32 23.849	-18 50 26.51	 -10.60	 -32.90	 98.70	 20	 -7.000	 0.18	      	10.061	 8.60	 1.7	   	           	  	 	  0	Gaia	2M	BD-18 4557
264.52532917	-44.05891667	NBFM	CD-43 11887      	UCL   	 21	G9V       	17 38 06.079	-44 03 32.10	  -7.90	 -33.50	122.00	 16	  0.000	 0.13	      	 9.924	 8.63	 2.1	   	           	  	 	  0	Gaia	2M	CD-43 11887
256.50495833	-25.34190556	NBFM	CD-25 11942      	USCO  	 22	K0IV      	17 06 01.190	-25 20 30.86	  -4.20	 -29.80	117.90	 12	 -4.400	 0.01	      	 9.456	 8.10	 1.2	   	           	  	 	  0	Gaia	2M	CD-25 11942
021.11385000	+57.85130833	NYCM	HD 236717        	ABDMG 	 23	K0IV/V    	01 24 27.324	+57 51 04.71	 112.66	 -96.16	 38.50	   	       	     	      	 8.320	 7.19	    	   	           	  	 	  0	Gaia	2M	HD 236717
035.64170000	+50.55983889	NYCM	BD+49 646        	ABDMG 	 24	K0        	02 22 34.008	+50 33 35.42	  75.56	 -99.52	 51.90	   	       	-0.12	      	 9.265	 8.02	    	   	           	  	 	  0	Gaia	2M	BD+49 646
056.49168333	+27.55931667	NYCM	V1274 Tau        	ABDMG 	   	K5        	03 45 58.004	+27 33 33.54	  43.30	-118.85	 54.81	   	       	-0.50	18.010	10.278	 8.62	    	   	           	  	 	  0	Gaia	2M	V1274 Tau
063.18914583	-13.13266389	NYCM	BD-13 835        	ABDMG 	 25	(K2)      	04 12 45.395	-13 07 57.59	  40.48	-109.75	 38.61	   	       	     	17.920	 9.508	 8.00	 0.0	   	           	  	 	  0	Gaia	2M	BD-13 835
068.27609167	-24.01353889	NYCM	HD 28982         	ABDMG 	 15	G6V       	04 33 06.262	-24 00 48.74	  38.88	 -57.88	 51.60	   	       	-0.55	14.821	 8.863	 7.70	 0.0	   	           	  	 	  0	Gaia	2M	HD 28982
079.22423333	-68.35218056	NYCM	WOH S 216        	ABDMG 	   	M0.5      	05 16 53.816	-68 21 07.85	  14.40	  58.60	 45.22	   	       	     	      	11.042	 8.98	 2.3	   	           	  	 	  0	Gaia	2M	WOH S 216
087.95728333	+73.85197222	NYCM	BD+73 300        	ABDMG 	 14	K4V       	05 51 49.748	+73 51 07.10	  21.14	-187.31	 31.79	   	       	     	17.240	 8.972	 7.47	    	   	           	  	 	  0	Gaia	2M	BD+73 300
099.87682500	+48.86790278	NYCM	TYC 3385-23-1    	ABDMG 	   	(G8)      	06 39 30.438	+48 52 04.45	 -12.19	-131.36	 54.00	   	       	     	16.150	 9.371	 8.12	    	   	           	  	 	  0	Gaia	2M	TYC 3385-23-1
038.97628750	+15.24833333	NYCM	TYC 1216-1411-1  	BPMG  	 26	(K2)      	02 35 54.309	+15 14 54.00	  60.50	 -52.60	 49.40	   	       	     	17.400	 9.149	 7.62	 0.0	   	           	  	 	  0	Gaia	2M	TYC 1216-1411-1
039.65117917	+26.23833333	NYCM	BD+25 430        	BPMG  	 14	G0        	02 38 36.283	+26 14 18.00	  48.75	 -47.07	 61.80	   	       	     	14.826	 9.034	 7.90	 0.6	   	           	  	 	  0	Gaia	2M	BD+25 430
083.40070833	-51.06557500	NYCM	TYC 8098-597-1   	BPMG  	   	K3V       	05 33 36.170	-51 03 56.07	   3.37	  24.52	 45.17	  7	 21.000	 0.16	      	 9.007	 7.01	 0.8	   	           	  	d	  2	Gaia	2M	TYC 8098-597-1
277.13377917	-41.48591111	NYCM	TYC 7909-2501-1  	BPMG  	 14	(K4)      	18 28 32.107	-41 29 09.28	  12.60	 -58.80	 61.20	   	       	     	      	10.726	 8.94	 1.7	   	           	  	 	  0	Gaia	2M	TYC 7909-2501-1
308.03752083	-47.70238056	NYCM	HD 195266        	BPMG  	 14	K5/M0V    	20 32 09.005	-47 42 08.57	 100.15	-135.96	 31.20	   	       	     	18.670	 9.950	 7.48	    	   	           	  	 	  0	Gaia	2M	HD 195266
148.44802917	-54.89830000	NYCM	TYC 8602-718-1   	CAR   	 27	(K0)      	09 53 47.527	-54 53 53.88	 -33.90	   9.94	 83.90	   	       	     	      	10.490	 9.14	 3.4	   	           	  	 	  0	Gaia	2M	TYC 8602-718-1
047.09522083	-60.17200000	NYCM	HD 19819         	CARN  	 14	K5Vk:     	03 08 22.853	-60 10 19.20	 208.85	 131.94	 21.98	   	       	     	17.680	 8.706	 7.04	 1.5	   	           	  	 	  0	Gaia	2M	HD 19819
080.01953750	-31.16680833	NYCM	2M0520-3110      	CARN  	 28	K2V       	05 20 04.689	-31 10 00.51	  59.37	  95.86	 33.43	   	       	     	16.600	 8.809	 7.42	 0.8	   	           	  	 	  0	Gaia	2M	2MASS J05200461-3110020
070.31573333	-35.23282500	NYCM	CPD-35 525       	COL   	 14	(G6)      	04 41 15.776	-35 13 58.17	  34.45	   0.90	 76.30	   	       	     	16.220	 9.789	 8.64	 2.8	   	           	  	 	  0	Gaia	2M	CPD-35 525
072.76609583	-27.51975833	NYCM	HD 30984         	COL   	   	F5V       	04 51 03.863	-27 31 11.13	  32.25	  -3.90	 84.70	   	       	 0.08	13.069	 8.429	 7.62	 3.6	   	           	  	 	  0	Gaia	2M	HD 30984
074.77399583	-63.42485556	NYCM	TYC 8881-551-1   	COL   	  5	K0IV/V    	04 59 05.759	-63 25 29.48	  28.72	  27.57	 86.80	  5	 18.300	-0.22	16.240	10.113	 8.35	 1.0	   	           	 5	d	  1	Gaia	2M	TYC 8881-551-1
078.09610417	+41.32702778	NYCM	HD 277665        	COL   	 14	K0        	05 12 23.065	+41 19 37.30	  52.20	-129.20	 39.48	   	       	-0.04	      	 9.141	 7.78	    	   	           	  	 	  0	Gaia	2M	HD 277665
086.67682917	-21.82685833	NYCM	HD 38700         	COL   	 14	G0V       	05 46 42.439	-21 49 36.69	  18.43	  -9.25	 73.40	   	       	-0.23	      	 8.432	 7.52	 1.7	   	           	  	 	  0	Gaia	2M	HD 38700
100.09317083	 -3.53323056	NYCM	2M0640-0331      	COL   	 27	G8        	06 40 22.361	-03 31 59.63	   1.34	 -35.57	 61.13	   	       	-0.03	      	 8.746	 7.44	 1.9	   	           	  	 	  0	Gaia	2M	2MASS J06402236-0331591
331.65310833	+63.75469722	NYCM	TYC 4271-37-2    	COL   	 14	K5Ve      	22 06 36.746	+63 45 16.91	  80.10	  28.50	 41.99	   	       	-0.06	      	10.067	 7.85	 0.0	   	           	  	 	  0	Gaia	2M	TYC 4271-37-2
187.57315000	-72.98528333	NYCM	HD 108735        	EPSC  	   	A6IV      	12 30 17.556	-72 59 07.02	 -39.56	 -10.83	103.20	   	       	     	      	 7.024	 6.55	 2.5	   	           	  	 	  0	Gaia	2M	HD 108735
189.59879167	-64.08068611	NYCM	2M1238-6404      	LCC   	 29	(K4)      	12 38 23.710	-64 04 50.47	 -36.87	 -14.54	110.80	   	       	     	      	11.114	 9.31	 1.7	   	           	  	 	  0	Gaia	2M	2MASS J12382379-6404502
190.31320833	-58.39204444	NYCM	TYC 8659-111-1   	LCC   	 27	(K4)      	12 41 15.170	-58 23 31.36	 -29.40	 -13.25	126.30	   	       	     	      	11.421	 9.53	 2.1	   	           	  	 	  0	Gaia	2M	TYC 8659-111-1
193.34615000	-65.67448333	NYCM	HD 111875        	LCC   	 19	G3/5III/IV	12 53 23.076	-65 40 28.14	 -34.15	 -12.99	110.30	   	       	     	      	 8.903	 7.68	    	   	           	  	 	  0	Gaia	2M	HD 111875
193.39075833	-64.12268333	NYCM	TYC 8997-601-1   	LCC   	 26	(K3)      	12 53 33.782	-64 07 21.66	 -35.00	 -15.60	104.70	   	       	     	      	10.848	 9.20	 2.2	   	           	  	 	  0	Gaia	2M	TYC 8997-601-1
195.96195000	-58.34847500	NYCM	TYC 8660-441-1   	LCC   	 14	(K3)      	13 03 50.868	-58 20 54.51	 -32.40	 -16.80	124.20	 30	       	     	      	11.254	 9.60	 1.7	   	           	  	 	  0	Gaia	2M	TYC 8660-441-1
203.07795000	-59.98565278	NYCM	TYC 8674-2473-1  	LCC   	   	(K2)      	13 32 18.708	-59 59 08.35	 -32.29	 -19.83	113.40	   	       	     	      	10.590	 9.09	 2.7	   	           	  	 	  0	Gaia	2M	TYC 8674-2473-1
057.62285833	-43.61829444	NYCM	CPD-43 395       	OCT   	 19	(G4)      	03 50 29.486	-43 37 05.86	   6.06	  26.30	111.60	   	       	-0.16	15.780	10.247	 9.21	 2.8	   	           	  	 	  0	Gaia	2M	CPD-43 395
077.26015833	-36.46448056	NYCM	HD 33512         	OCT   	 14	F5/6V     	05 09 02.438	-36 27 52.13	  -7.69	  19.32	125.00	   	       	 0.07	13.555	 9.175	 8.47	 1.9	   	           	  	 	  0	Gaia	2M	HD 33512
080.35888333	-45.34107778	NYCM	HD 35289         	OCT   	 31	F3V       	05 21 26.132	-45 20 27.88	  -9.70	  25.76	100.00	   	       	 0.20	      	 8.274	 7.59	 1.4	   	           	  	 	  0	Gaia	2M	HD 35289
083.90924583	-71.50076667	NYCM	TYC 9170-2192-1  	OCT   	 32	K0        	05 35 38.219	-71 30 02.76	 -12.60	  23.80	148.00	   	       	     	      	11.528	10.34	 1.6	   	           	  	 	  0	Gaia	2M	TYC 9170-2192-1
093.48322500	-33.43605833	NYCM	CD-33 2814       	OCT   	 14	(F6)      	06 13 55.974	-33 26 09.81	 -13.63	  13.58	147.20	   	       	     	      	10.171	 9.37	 2.1	   	           	  	 	  0	Gaia	2M	CD-33 2814
093.98490000	-54.30551111	NYCM	TYC 8534-1243-1  	OCT   	  8	(G8)      	06 15 56.376	-54 18 19.84	 -13.90	  17.10	151.90	   	       	-0.08	      	11.593	10.32	 2.4	   	           	  	 	  0	Gaia	2M	TYC 8534-1243-1
094.79962500	-28.69602500	NYCM	CD-28 2901       	OCT   	 33	F8        	06 19 11.910	-28 41 45.69	 -12.90	  11.21	155.00	   	       	     	      	10.222	 9.37	 2.3	   	           	  	 	  0	Gaia	2M	CD-28 2901
095.32576250	-25.27280000	NYCM	TYC 6510-2246-1  	OCT   	   	(G6)      	06 21 18.183	-25 16 22.08	 -12.79	   6.37	150.20	   	       	     	      	11.354	10.22	 1.6	   	           	  	 	  0	Gaia	2M	TYC 6510-2246-1
