# C.D.S.  -  SIMBAD4 rel 1.7  -  2019.05.30CEST07:00:13
# 
# 2018ApJ...860...43G2018ApJ...860...43G
# --------------------------------------
# 
# 2018ApJ...860...43G
# 10.3847/1538-4357/aac2b8
# 
# Astrophys. J., 860, 43-43 (2018/June-2)
# BANYAN. XII. New members of nearby young associations from Gaia-Tycho data.
# GAGNE J., ROY-LOUBIER O., FAHERTY J.K., DOYON R. and MALO L.
# 
# -Status: waiting for electronic table
# -Files: (abstract)
# 
# Number of objects : 146
# 
  	 obj tags 	obj count	           identifier           	typ	       coord1 (ICRS,J2000/2000)        	Mag U 	Mag B 	Mag V 	Mag R 	Mag I 	  spec. type   	bib	not
10 	x         	        1	HD 19819                        	PM*	03 08 22.4330561823 -60 10 21.177699815	11.679	10.487	 9.259	 8.519	 7.901	K5Vk:          	  23	   0
11 	d         	        1	V* HW Cet                       	cC*	03 12 34.2817409818 +09 44 57.108025046	     ~	11.37 	10.39 	 9.83 	     ~	~              	  12	   0
12 	cdx       	        4	Cl Alessi 13                    	OpC	03 21 42.0 -36 18 00                   	     ~	     ~	     ~	     ~	     ~	~              	  37	   0
13 	cdx       	        4	Cl Melotte 22                   	OpC	03 47 00.0 +24 07 00                   	     ~	     ~	     ~	     ~	     ~	~              	2872	   0
14 	d         	        1	HD 24681                        	PM*	03 55 20.4038840168 -01 43 45.202473510	     ~	 9.78 	 9.04 	     ~	     ~	G5V            	  18	   0
15 	d         	        2	CD-26 1643                      	PM*	04 21 33.4705070112 -25 43 09.290828154	     ~	 8.82 	 8.26 	     ~	     ~	~              	  18	   0
16 	cdx       	        5	NAME Hyades                     	OpC	04 26 54.00 +15 52 00.0                	     ~	     ~	     ~	     ~	     ~	~              	2542	   0
17 	cdx       	       15	NAME Taurus Dark Cloud          	SFR	04 41 00.0 +25 52 00                   	     ~	     ~	     ~	     ~	     ~	~              	3233	   0
18 	cx        	        8	HD 284659                       	*  	04 42 12.1932266882 +22 56 32.498118516	     ~	 7.18 	 7.1  	     ~	     ~	A2             	  12	   0
19 	d         	        1	HD 29329                        	PM*	04 46 00.5765222712 +76 36 39.760870304	     ~	 6.939	 6.458	 6.2  	 5.9  	F7V            	  37	   0
20 	x         	        4	V* DR Tau                       	TT*	04 47 06.2152696011 +16 58 42.814250257	12.03 	11.86 	10.50 	12.19 	     ~	K5Ve           	 459	   0
21 	dx        	        3	TYC 8881-551-1                  	*  	04 59 05.711 -63 25 29.89              	     ~	11.26 	10.48 	     ~	     ~	~              	   1	   0
22 	d         	        1	V* V1841 Ori                    	cC*	05 00 49.2841778082 +15 27 00.698563698	     ~	12.07 	10.83 	10.08 	 9.354	K2IV           	  28	   0
23 	d         	        1	TYC 7053-832-1                  	*  	05 09 00.1390514036 -36 27 40.116567284	     ~	11.80 	11.23 	     ~	     ~	~              	   4	   0
24 	d         	        1	WOH S 216                       	PM*	05 16 53.7801043026 -68 21 08.737603101	     ~	14.40 	11.23 	     ~	     ~	M0.5           	   8	   0
25 	d         	        1	HD 35212                        	*  	05 20 16.6554782907 -51 59 58.914699620	     ~	 9.92 	 9.38 	     ~	     ~	F5V            	   3	   0
26 	cdx       	        4	NAME 32 Ori group               	OpC	05 27 11.0 +06 16 00                   	     ~	     ~	     ~	     ~	     ~	~              	  25	   0
27 	cdx       	        4	NAME 118 Tau group              	Cl*	05 32 24.0 +24 00 00                   	     ~	     ~	     ~	     ~	     ~	~              	   8	   0
28 	dx        	        2	TYC 8098-597-1                  	*  	05 33 36.164 -51 03 56.37              	     ~	10.35 	 9.36 	     ~	     ~	~              	   2	   0
29 	c         	        1	HD 37402                        	*  	05 34 26.1439614920 -60 06 15.062692596	     ~	 8.90 	 8.37 	     ~	     ~	F6V            	  22	   0
30 	d         	        1	HD 275012                       	Ro*	05 37 20.4963635749 -48 35 11.189482030	     ~	11.98 	11.372	     ~	10.495	G5             	   5	   0
31 	d         	        1	CD-35 2433                      	Ro*	05 38 49.3187689713 -35 29 31.896072371	     ~	10.64 	10.05 	     ~	 9.425	~              	   4	   0
32 	d         	        1	V* AI Lep                       	RS*	05 40 20.7318742361 -19 40 10.931463569	     ~	 9.58 	 8.95 	     ~	 8.335	G2V            	  24	   0
33 	d         	        1	CD-41 2076                      	Ro*	05 48 30.4071199338 -41 27 30.135151887	     ~	12.38 	11.557	     ~	 9.951	K5Ve           	   7	   0
34 	cd        	        2	HD 42122                        	*  	06 04 42.3579206053 -62 07 35.568596188	     ~	10.18 	 9.66 	     ~	     ~	F7/G0V         	   3	   0
35 	cd        	        2	TYC 8534-1810-1                 	*  	06 13 35.5015607270 -53 23 32.968280103	     ~	12.191	11.361	     ~	     ~	~              	   3	   0
36 	acdx      	        6	NAME Columba Association        	As*	06 14 00.0 -40 03 00                   	     ~	     ~	     ~	     ~	     ~	~              	 174	   0
37 	d         	        1	TYC 8895-112-1                  	*  	06 34 59.8542714248 -60 00 08.901576963	     ~	11.87 	11.11 	     ~	     ~	~              	   2	   0
38 	dx        	        4	TYC 8104-898-1                  	*  	06 38 02.1768699129 -45 13 48.510463304	     ~	11.71 	11.12 	10.75 	10.437	~              	   5	   0
39 	d         	        1	TYC 9178-1390-1                 	*  	06 55 31.7056819824 -68 54 15.282569430	     ~	12.80 	11.88 	     ~	     ~	~              	   2	   0
40 	d         	        2	HD 61518                        	*  	07 37 02.7949192480 -52 21 57.026179203	     ~	 8.36 	 7.88 	     ~	     ~	F5V            	  22	   0
41 	dx        	        2	IC 2391                         	OpC	08 40 32.0 -53 02 00                   	     ~	     ~	 2.5  	     ~	     ~	~              	 697	   0
42 	d         	        1	S1* 329                         	S* 	08 41 32.6336457393 -68 25 40.238595034	     ~	12.43 	11.164	10.633	     ~	MS             	  23	   0
43 	cdx       	        4	NAME eta Cha Association        	MGr	08 42 06.0 -79 01 36                   	     ~	     ~	     ~	     ~	     ~	~              	 293	   0
44 	x         	        1	CD-60 2373                      	*  	08 51 54.6969039603 -60 42 06.373429329	     ~	 9.83 	 9.38 	     ~	     ~	~              	   6	   0
45 	cdx       	        8	Cl Platais 8                    	OpC	09 09 30.0 -59 07 42                   	     ~	     ~	     ~	     ~	     ~	~              	  41	   0
46 	x         	        2	TYC 8602-718-1                  	*  	09 53 47.5853350857 -54 53 54.039434848	     ~	11.80 	10.85 	     ~	     ~	~              	   1	   0
47 	dx        	        2	IC 2602                         	OpC	10 42 58.0 -64 24 00                   	     ~	     ~	     ~	     ~	     ~	~              	 535	   0
48 	cdx       	        7	NAME TW Hya Association         	As*	11 01 54.0 -34 42 00                   	     ~	     ~	     ~	     ~	     ~	~              	 780	   0
49 	cdx       	        4	NAME eps Cha Association        	OpC	11 59 51.0 -78 12 24                   	     ~	     ~	     ~	     ~	     ~	~              	 109	   0
50 	cdx       	       45	NAME Lower Centaurus Crux       	As*	12 19 00.0 -57 06 00                   	     ~	     ~	     ~	     ~	     ~	~              	 327	   1
51 	cx        	        2	BD+83 350                       	*  	12 19 36.4391 +82 58 35.011            	     ~	10.02 	 9.42 	     ~	     ~	F8             	   1	   0
52 	d         	        1	HD 110696                       	*  	12 44 19.3260658344 -45 25 23.381929777	     ~	10.09 	 9.50 	     ~	     ~	F8V            	   4	   0
53 	d         	        1	CD-45 8100                      	cC*	12 54 31.4311 -46 07 36.444            	     ~	10.25 	 9.655	     ~	 8.894	G0             	   6	   0
54 	d         	        1	HD 112670                       	*  	12 58 59.8766171223 -45 39 38.292392852	     ~	 9.49 	 9.01 	     ~	     ~	F5V            	   4	   0
55 	d         	        1	HD 113975                       	*  	13 07 50.0854559252 -41 54 33.186643727	     ~	10.00 	 9.50 	     ~	     ~	F5V            	   4	   0
56 	d         	        1	TYC 8649-1758-1                 	*  	13 09 52.1344906476 -54 19 44.080401916	     ~	12.29 	11.39 	     ~	     ~	~              	   1	   0
57 	d         	        1	HD 114599                       	*  	13 12 16.1100168924 -46 22 05.853860572	     ~	 9.62 	 9.17 	     ~	     ~	F5IV/V         	   5	   0
58 	d         	        1	HD 114788                       	*  	13 13 27.5439187260 -45 44 10.817219709	     ~	 8.50 	 8.22 	     ~	     ~	A9V            	   6	   0
59 	d         	        1	TYC 8653-1049-1                 	*  	13 13 38.6418186360 -55 29 56.690413410	     ~	12.08 	11.34 	     ~	     ~	~              	   3	   0
60 	d         	        1	HD 114897                       	*  	13 14 11.2236801684 -45 26 44.043878593	     ~	 9.74 	 9.29 	     ~	     ~	F5V            	   6	   0
61 	d         	        1	HD 115371                       	V* 	13 17 28.9533213147 -42 55 58.707304990	     ~	 8.72 	 8.29 	     ~	     ~	F3V            	  15	   0
62 	d         	        1	HD 116116                       	*  	13 22 31.9553040626 -52 10 06.003499895	     ~	 8.89 	 8.52 	     ~	     ~	F0/2V          	   9	   0
63 	d         	        1	HD 116335                       	*  	13 23 44.3900355978 -45 11 53.070811196	     ~	10.32 	 9.82 	     ~	     ~	F6V            	   9	   0
64 	d         	        1	CD-58 5027                      	*  	13 24 42.7376889039 -59 33 57.631636688	11.88 	11.49 	10.63 	     ~	     ~	~              	   3	   0
65 	d         	        1	HD 116553                       	*  	13 25 00.6151185742 -43 55 20.777620375	     ~	 8.88 	 8.63 	     ~	     ~	A9V            	   7	   0
66 	d         	        1	HD 116587                       	*  	13 25 30.0843971259 -52 21 43.006284692	     ~	 7.89 	 7.65 	     ~	     ~	A5IV/V         	  11	   0
67 	d         	        1	HD 116649                       	*iC	13 25 44.6762775493 -47 49 08.514234027	     ~	 7.69 	 7.58 	     ~	     ~	A0V            	  17	   0
68 	d         	        1	HD 116651                       	*  	13 25 55.9845876569 -51 10 37.385985136	     ~	 8.07 	 7.84 	     ~	     ~	A5III/IV(m)    	   9	   0
69 	d         	        1	HD 117353                       	*  	13 30 33.0614562937 -46 36 00.756707148	     ~	 9.75 	 9.27 	     ~	     ~	F5V            	   5	   0
70 	d         	        1	HD 117620                       	*  	13 32 42.4858530690 -55 49 39.175222979	     ~	 8.52 	 8.11 	     ~	     ~	F2/3V          	  23	   0
71 	d         	        1	HD 118134                       	*  	13 36 08.1491652564 -52 42 48.980836575	     ~	 8.51 	 8.27 	     ~	     ~	A6V            	  10	   0
72 	d         	        1	TYC 8269-314-1                  	*  	13 37 09.1116702959 -50 34 37.240877466	     ~	11.29 	10.78 	     ~	     ~	~              	   2	   0
73 	d         	        1	TYC 8273-917-1                  	*  	13 38 11.2752389161 -52 14 25.162218669	     ~	11.50 	10.83 	     ~	     ~	K0IV           	   2	   0
74 	d         	        1	HD 118867                       	*  	13 40 32.0627140119 -46 31 13.662776347	     ~	 9.61 	 9.02 	     ~	     ~	F7V            	   5	   0
75 	d         	        1	HD 119067                       	*  	13 41 53.6460729548 -43 10 36.234656577	     ~	 8.84 	 8.56 	     ~	     ~	A9V            	   7	   0
76 	d         	        1	HD 119403                       	Ro*	13 43 55.6766236262 -43 45 40.316527905	     ~	 9.73 	 9.154	     ~	 8.480	F8IV           	   8	   0
77 	d         	        1	HD 119404                       	*  	13 44 04.1323170830 -47 05 14.221565229	     ~	 9.67 	 9.13 	     ~	     ~	F6/7V          	   6	   0
78 	d         	        1	HD 119573                       	*  	13 44 57.3402616121 -45 13 23.358306080	     ~	 8.34 	 8.14 	     ~	     ~	A5/7IV/V       	   7	   0
79 	d         	        1	HD 120075                       	*  	13 48 02.5458325333 -41 59 38.342597580	     ~	 9.45 	 8.94 	     ~	     ~	F3V            	   7	   0
80 	d         	        1	TYC 8664-329-1                  	*  	13 48 47.6550338382 -53 16 35.448881571	     ~	11.71 	10.77 	     ~	     ~	~              	   3	   0
81 	d         	        1	HD 120641                       	PM*	13 52 02.9715223037 -52 48 35.708362780	     ~	 7.73 	 7.48 	     ~	     ~	B8V            	  19	   0
82 	d         	        1	HD 120795                       	*  	13 52 58.4284543732 -53 58 46.011786941	     ~	10.00 	 9.47 	     ~	     ~	F6/7V          	   4	   0
83 	d         	        1	CD-51 7806                      	*  	13 53 01.1780020381 -52 13 26.151625913	     ~	10.61 	 9.82 	     ~	     ~	F2             	   2	   0
84 	d         	        1	HD 121020                       	*  	13 54 16.0453929284 -50 12 24.541997762	     ~	 9.97 	 9.33 	     ~	     ~	G2IV           	   3	   0
85 	dx        	        2	HD 121191                       	*  	13 55 18.8788456136 -53 31 42.713405012	     ~	 8.40 	 8.16 	     ~	     ~	A5IV/V         	  16	   0
86 	d         	        1	HD 121617                       	*  	13 57 41.1259337352 -47 00 34.249785107	     ~	 7.36 	 7.29 	     ~	     ~	A1V            	  26	   0
87 	d         	        1	HD 122414                       	*  	14 02 58.3396679492 -49 32 30.601881057	     ~	 9.95 	 9.46 	     ~	     ~	F5V            	   7	   0
88 	d         	        1	HD 122513                       	*  	14 03 53.8288746695 -53 46 28.120779619	     ~	 8.236	 7.969	     ~	     ~	A3III          	   4	   0
89 	d         	        1	HD 123247                       	*  	14 07 40.8075155890 -48 42 14.498480468	 6.390	 6.415	 6.418	     ~	     ~	B9.5V          	  22	   0
90 	d         	        1	HD 124746                       	*  	14 16 58.2487294491 -53 55 47.927957441	     ~	10.10 	 9.51 	     ~	     ~	F8/G0V         	   6	   0
91 	dx        	        2	CD-31 11053                     	Ro*	14 17 20.1051910521 -32 30 46.871907030	     ~	12.19 	10.52 	     ~	 9.473	K3Ve           	   5	   0
92 	d         	        1	HD 125036                       	*  	14 18 51.5414271336 -56 58 51.739613128	     ~	 9.12 	 8.65 	     ~	     ~	F5IV           	   5	   0
93 	d         	        1	HD 126181                       	*  	14 25 47.0683660364 -55 07 39.462629491	     ~	10.00 	 9.42 	     ~	     ~	F7V            	   4	   0
94 	d         	        1	Cl* NGC 5606 VF 51              	*iC	14 27 54.2530227072 -59 44 35.025951839	     ~	12.42 	11.87 	     ~	     ~	K5IVe          	   3	   0
95 	acdx      	        9	NAME beta Pic Moving Group      	MGr	14 30 00.0 -42 00 00                   	     ~	     ~	     ~	     ~	     ~	~              	 503	   0
96 	d         	        1	TYC 7295-853-1                  	*  	14 32 04.3079749087 -30 03 33.075528727	     ~	11.59 	10.60 	 9.99 	 9.759	~              	   2	   0
97 	d         	        1	TYC 7296-1194-1                 	*  	14 39 00.9734960080 -30 42 01.627740437	     ~	12.03 	11.02 	     ~	     ~	~              	   1	   0
98 	cdx       	        4	NAME Ursa Major Cluster         	ClG	15 08 48.0 +67 07 00                   	     ~	     ~	     ~	     ~	     ~	~              	 367	   0
99 	cdx       	       67	NAME Upper Centaurus Lupus      	As*	15 24 00.0 -41 54 00                   	     ~	     ~	     ~	     ~	     ~	~              	 330	   1
100	d         	        1	CD-25 11037                     	*  	15 41 33.5568772780 -26 03 56.851081609	     ~	10.81 	10.22 	     ~	     ~	~              	   2	   0
101	d         	        1	HD 140390                       	*  	15 44 21.7357641388 -30 12 02.585359962	     ~	 9.16 	 8.86 	     ~	     ~	F0V            	   6	   0
102	x         	        2	CD-33 10685                     	TT*	15 45 12.8670160092 -34 17 30.646921079	12.47 	11.56 	10.224	 9.60 	 8.685	K3Ve           	 204	   2
103	d         	        1	HD 141960                       	*  	15 52 56.5511292329 -29 50 34.174402680	     ~	 8.80 	 8.50 	     ~	     ~	A9V            	   8	   0
104	d         	        1	HD 142540                       	*  	15 56 05.1066385204 -25 56 08.993116128	     ~	 7.83 	 7.63 	     ~	     ~	A2/3III        	   6	   1
105	d         	        1	HD 142992                       	*  	15 58 50.1396890875 -32 03 08.309117592	     ~	 9.04 	 8.67 	     ~	     ~	F0V            	  19	   0
106	d         	        1	HD 143069                       	** 	15 59 11.8926210238 -26 35 00.928559291	     ~	 8.41 	 8.13 	     ~	     ~	A3V            	   5	   0
107	x         	        1	V* MZ Lup                       	TT*	16 01 08.9697537283 -33 20 14.179282859	12.11 	11.88 	10.88 	10.35 	 9.812	G5IVe          	  27	   0
108	d         	        1	HD 144049                       	*  	16 04 52.8442214324 -26 40 13.693549327	     ~	10.11 	 9.46 	     ~	     ~	G0V            	   6	   0
109	d         	        1	HD 145408A                      	*  	16 11 50.6847844002 -27 33 09.796854597	     ~	 8.34 	 8.04 	 8.92 	     ~	~              	   2	   0
110	x         	        1	HD 145501                       	** 	16 11 58.603 -19 27 00.15              	 6.06 	 6.43 	 6.30 	     ~	     ~	B8/9V          	 114	   1
111	cdx       	       24	NAME Upper Sco Association      	As*	16 12 00.0 -23 24 00                   	     ~	     ~	     ~	     ~	     ~	~              	 918	   1
112	a         	        1	NAME ASSOC II SCO               	As*	16 15 00.0 -24 12 00                   	     ~	     ~	     ~	     ~	     ~	~              	1060	   1
113	d         	        1	HD 146974                       	*  	16 20 15.5144612030 -28 43 00.880502268	     ~	 9.64 	 9.09 	     ~	     ~	F8V            	   7	   0
114	d         	        1	HD 147512                       	PM*	16 22 32.7221946936 -04 14 57.289498907	     ~	 8.06 	 7.33 	     ~	     ~	G8/K0V         	  55	   0
115	d         	        1	HD 147754                       	*  	16 24 56.3112253370 -31 33 59.720086270	     ~	 8.97 	 8.66 	     ~	     ~	A9V            	  10	   0
116	cdx       	        5	NAME Ophiuchus Molecular Cloud  	SFR	16 28 06.0 -24 32 30                   	     ~	     ~	     ~	     ~	     ~	~              	2883	   0
117	d         	        1	HD 148409                       	*  	16 28 52.0080931562 -26 11 55.401585835	     ~	10.05 	 9.52 	     ~	     ~	F6V            	   5	   0
118	d         	        1	HD 148606                       	*  	16 30 13.7810379110 -26 33 19.477906637	     ~	 9.74 	 9.17 	     ~	     ~	G0V            	  10	   0
119	x         	        1	ROX 43                          	TT*	16 31 20.12 -24 30 05.0                	     ~	12.18 	10.57 	     ~	     ~	G5IVe+K3(e)    	  38	   0
120	d         	        1	TYC 6803-994-1                  	*  	16 31 53.4712958615 -26 36 16.955585632	     ~	12.82 	11.69 	     ~	     ~	K4IV(e)        	   4	   0
121	d         	        1	HD 148982                       	*  	16 32 50.8808243865 -28 20 39.886143035	     ~	10.55 	10.00 	     ~	     ~	F8/G0          	   7	   0
122	d         	        1	HD 149514                       	*  	16 36 41.5918158447 -33 14 37.097558987	     ~	 9.16 	 8.76 	     ~	     ~	F2V            	   6	   0
123	d         	        1	HD 149598                       	*  	16 36 52.8873367565 -27 08 18.651252052	     ~	10.91 	10.14 	     ~	     ~	F8/G1          	  10	   0
124	d         	        1	TYC 7353-768-1                  	*  	16 37 43.3690679958 -33 56 53.105045371	     ~	12.24 	10.98 	     ~	     ~	G8V            	   5	   0
125	d         	        1	HD 321958                       	*  	16 46 40.2944012843 -38 08 50.738479622	     ~	11.60 	10.93 	     ~	     ~	G9V            	   5	   0
126	d         	        1	TYC 6809-836-1                  	*  	16 52 00.2454663197 -23 15 31.672707492	     ~	11.78 	11.12 	     ~	     ~	~              	   1	   0
127	d         	        1	TYC 8332-2024-1                 	Ro*	17 04 23.4699292576 -48 15 09.408217857	     ~	12.26 	10.966	     ~	 9.629	K5Ve           	   4	   0
128	c         	        1	CD-25 11942                     	Ro*	17 06 01.1968032029 -25 20 30.419730668	     ~	10.66 	 9.76 	     ~	 8.809	K0IV           	   7	   0
129	d         	        1	V* V991 Sco                     	RS*	17 06 29.1104265461 -37 49 26.892269403	     ~	10.37 	 9.693	     ~	 8.867	G6/8           	  22	   0
130	d         	        1	CD-23 13197                     	pr*	17 12 08.7410322198 -23 09 49.063282991	     ~	11.49 	10.590	     ~	 9.442	K0IV(e)        	   4	   0
131	d         	        1	HD 317637                       	Ro*	17 27 25.5368919101 -33 16 48.931425936	     ~	11.75 	10.904	     ~	 9.853	K2V            	   6	   0
132	d         	        1	BD-18 4557                      	Ro*	17 32 23.8606905077 -18 50 26.028994132	     ~	11.41 	10.478	     ~	 9.426	K2IV(e)        	   5	   0
133	d         	        1	CD-43 11887                     	Ro*	17 38 06.0934110361 -44 03 31.582837211	     ~	10.98 	10.241	     ~	 9.258	G9V            	   5	   0
134	d         	        1	HD 176423                       	*  	19 01 50.4179614977 -36 39 52.759263540	     ~	 9.34 	 9.05 	     ~	     ~	A1III/IV       	   8	   0
135	cdx       	        5	NAME CrA Dark Cloud             	MoC	19 01 51.0 -36 58 54                   	     ~	     ~	     ~	     ~	     ~	~              	 380	   0
136	d         	        1	HD 195266                       	PM*	20 32 08.8561308483 -47 42 06.532228782	     ~	12.4  	 9.960	10.368	     ~	K5/M0V         	  11	   1
137	d         	        1	HD 207043                       	PM*	21 47 55.2873228765 -52 55 50.301297997	     ~	 8.24 	 7.57 	     ~	     ~	G5V            	  27	   0
138	d         	        1	L 106-104                       	PM*	22 46 45.1321260532 -63 18 05.288663712	14.12 	13.21 	11.412	11.006	 9.412	M3V            	  21	   0
139	dx        	        3	TYC 9341-1233-1                 	*  	23 09 11.1522112296 -72 21 12.846830616	     ~	12.64 	11.33 	     ~	     ~	~              	   2	   0
140	d         	        1	HD 221239                       	PM*	23 30 13.7386959702 +31 42 20.973034072	     ~	 9.225	 8.35 	 7.8  	 7.4  	K2.5V          	  33	   0
141	acdx      	       14	NAME Octans Association         	As*	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	  55	   0
142	acdx      	       24	NAME AB Dor Moving Group        	MGr	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	 317	   0
143	cdx       	        4	NAME Coma Berenices Moving Group	MGr	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	  50	   0
144	dx        	        3	NAME Hercules-Lyra Moving Group 	MGr	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	  50	   0
145	acdx      	        9	NAME Carina Association         	As*	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	  85	   1
146	acdx      	        9	NAME Carina-near Moving Group   	MGr	No Coord.                              	     ~	     ~	     ~	     ~	     ~	~              	  41	   0
#================================================================================

