#
#   VizieR Astronomical Server vizier.u-strasbg.fr
#    Date: 2019-09-11T12:47:16 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ5d78ecc14dd2	
#INFO	-out.max=unlimited	
#INFO	queryParameters=32	
#-oc.form=dec
#-out.max=unlimited
#-nav=cat:B/ocl&tab:{B/ocl/clusters}&key:source=B/ocl/clusters&HTTPPRM:&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=B/ocl/clusters
#-order=I
#-out=P
#-out=Cluster
#-out=RAJ2000
#-out=DEJ2000
#-out=Class
#-out=Diam
#-out=Dist
#-out=E(B-V)
#-out=Age
#-out=pmRA
#-out=pmDE
#-out=Nc
#-out=K14
#K14=K14
#-out=RV
#-out=o_RV
#-out=[Fe/H]
#-out=o_[Fe/H]
#-out=TrType
#-out=WEBDA
#WEBDA=WEBDA
#-out=Lynga
#Lynga=Lynga
#

#RESOURCE=yCat_102022
#Name: B/ocl
#Title: Optically visible open clusters and Candidates (Dias+ 2002-2015)
#Table	B_ocl_clusters:
#Name: B/ocl/clusters
#Title: The Catalogue Data File (V3.5)
#Column	P	(A1)	VizieR added column, not part of original data	[ucd=meta.ref.url]
#Column	Cluster	(a17)	Cluster name	[ucd=meta.id;meta.main]
#Column	RAJ2000	(A8)	Right Ascension J2000	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Declination J2000	[ucd=pos.eq.dec;meta.main]
#Column	Class	(A2)	Flag for classification of the cluster (G1)	[ucd=meta.code]
#Column	Diam	(F6.1)	[0.2/1400]? Angular apparent diameter	[ucd=phys.angSize]
#Column	Dist	(I5)	[25/15000]? Distance from WEBDA [NULL integer written as an empty string]	[ucd=pos.distance;pos.heliocentric]
#Column	E(B-V)	(F6.3)	[0/6]? Colour excess in BV	[ucd=phot.color.excess]
#Column	Age	(F6.3)	[6/10.1]? Age (in log t)	[ucd=time.age]
#Column	pmRA	(F7.2)	? Mean proper motion of the cluster in RA	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(F7.2)	? Mean proper motion of the cluster in Dec	[ucd=pos.pm;pos.eq.dec]
#Column	Nc	(I5)	[1/14341]? Estimated number of cluster members [NULL integer written as an empty string]	[ucd=meta.number]
#Column	K14	(A3)	Details from Kharchenko et al. 2014 (J/A+A/558/A53)	[ucd=meta.ref.url]
#Column	RV	(F7.2)	? Radial Velocity	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	o_RV	(I3)	[0/537]? Number of stars used to determine RV [NULL integer written as an empty string]	[ucd=meta.number]
#Column	[Fe/H]	(F6.3)	[-1.6/0.5]? Metallicity	[ucd=phys.abund.Z]
#Column	o_[Fe/H]	(I2)	[0/60]? Number of stars used to determine [Fe/H] [NULL integer written as an empty string]	[ucd=meta.number]
#Column	TrType	(A8)	Trumpler type determined in the DSS inspection (concentration-brightness-richness-nebulosity)	[ucd=src.class]
#Column	WEBDA	(a5)	Find out what exists about this cluster in the WEBDA data-base	[ucd=meta.ref.url]
#Column	Lynga	(a5)	VizieR added column, not part of original data	[ucd=meta.ref.url]
P	Cluster	RAJ2000	DEJ2000	Class	Diam	Dist	E(B-V)	Age	pmRA	pmDE	Nc	K14	RV	o_RV	[Fe/H]	o_[Fe/H]	TrType	WEBDA	Lynga
 	Juchert Saloran 1	00 16 20	+59 57 43	  	   5.0	 3859	 0.830	 9.050	  -0.59	   0.58	   60	K14	       	   	      	  	        	WEBDA	Lynga
 	Majaess 8        	00 16 43	+64 30 21	IR	   3.0	     	      	      	  -2.38	   2.06	   24	K14	       	   	      	  	        	WEBDA	Lynga
P	Berkeley 60      	00 17 42	+60 56 00	  	   3.0	 4365	 0.860	 8.200	  -3.64	   0.20	   40	K14	       	   	 0.070	  	3-1-p-* 	WEBDA	Lynga
 	ASCC 2           	00 19 52	+55 42 36	  	  36.0	 1200	 0.100	 8.830	  -1.56	  -1.34	   20	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0486         	00 20 21	+59 19 05	IR	   2.5	 1850	 0.550	 8.900	  -2.10	  -2.11	    5	K14	       	   	      	  	        	WEBDA	Lynga
 	Majaess 9        	00 21 13	+63 19 28	IR	   2.0	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
 	Mayer 1          	00 21 54	+61 45 00	  	   7.0	 1430	 0.500	 7.740	  -1.68	  -1.18	  122	K14	 -20.90	  1	      	  	4-2-p-n 	WEBDA	Lynga
 	King 1           	00 22 04	+64 22 50	d 	  24.6	 1080	 0.760	 9.600	  -2.43	   1.02	  700	K14	 -38.40	 10	-0.010	10	2-2-r-* 	WEBDA	Lynga
 	SAI 4            	00 23 40	+62 42 14	  	   4.0	 1600	 0.270	 8.700	  -1.80	   3.00	   64	K14	-100.70	  1	      	  	        	WEBDA	Lynga
 	Stock 20         	00 25 15	+62 37 00	  	   4.0	 1100	 0.200	 8.337	  -2.53	   2.51	   82	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
P	NGC 103          	00 25 16	+61 19 24	  	   4.0	 3026	 0.406	 8.126	  -3.44	  -0.32	  101	K14	-116.70	  1	      	  	        	WEBDA	Lynga
P	Berkeley 2       	00 25 18	+60 24 00	  	   2.0	 5250	 0.800	 8.900	   0.88	  -2.50	   14	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0494         	00 25 32	+63 45 28	IR	   0.8	 5087	 0.521	 9.300	  -2.87	  -2.72	    9	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0496         	00 26 58	+64 02 00	IR	   4.9	 1123	 0.770	 9.055	  -1.13	   0.09	   64	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 110          	00 27 25	+71 23 00	  	  12.0	 1290	 0.420	 9.000	   0.01	  -3.47	  408	K14	       	   	      	  	-1-p-*  	WEBDA	Lynga
 	SAI 6            	00 27 53	+60 41 21	  	   5.0	 2700	 0.890	 8.500	   0.51	  -0.03	   77	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0498         	00 29 13	+62 24 57	IR	   1.5	 1800	 0.150	 8.550	  -3.62	  -0.10	   19	K14	       	   	-0.340	 1	        	WEBDA	Lynga
P	NGC 129          	00 30 00	+60 13 06	  	  19.0	 1625	 0.548	 7.886	  -1.23	  -0.51	  764	K14	 -37.36	  2	      	  	        	WEBDA	Lynga
 	Stock 21         	00 30 25	+57 55 25	  	   4.0	 1700	 0.416	 8.825	  -2.45	  -2.72	   62	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	ASCC 3           	00 31 09	+55 16 48	  	  25.2	 1700	 0.170	 7.900	   0.85	  -2.75	  877	K14	 -37.00	  1	      	  	        	WEBDA	Lynga
P	NGC 133          	00 31 19	+63 21 00	  	   7.0	  630	 0.600	 7.000	  -0.70	  -0.40	    8	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	NGC 136          	00 31 33	+61 30 30	  	   4.0	 5220	 0.700	 8.400	  -0.38	   1.21	  100	K14	       	   	-0.050	 1	        	WEBDA	Lynga
P	King 14          	00 32 03	+63 09 20	  	   8.0	 2960	 0.340	 7.900	  -2.25	   0.73	  227	K14	       	   	      	  	        	WEBDA	Lynga
P	King 15          	00 32 54	+61 52 00	  	   3.0	 3162	 0.700	 8.400	   0.32	   0.49	   48	K14	       	   	 0.070	  	        	WEBDA	Lynga
P	NGC 146          	00 32 58	+63 20 03	  	   5.5	 3470	 0.550	 7.110	  -2.77	   0.33	  110	K14	       	   	      	  	        	WEBDA	Lynga
 	Patchick 78      	00 33 10	+65 07 00	  	   1.5	 1507	 0.600	 9.250	   5.78	  -1.68	   10	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 189          	00 39 35	+61 05 42	  	   5.0	  752	 0.420	 7.000	  -0.36	  -3.02	   80	K14	       	   	      	  	        	WEBDA	Lynga
P	Stock 24         	00 39 42	+61 57 00	  	   5.0	 2818	 0.500	 8.080	  -0.61	   0.52	  124	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0505         	00 40 04	+61 35 52	IR	   1.2	     	      	      	  -2.03	  -0.19	   23	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0508         	00 41 58	+64 58 52	IR	   2.5	 5501	 1.199	 9.180	   1.72	  -0.47	    8	K14	       	   	      	  	        	WEBDA	Lynga
 	Dias 1           	00 42 35	+64 04 05	  	   4.6	 1690	 1.080	 7.100	  -2.55	  -2.00	   51	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 225          	00 43 39	+61 46 30	  	  12.0	  657	 0.274	 8.114	  -1.23	  -0.06	   89	K14	 -28.00	  1	      	  	        	WEBDA	Lynga
P	Czernik 2        	00 43 42	+60 09 00	  	   5.8	 1775	 0.740	 8.000	  -0.64	  -1.01	  136	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
 	King 16          	00 43 45	+64 11 08	  	  17.6	 1920	 0.890	 7.000	  -1.94	  -1.21	  494	K14	 -58.20	  1	      	  	1-2-m-* 	WEBDA	Lynga
 	Berkeley 4       	00 45 01	+64 23 05	  	   6.2	 2460	 0.830	 7.100	  -3.21	  -1.30	  119	K14	       	   	      	  	1-2-p-* 	WEBDA	Lynga
P	NGC 188          	00 47 28	+85 15 18	  	  17.0	 1714	 0.036	 9.880	  -0.21	   0.17	  472	K14	 -42.35	472	 0.120	 4	        	WEBDA	Lynga
 	Berkeley 61      	00 48 30	+67 12 00	  	   3.0	 3798	 0.690	 8.250	  -7.26	   0.35	   41	K14	       	   	      	  	2-1-p-* 	WEBDA	Lynga
 	Dolidze 13       	00 49 42	+64 07 35	d 	  16.0	 2400	 0.350	 8.962	  -2.86	  -0.71	  329	K14	       	   	      	  	-1-m-*  	WEBDA	Lynga
 	FSR 0516         	00 50 46	+65 58 06	IR	   0.7	  810	 2.040	 8.830	  -1.80	  -0.45	    2	K14	       	   	      	  	        	WEBDA	Lynga
P	King 2           	00 51 00	+58 11 00	  	   5.0	 5750	 0.310	 9.780	  -2.00	  -2.60	   48	K14	-144.25	  7	-0.420	 7	        	WEBDA	Lynga
 	FSR 0519         	00 52 30	+64 39 05	IR	   1.4	 1450	 0.700	 9.220	  -5.38	  -2.55	   27	K14	       	   	      	  	        	WEBDA	Lynga
P	IC 1590          	00 52 49	+56 37 42	  	   4.0	 2940	 0.320	 6.540	  -2.43	  -1.90	   77	K14	 -25.16	  3	      	  	        	WEBDA	Lynga
 	FSR 0521         	00 53 00	+59 51 00	IR	   6.3	 2534	 0.562	 9.210	  -3.20	  -2.28	  112	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 4           	00 53 10	+61 34 48	  	  48.0	  750	 0.300	 8.340	  -1.15	  -0.63	    4	K14	  -9.24	  4	      	  	        	WEBDA	Lynga
 	Casado Alessi 1  	00 53 27	+49 34 00	  	  48.0	  302	 0.090	 8.200	   6.74	  -7.79	   28	K14	   6.00	  1	      	  	4-2-p-* 	WEBDA	Lynga
 	FSR 0522         	00 53 50	+65 47 36	IR	   0.7	 1506	 0.874	 9.075	  -0.70	   1.18	   12	K14	       	   	      	  	        	WEBDA	Lynga
 	ASCC 5           	00 57 58	+55 50 24	  	  15.6	 1500	 0.250	 7.030	  -0.20	  -1.83	  290	K14	 -43.00	  1	      	  	        	WEBDA	Lynga
 	Majaess 19       	00 58 29	+56 29 53	IR	  14.0	     	      	      	   0.48	  -2.29	  254	K14	 -54.00	  1	      	  	        	WEBDA	Lynga
 	Skiff J0058+68.4 	00 58 29	+68 28 08	  	  21.8	 1600	 0.850	 9.100	  -1.56	  -4.81	  504	K14	       	   	      	  	        	WEBDA	Lynga
 	Majaess 20       	00 58 37	+65 40 23	IR	   2.0	     	      	      	       	       	     	K14	       	   	      	  	        	WEBDA	Lynga
P	Berkeley 62      	01 01 00	+63 57 00	v 	  10.0	 2320	 0.850	 7.200	  -2.07	  -1.37	  173	K14	       	   	      	  	        	WEBDA	Lynga
 	Czernik 3        	01 03 06	+62 47 00	  	   2.4	 1410	 1.420	 8.000	  -1.55	   0.36	    4	K14	       	   	      	  	3-2-p-* 	WEBDA	Lynga
 	NGC 358          	01 05 11	+62 01 18	  	   3.0	     	      	      	  -4.56	   2.72	   28	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 366          	01 06 26	+62 13 48	  	   3.5	 1785	 1.256	 7.410	  -5.34	   4.10	   56	K14	       	   	      	  	        	WEBDA	Lynga
 	Pfleiderer 1     	01 08 07	+65 38 50	  	   5.0	 7200	 0.940	 9.000	  -2.48	   3.83	   18	K14	       	   	      	  	4-2-m-* 	WEBDA	Lynga
P	NGC 381          	01 08 19	+61 35 00	  	   6.0	 1148	 0.400	 8.505	  -0.22	   0.11	  167	K14	 -29.76	  2	 0.070	  	        	WEBDA	Lynga
 	Stock 3          	01 12 18	+62 20 00	  	   5.0	 1363	 0.708	 7.850	  -0.94	   1.82	   61	K14	  -6.00	  1	      	  	4-1-p-* 	WEBDA	Lynga
 	Platais 2        	01 13 50	+32 01 42	  	 336.0	  190	 0.050	 8.313	  13.85	 -11.29	    7	K14	   4.45	 14	      	  	        	WEBDA	Lynga
P	NGC 433          	01 15 11	+60 07 36	  	   2.0	 2323	 0.860	 7.500	  -2.32	  -1.60	    6	K14	 -36.91	  1	      	  	        	WEBDA	Lynga
P	NGC 436          	01 15 58	+58 48 42	  	   5.0	 2400	 0.400	 8.260	  -0.38	  -0.90	  155	K14	 -73.78	  2	-0.550	  	        	WEBDA	Lynga
 	FSR 0534         	01 17 26	+61 18 00	IR	   6.0	 1800	 0.600	 8.700	  -3.01	  -0.11	   71	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0537         	01 18 50	+60 21 01	IR	   8.1	 2075	 0.666	 9.000	  -1.93	  -1.37	  236	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 457          	01 19 35	+58 17 12	  	  20.0	 2429	 0.472	 7.324	  -2.08	  -0.46	  647	K14	 -29.79	  2	      	  	        	WEBDA	Lynga
 	FSR 0536         	01 19 44	+63 04 07	IR	   7.2	 3001	 1.199	 8.397	   2.73	   6.48	   24	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0538         	01 22 08	+63 41 35	IR	   0.8	 2146	 1.062	 8.860	  -0.95	   2.77	    3	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0542         	01 25 53	+62 59 43	IR	   8.0	 1934	 0.833	 8.350	  -1.38	  -0.08	   93	K14	       	   	 0.070	 1	        	WEBDA	Lynga
 	SAI 14           	01 26 00	+62 37 33	  	   4.0	 6460	 0.550	 9.100	  -1.18	  -0.50	   32	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 559          	01 29 32	+63 18 14	  	   9.1	 2430	 0.820	 8.350	  -4.58	   1.41	  309	K14	 -58.40	 15	-0.250	15	        	WEBDA	Lynga
 	FSR 0547         	01 29 52	+60 42 59	IR	   2.7	 2800	 0.300	 8.900	   0.85	  -0.39	    2	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 581          	01 33 23	+60 39 00	  	   5.0	 2194	 0.382	 7.336	  -1.60	   0.66	    1	K14	 -44.20	  2	      	  	        	WEBDA	Lynga
 	Czernik 4        	01 35 36	+61 28 35	  	   2.6	 1630	 1.060	 8.000	   0.13	  -3.90	    2	K14	 -11.40	  1	      	  	4-2-p-* 	WEBDA	Lynga
P	Trumpler 1       	01 35 42	+61 17 00	  	   3.0	 2469	 0.680	 7.300	  -3.31	  -1.02	   87	K14	 -65.00	  1	      	  	        	WEBDA	Lynga
P	NGC 609          	01 36 23	+64 32 18	  	   3.0	 3981	 0.350	 9.232	   0.82	   0.10	   70	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0546         	01 37 12	+65 51 29	IR	   3.9	 2501	 1.099	 9.000	   2.32	   0.36	   13	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0549         	01 39 39	+65 55 11	IR	   1.2	 6001	 0.450	 9.300	  -3.17	   0.23	   15	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0551         	01 39 46	+64 53 41	IR	   1.2	 3500	 1.499	 6.680	   1.79	  -1.34	   17	K14	       	   	      	  	        	WEBDA	Lynga
 	FSR 0553         	01 41 02	+64 30 48	IR	   3.4	 7500	 0.999	 8.600	  -1.50	   0.34	   55	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 637          	01 43 04	+64 02 24	  	   3.0	 2500	 0.640	 7.000	  -1.28	   0.38	   77	K14	 -45.58	  2	      	  	        	WEBDA	Lynga
 	NGC 657          	01 43 21	+55 50 11	  	   6.0	 1372	 0.340	 9.200	   1.14	  -3.95	   59	K14	       	   	      	  	        	WEBDA	Lynga
P	NGC 654          	01 44 00	+61 53 06	  	   5.0	 2410	 0.820	 7.000	  -1.34	  -0.72	    3	K14	 -34.20	  1	      	  	        	WEBDA	Lynga
P	NGC 659          	01 44 24	+60 40 24	  	   5.0	 1938	 0.652	 7.548	  -2.67	   1.07	    1	K14	       	   	      	  	        	WEBDA	Lynga
 	Majaess 26       	01 45 40	+64 16 08	IR	   4.0	     	      	      	   1.19	  -0.14	   54	K14	       	   	      	  	        	WEBDA	Lynga
P	Collinder 463    	01 45 45	+71 48 36	  	  57.0	  702	 0.259	 8.373	  -0.91	  -0.90	   40	K14	  -7.20	  1	      	  	        	WEBDA	Lynga
P	NGC 663          	01 46 09	+61 14 06	v 	  14.0	 2420	 0.800	 7.400	  -1.49	  -2.30	    3	K14	 -33.09	  1	      	  	        	WEBDA	Lynga
 	ASCC 6           	01 47 13	+57 43 48	  	  36.0	 1200	 0.300	 8.170	  -0.52	  -0.68	   17	K14	 -20.00	  2	      	  	        	WEBDA	Lynga
 	Berkeley 5       	01 47 48	+62 56 00	  	   2.0	 6200	 1.300	 8.900	   0.11	  -2.78	    5	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	S1               	01 50 51	+61 05 28	  	   4.6	 2200	 0.770	 7.400	  -3.15	  -0.79	   85	K14	       	   	      	  	        	WEBDA	Lynga
 	Berkeley 6       	01 51 11	+61 03 40	  	   8.4	 2520	 0.900	 7.500	  -2.89	   0.24	  169	K14	       	   	      	  	2-2-p-* 	WEBDA	Lynga
 	IC 166           	01 52 30	+61 50 00	  	   7.0	 4800	 0.800	 9.000	  -1.26	  -0.04	  249	K14	 -36.70	  4	-0.178	 4	        	WEBDA	Lynga
 	Stock 4          	01 52 48	+57 04 00	d 	  12.0	 1200	 0.100	 8.700	   0.55	  -2.23	  293	K14	       	   	      	  	4-1-p-* 	WEBDA	Lynga
 	ESO 245 09       	01 53 43	-45 57 12	p 	  14.0	 1380	 0.312	 9.055	   8.45	   0.57	   27	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
P	Berkeley 7       	01 54 12	+62 22 00	  	   4.0	 2570	 0.800	 6.600	  -2.76	   0.97	   66	K14	       	   	      	  	        	WEBDA	Lynga
 	Czernik 5        	01 55 43	+61 21 21	  	   1.8	 2750	 1.200	 8.450	  -2.35	   0.06	   26	K14	       	   	      	  	3-1-p-* 	WEBDA	Lynga
P	NGC 752          	01 57 41	+37 47 06	  	  75.0	  457	 0.034	 9.160	   7.50	 -11.50	   50	K14	   5.54	 54	 0.010	18	        	WEBDA	Lynga
P	NGC 744          	01 58 33	+55 28 24	  	   5.0	 1207	 0.384	 8.248	  -1.34	   1.15	    1	K14	       	   	      	  	        	WEBDA	Lynga
 	NGC 743          	01 58 37	+60 09 18	  	   8.0	 1618	 0.950	 8.700	  -1.04	  -2.16	  132	K14	  -6.50	  2	      	  	4-1-p-* 	WEBDA	Lynga
 	ASCC 7           	01 58 55	+58 58 12	  	  30.0	 2000	 0.500	 7.360	   0.24	  -0.98	 1296	K14	 -49.00	  1	      	  	        	WEBDA	Lynga
 	Berkeley 8       	02 01 06	+75 29 00	  	   5.0	 3150	 0.750	 9.500	   0.99	  -3.08	   36	K14	       	   	      	  	2-2-m-* 	WEBDA	Lynga
 	Czernik 6        	02 02 00	+62 50 00	  	   8.0	 2700	 0.260	 7.000	  -1.15	   0.15	  158	K14	 -22.00	  1	      	  	2-2-p-* 	WEBDA	Lynga
 	Czernik 7        	02 03 01	+62 14 48	  	  10.0	 3300	 0.700	 8.340	  -1.22	   0.21	  160	K14	       	   	      	  	4-2-p-* 	WEBDA	Lynga
 	Stock 5          	02 04 30	+64 26 00	d 	  24.0	 1100	 0.400	 7.730	  -0.13	  -1.53	  741	K14	 -19.85	  2	      	  	4-2-p-* 	WEBDA	Lynga
 	SAI 16           	02 05 30	+62 15 54	  	   5.0	 7700	 0.700	 9.150	  -1.87	  -0.91	   64	K14	       	   	      	  	        	WEBDA	Lynga
 	Riddle 4         	02 07 23	+60 15 25	  	   4.4	 2800	 1.100	 7.600	   9.08	  -6.01	   29	K14	       	   	      	  	        	WEBDA	Lynga
