TIC ID,CTOI,Promoted to TOI,MASTER,SG1A,SG1B,SG2,SG3,SG4,SG5,User Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,PM RA (mas/yr),PM RA err (mas/yr),PM Dec (mas/yr),PM RA (mas/yr).1,Transit Epoch (BJD),Transit Epoch (BJD) err,Period (days),Period (days) Error,Depth mmag,Depth mmag Error,Depth ppm,Depth ppm Error,Duration (hrs),Duration (hrs) Error,Inclination (deg),Inclination (deg) Error,Impact Param,Impact Param Error,Rad_p/Rad_s,Rad_p/Rad_s Error,a/Rad_s,a/Rad_s Error,Planet Radius (R_Earth),Planet Radius (R_Earth) Error,Mass (M_Earth),Mass (M_Earth) Error,Insolation (Earth Flux),Insolation (Earth Flux) Error,Equilibrium Temp (K),Equilibrium Temp (K) Error,Fitted Stellar Density (g/cm^3),Fitted Stellar Density (g/cm^3) Error,Semi-Major Axis (AU),Semi-Major Axis (AU) Error,Eccentricity,Eccentricity (Error),Arg of Periastron,Arg of Periastron Error,Time of Periastron (BJD),Time of Periastron (BJD) Error,Velocity Semi-amp (m/s),Velocity Semi-amp (m/s) Error,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,CTOI lastmod,User,Group,Tag,Notes
4299199,4299199.01,,,,,,,,,PC,,9.66502,0.006,115.707401,30.337055,-27.098000000000003,0.069,-22.379,0.061,2458850.05,0.013000000000000001,,,2.086617,0.010856999999999999,1920.0,10.0,3.864,1.272,,,,,,,,,5.165,0.013999999999999999,,,,,,,,,,,,,,,,,,,137.135,0.7055,5970.0,123.728,4.41222,0.07767460000000001,1.0785200000000001,0.049703500000000005,2021-01-27 11:21:34,steuer,,93717,Found with our in-house single transit finder; Sector 20
4672985,4672985.01,,,,,,,,,PC,,10.9918,0.006999999999999999,38.470678,-10.657383,43.218,0.062,-27.741,0.057,2458429.8573,0.0017,,,8.939739999999999,0.6299100000000001,8200.0,580.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,253.385,2.195,5735.0,122.18799999999999,4.30693,0.0752105,1.17454,0.0553769,2020-12-21 11:43:40,brahm,,92648,WINE single transit
4689632,4689632.01,,,,,,,,,PC,,17.0816,0.051,281.009573,-19.544855,-2.969,0.44799999999999995,-2.591,0.40399999999999997,2459207.149,0.006,,,5.398651,0.149473,4960.0,137.66,2.4,0.555,,,,,,,,,2.616,0.036000000000000004,,,,,,,,,,,,,,,,,,,3764.45,2406.9,5281.0,171.0,4.0069300000000005,,1.56707,,2021-02-15 04:52:08,steuer,,94400,Found with our in-house single transit finder
4843495,4843495.01,5719.01,,,,,,,,PC,,9.67055,0.006,147.00394599999998,30.178420000000003,14.294,0.063,4.734,0.057999999999999996,2458875.55,0.01,,,0.47022600000000003,0.10315,433.0,95.0,8.0,0.6,,,,,,,,,2.5,0.3,,,,,,,,,,,,,,,,,,,155.483,1.052,6347.0,134.741,4.45158,0.0918711,1.10473,0.0529649,2022-03-31 12:53:39,eisner,,113462,PHT candidate. Two transits separated by ~757 d. Events are low S/N.
4918918,4918918.01,5747.01,,,,,,,,PC,,10.7818,0.008,148.37832,35.570547999999995,-87.855,0.078,-177.21599999999998,0.071,2459612.8862799997,,3.89,,6.1245080000000005,,5625.0,,4.8,,,,,,0.075,,18.45,,3.45,,,,,,,,,,0.036000000000000004,,,,,,,,1033386.58,,28.5321,0.0512,3466.0,157.0,4.8076099999999995,0.00448927,0.420908,0.012424600000000001,2022-04-30 05:21:41,lekkas,,115196,Values derived using lightkurve package.
5364106,5364106.01,,,,,,,,,PC,,11.0866,0.009000000000000001,139.231123,-20.676234,-8.213,0.07,13.640999999999998,0.083,2459259.215,0.004,,,1.7385689999999998,0.173732,1600.0,160.0,6.4,0.3,,,,,,,,,5.4,0.4,,,,,,,,,,,,,,,,,,,299.67900000000003,3.4145,5964.0,131.187,4.27302,0.08035210000000001,1.26252,0.062231100000000004,2021-05-20 00:54:37,eisner,,97182,PHT candidate. Single transit event.
5966772,5966772.01,,,,,,,,,PC,,10.4795,0.006,193.398197,-23.119791,-55.083999999999996,0.091,-73.352,0.11699999999999999,2459331.1,0.01,,,1.303666,0.271468,1200.0,250.0,,,,,,,,,,,2.8,0.4,,,,,,,,,,,,,,,,,,,87.0611,0.41,4677.0,130.555,4.56264,0.0955044,0.750312,0.0567965,2021-10-14 03:50:08,eisner,,100854,PHT candidate. Possible additional transit event in the FFIs at ~ 1587.95 TBJD.
6242388,6242388.01,,,,,,,,,PC,,12.3605,0.008,80.006785,19.415556,12.488,0.06,-7.175,0.043,2459484.972,0.008,,,10.06788,0.814608,9230.0,750.0,2.867,0.496,,,,,,,,,22.476,0.898,,,,,,,,,,,,,,,,,,,626.386,14.6805,5323.0,127.71600000000001,3.74064,0.0854676,2.1409599999999998,0.127435,2021-11-24 08:37:38,vogl,,102292,Found with our in-house single transit finder; Sector 43
6426639,6426639.01,,,,,,,,,PC,,11.4788,0.006,112.60044099999999,-11.118528,16.69,0.067,-21.865,0.059000000000000004,2458492.29,,1.58,,0.39099,,360.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,448.939,8.026,6138.0,128.164,4.1551800000000005,0.0829865,1.4936,0.06964830000000001,2021-01-10 08:23:56,chiarello,,93113,All data ontained using the LightKurve framework
6515171,6515171.01,,,,,,,,,PC,,11.1481,0.006,112.76793799999999,-6.44881,-23.765,0.052000000000000005,4.197,0.038,2458493.44,,5.48,,0.009184999999999999,,8.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167.62,0.894,5127.0,125.795,4.48273,0.0841528,0.882926,0.05258290000000001,2021-02-01 03:07:01,chiarello,,93760,All Data obtained using the Light Kurve framework
6517467,6517467.01,,,,,,,,,PC,,11.5345,0.006,112.858294,-6.468787,-4.342,0.055999999999999994,-49.236000000000004,0.042,2458491.71,,1.33,,0.01709,,15.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240.965,2.092,5680.0,128.829,4.55264,0.07998510000000002,0.880798,0.0447689,2021-02-01 03:25:06,chiarello,,93761,All data obtained using the Light Kurve Framework
7145074,7145074.01,,,,,,,,,PC,,11.1407,0.006,4.513159,-43.409677,-4.205,0.12300000000000001,-22.153000000000002,0.145,2459111.52,0.01,,,4.351654,0.108579,4000.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.276,16.6085,5275.4,113.49600000000001,3.7468800000000004,0.09012139999999999,2.1024,0.147311,2020-12-21 11:30:27,brahm,,92643,WINE single transit
7422496,7422496.01,4189.01,,,,,,,,PC,,8.7601,0.006,81.348892,-44.431284999999995,-44.098,0.042,-110.32799999999999,0.051,2458470.3540000003,0.05,0.0,,0.760281,0.32577,700.0,300.0,5.9,1.0,,,,,,,,,2.4,1.0,,,,,,,,,,,,,,,,,,,69.6026,0.1272,5744.0,117.134,4.56261,0.07619730000000001,0.8793209999999999,0.041386900000000004,2020-01-24 10:25:52,eisner,,15948,Planet Hunters TESS candidate. Single transit event.
7548817,7548817.01,2583.01,,,,,,,,PC,,12.0453,0.006999999999999999,272.267029,45.3369,7.682,0.035,5.013999999999999,0.039,2458687.08604,,4.5207370000000004,,9.666654,,8863.8,,4.5973,,,,0.677,,0.09336,,,,15.934520709348421,,,,,,,,,,,,,,,,,,,,566.189,6.399,6050.0,127.639,4.1419,0.0810965,1.49494,0.07158300000000001,2021-02-08 16:07:01,olmschenk,,93938,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
7688647,7688647.01,,,,,,,,,PC,,15.5715,0.008,65.362323,-39.014165000000006,-88.57600000000001,0.138,-101.684,0.183,2458439.188691608,0.033514296487737696,1.9359409679607005,0.0066502390612748,20.009794,0.137478,18260.912569354325,126.61364188022007,0.8088380539602702,,,,0.5409509160210442,0.04220658602710695,0.14808582838054124,0.004513020522464136,20.1427916258202,0.4585813883581533,2.713195397128773,0.08268655172885105,,,,,,,,,0.015729983809209494,0.0003581170846662537,,,,,,,,,73.7926,0.43295,3038.0,157.0,5.12906,0.0359231,0.167972,0.00532643,2021-04-06 15:00:54,feliz,,96012,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
7984988,7984988.01,,,,,,,,,PC,,11.9218,0.006999999999999999,157.19097,-4.136618,7.754,0.076,-2.859,0.075,2459275.0523,0.0194,,,3.054462,0.9350370000000001,2809.31,860.83,5.8,5.41,,,,,,,,,4.84,0.69,,,,,,,,,,,,,,,,,,,241.822,3.4605,5353.46,114.361,4.56337,0.0780712,0.8348129999999999,0.0439522,2021-05-04 04:30:30,steuer,,96867,Found with our in-house single transit finder
8963901,8963901.01,,,,,,,,,PC,,11.2163,0.015,354.637088,-9.318778,9.894,0.091,-8.363,0.057,2458354.2775,,0.4847222,,157.14947,,134752.78132188198,,1.8666666666666698,,,,,,,,,,200.837113505247,,,,,,,,,,,,,,,,,,,,1465.31,107.12,6515.0,100.0,,,5.01577,,2019-12-29 08:24:43,lipponen,,8409,new CTOI
9099764,9099764.01,,,,,,,,,PC,,10.9202,0.006,60.140476,-5.576599,89.38600000000001,0.06,-46.912,0.042,2458462.6283,0.0104,,,0.7327279999999999,0.45561599999999997,674.64,419.55,11.87,7.32,,,,,,,,,2.26,0.62,,,,,,,,,,,,,,,,,,,129.484,0.6559999999999999,5036.0,128.467,4.55958,0.0843617,0.796388,0.050005,2021-06-02 03:25:30,steuer,,97398,Found with our in-house single transit finder
9176290,9176290.01,,,,,,,,,PC,,10.5659,0.006,62.270417,-3.861213,60.1,0.059000000000000004,28.451999999999998,0.052000000000000005,2458443.2704,0.0139,,,3.9934849999999997,0.036384,3671.38,33.51,2.13,0.85,,,,,,,,,4.45,0.02,,,,,,,,,,,,,,,,,,,103.464,0.44,5290.0,130.579,4.7418,0.0812956,0.6720729999999999,0.0378895,2021-06-02 03:25:30,steuer,,97399,Found with our in-house single transit finder
9376051,9376051.01,,,,,,,,,PC,,9.97062,0.006,150.924045,39.005047,-6.17,0.075,-56.536,0.084,2458875.006,,,,1.771194,,1630.0,,6.864,,,,,,,,,,5.1,,,,,,,,,,,,,,,,,,,,168.06,1.6475,5961.0,123.669,4.3505400000000005,0.0781307,1.1557899999999999,0.0544095,2020-10-27 03:44:18,steuer,,36572,Found with our in-house single transit finder; transit finder output attached under 'Files'
9443323,9443323.01,,,,,,,,,PC,,12.1957,0.006,68.846509,56.868269,-10.883,0.07200000000000001,11.862,0.064,2458818.026616,,4.013456,,8.347771,,7659.1,,3.923200000000001,,,,0.253,,0.08574,,,,15.509751029188552,,,,,,,,,,,,,,,,,,,,515.59,12.4805,5679.0,165.385,4.07294,0.08575,1.5301200000000001,0.0837362,2021-02-08 16:07:01,olmschenk,,93939,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
9567278,9567278.01,,,,,,,,,PC,,13.332,0.008,259.126274,30.224572,4.556,0.026000000000000002,17.838,0.034,2458985.29944197,0.00506968,3.37858548,0.00094536,34.08972,17.468119,30910.0,15960.0,2.7569999999999997,0.179,,,0.327,0.203,0.16399999999999998,0.009590000000000001,10.35,1.08,17.81,4.6,,,,,,,,,,,,,,,,,,,561.056,5.7245,5373.93,134.12,4.40719,,0.999268,,2022-02-19 11:17:05,bouma,tfopwg,108227,"Qual:B,NotCM?. Rp=(0.83-2.36)Rj. b=0.00-0.66 (3-97HDI)."
9632592,9632592.01,,,,,,,,,PC,,15.0179,0.006999999999999999,357.198721,-7.86344,89.764,0.161,18.415,0.12,2458355.370710833,0.06015835384596355,4.9921122493684384,0.0428750436457772,21.537671,0.6190319999999999,19641.471067916376,569.9869127273224,1.4656857958351572,,,,0.5511440700525534,0.05124558171521615,0.15724093688999982,0.0046234575680158966,29.79654531015297,1.249624129228201,4.272192872965388,0.1256180665239448,,,,,,,,,0.034505806704614166,0.001447123759071408,,,,,,,,,99.4005,0.8364,3225.0,157.0,4.9875300000000005,0.0129893,0.24908899999999998,0.00777591,2021-04-06 14:55:06,feliz,,95997,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
9707944,9707944.01,,,,,,,,,PC,,10.6939,0.006999999999999999,358.005905,-9.349538,48.456,0.085,-25.363000000000003,0.078,2459107.485,0.005,19.7357,0.0004,1.455862,0.228029,1340.0,210.0,5.09,0.38,,,,,,,,,4.1,0.4,,,,,,,,,,,,,,,,,,,209.632,3.53,5985.0,127.829,4.44957,0.0781593,1.03501,0.0511357,2022-01-23 23:57:13,eisner,,107460,"PHT candidate. Two transits in sector 2, one in 29 and 1 in 42."
9907513,9907513.01,5590.01,,,,,,,,PC,,11.9639,0.006,110.689677,37.667511,-22.895,0.068,-43.138000000000005,0.062,2458843.6361599998,0.0012205,1.2736135,0.00012450000000000002,1.2662719999999998,0.042127,1165.6,38.8,1.055,0.076,,,0.76,0.075,,,,,2.733,0.292,,,419.8,,1153.0,,,,0.020980000000000002,,,,,,,,,,136.24200000000002,0.882,4216.67,132.921,4.478940000000001,0.117494,0.775062,0.07710299999999999,2021-10-31 16:41:29,spencer,,101291,From Sector 20 SPOC FFIs
9989136,9989136.01,5734.01,,,,,,,,PC,,8.5446,0.006,111.25581799999999,37.231122,-27.643,0.102,14.349,0.083,2458848.6823299997,0.01665,6.1881330000000005,0.006876999999999999,0.850356,0.023235,782.9,21.4,2.7769999999999997,0.17800000000000002,,,0.183,0.183,,,,,1.996,0.1,,,60.98,,712.0,,,,0.059989999999999995,,,,,,,,,,32.5102,0.078,4645.0,128.105,4.62487,0.0969687,0.693766,0.053216099999999995,2021-10-30 14:55:06,spencer,,101274,From Sector 20 SPOC FFIs; good potential Level 1 planet
10697188,10697188.01,,,,,,,,,PC,,9.38696,0.006,29.025266,60.580447,87.044,0.024,-47.836999999999996,0.043,2458794.73,,5.44,,1.408418,,1296.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.469,0.423,5920.0,130.871,4.4181099999999995,0.0791326,1.0624,0.0505126,2021-04-12 13:44:41,chiarello,,96244,"Camera 2, CCD 1, Column 2051, Row 1597, Sector 18, Mission TESS"
10697190,10697190.01,,,,,,,,,PC,,8.72959,0.006,29.030078000000003,60.580766000000004,88.81200000000001,0.025,-47.225,0.046,2458794.73,,5.44,0.2,1.408418,,1296.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.667,0.4565,6112.0,136.469,4.2211099999999995,0.08388949999999999,1.37786,0.062412,2021-04-12 13:56:15,chiarello,,96245,"Camera 2, CCD 1, Column 2051, Row 1597, Sector 18, Mission TESS"
10747470,10747470.01,,,,,,,,,PC,,9.725769999999999,0.006,212.25280899999998,51.086496000000004,-31.581999999999997,0.034,17.487000000000002,0.037000000000000005,2458739.4155,,1.977093,0.00023799999999999998,0.292863,0.022040999999999998,269.7,20.3,2.0669999999999997,0.107,,,,,,,,,3.78,0.14,,,4457.0,,2082.0,,,,0.0342,,,,,,,,,,275.69,2.103,6176.61,129.695,3.90825,0.08594210000000001,1.9991700000000001,0.0960829,2020-01-02 17:30:45,damboiu,,8505,"Short period Neptune around a subgiant, low s2n"
10934226,10934226.01,,,,,,,,,PC,,12.872,0.006999999999999999,42.793257000000004,-1.338135,-12.405,0.081,-51.173,0.08,2458410.991922399,0.051655842243803804,4.803357952447085,0.05045388970526555,2.830303,0.081027,2603.410872837726,74.62586432494317,1.249833882077343,,,,0.5251712525190454,0.20142790284504275,0.05017246189677565,0.005041445961110493,22.198020907579345,1.0646676472283163,2.1443242158104665,0.21546669723623516,,,,,,,,,0.040437131228407065,0.0019394569247797675,,,,,,,,,72.2218,0.24465,3496.0,157.0,4.8342,0.00292877,0.391827,0.011733799999999999,2021-04-06 14:57:03,feliz,,96006,"new CTOI from NEMESIS, https://arxiv.org/abs/2103.05647"
11356662,11356662.01,,,,,,,,,PC,,10.0162,0.006,85.072833,-4.384661,-7.255,0.066,-40.889,0.064,2458467.2741,0.0055,3.24887,0.00117,0.7689729999999999,,708.0,,0.133,0.013999999999999999,87.8,0.63,0.29,0.15,0.023,0.002,7.64,0.34,2.84,0.42,,,,,,,0.8,0.18,,,,,,,,,,,162.166,1.2725,5850.0,134.214,4.354080000000001,0.07902100000000001,1.13194,0.055301499999999996,2020-08-10 07:20:18,montalto,,29308,"new CTOI, Montalto et al. (2020)"
11435037,11435037.01,,,,,,,,,PC,,9.5197,0.006,30.242486,60.637781999999994,-9.087,0.027999999999999997,-3.205,0.06,2458791.08,,0.53,0.8,0.062551,,57.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127.175,0.5875,6206.0,352.655,4.4850900000000005,0.108928,1.0346899999999999,0.0459572,2021-04-23 13:29:39,chiarello,,96567,"Camera 2, CCD 1, Column 1957, Row 1636, Sector 18"
11521555,11521555.01,2401.01,,,,,,,,PC,,9.0982,0.006999999999999999,146.44726,-25.457736999999998,-6.196000000000001,0.07,-7.534,0.071,2458515.692,0.0047,5.867030000000001,0.0007700000000000001,2.787403,,2564.0,,0.17,0.006999999999999999,80.12,1.48,0.93,0.01,0.053,0.006999999999999999,5.42,0.84,17.91,3.13,,,,,,,0.09,0.04,,,,,,,,,,,323.506,3.9455,6294.0,132.523,3.54625,0.0862888,3.0964400000000003,0.144573,2020-08-10 07:20:18,montalto,,29323,"new CTOI, Montalto et al. (2020)"
11755687,11755687.01,,,,,,,,,PC,,12.4821,0.006,90.64366600000001,-0.57711,5.933,0.042,-40.68,0.043,2458468.6856029998,,3.052498,,17.061170999999998,,15591.1,,2.3077,,,,0.7120000000000001,,0.12369000000000001,,,,13.637709588652172,,,,,,,,,,,,,,,,,,,,363.66,3.033,5370.0,140.501,4.43994,0.0820357,0.9622870000000001,0.054351800000000006,2021-02-08 16:07:01,olmschenk,,93940,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
12011437,12011437.01,,,,,,,,,PC,,12.038,0.006,146.64412099999998,-32.795242,-3.464,0.051,-18.485,0.069,2458542.7187,0.0081,2.43269,0.00131,4.769241,,4383.0,,0.11,0.006,89.57,0.14,0.06,0.22,0.052000000000000005,0.011000000000000001,7.38,0.34,6.58,1.76,,,,,,,1.29,0.28,,,,,,,,,,,387.663,5.684,5732.0,134.684,4.3183300000000004,0.0826397,1.15923,0.0610804,2020-08-10 07:20:18,montalto,,29448,"new CTOI, Montalto et al. (2020)"
12090836,12090836.01,,,,,,,,,PC,,12.4733,0.012,91.465705,-2.67652,1.8330000000000002,0.07,-2.471,0.07400000000000001,2458470.350212,,3.19722,,11.727828,,10743.6,,3.7403,,,,0.295,,0.0987,,,,17.707965275123673,,,,,,,,,,,,,,,,,,,,680.471,20.783,6467.28,134.725,4.1982099999999996,0.096493,1.51431,0.0908191,2021-02-08 16:07:01,olmschenk,,93941,Identification and vetting detailed in https://arxiv.org/abs/2101.10919.
12631674,12631674.01,,,,,,,,,PC,,11.1754,0.006,53.161432999999995,-7.2478419999999995,-26.146,0.14800000000000002,-0.66,0.151,2459168.1119999997,0.002,,,1.9887169999999998,0.130296,1830.0,120.0,2.28,0.024,,,,,,,,,4.612,0.149,,,,,,,,,,,,,,,,,,,162.543,3.551,4824.0,134.24200000000002,4.34312,0.0937192,0.9864569999999999,0.0725226,2021-02-02 05:04:51,steuer,,93778,Found with our in-house single transit finder; Sector 31
13072758,13072758.01,,,,,,,,,PC,,12.224,0.006999999999999999,76.088398,-29.034181,5.254,0.036000000000000004,6.585,0.038,2458455.59453,0.0055,,,8.283111,0.358352,7600.0,330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,640.877,9.4625,6313.0,120.949,4.21991,0.08781219999999999,1.43149,0.06645219999999999,2020-12-21 12:07:37,brahm,,92662,WINE single transit
13073396,13073396.01,,,,,,,,,PC,,13.1159,0.006999999999999999,348.06866099999996,-27.352971000000004,233.58900000000003,0.069,-43.07,0.068,2458374.1524,0.0049,,,14.584529000000002,2.163355,13343.03,1990.54,2.27,0.58,,,,,,,,,4.83,0.35,,,,,,,,,,,,,,,,,,,73.39,0.275,3431.0,157.0,4.84276,0.00251713,0.382623,0.0116209,2021-06-08 09:44:01,steuer,,97559,Found with our in-house single transit finder
13093071,13093071.01,,,,,,,,,PC,,11.5758,0.006,76.19244300000001,-26.859154999999998,-9.974,0.038,28.924,0.049,2458462.62092,0.001,,,21.381005,0.543004,19500.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,191.778,0.9815,5217.13,115.4,4.5901,0.0836357,0.7914680000000001,0.04299,2020-12-21 12:09:45,brahm,,92664,WINE single transit
13344668,13344668.01,,,,,,,,,PC,,12.673,0.006,78.71979499999999,-29.729662,4.018,0.02,68.688,0.025,2458445.05,0.1,,,33.070664,0.543004,30000.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.80900000000003,0.5095,4469.0,132.265,4.59352,0.0955623,0.700056,0.059040199999999994,2020-12-21 12:12:29,brahm,,92666,WINE single transit
